	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
0	0	x82	74	50	1.0	50	0.06261974157836621	2.9508747353753688e-05	0.06259023283101245	0.06264925032571997
1	0	x8	6	50	1.0	50	0.05163411402122344	3.275858607448231e-05	0.05160135543514896	0.05166687260729792
2	0	x386	306	50	1.0	50	0.02635242178861647	2.4837822441747657e-05	0.026327583966174725	0.026377259611058218
3	0	x578	446	50	1.0	50	0.0258629751650842	2.7766424507995384e-05	0.025835208740576203	0.025890741589592196
4	0	x162	148	50	1.0	50	0.01634792945000069	2.970421715267594e-05	0.016318225232848014	0.016377633667153366
5	0	x130	120	50	1.0	50	0.01610551550654583	3.4551755583124674e-05	0.016070963750962706	0.016140067262128955
6	0	x297	242	50	1.0	50	0.015906992666332997	2.406374095694209e-05	0.015882928925376055	0.01593105640728994
7	0	x33	30	50	1.0	50	0.01422089341984164	2.615492360792651e-05	0.014194738496233714	0.014247048343449567
8	0	x474	371	50	1.0	50	0.013107934632931409	2.911552951717916e-05	0.013078819103414229	0.013137050162448588
9	0	x7	5	50	1.0	50	0.0127144773421703	3.210396295816928e-05	0.01268237337921213	0.012746581305128471
10	0	x292	239	50	1.0	50	0.011931673308628564	3.1610880333066194e-05	0.011900062428295497	0.01196328418896163
11	0	x588	456	50	1.0	50	0.008020196510253036	3.269612668068714e-05	0.007987500383572349	0.008052892636933724
12	0	x340	275	50	1.0	50	0.007349893636495171	2.771859335471038e-05	0.007322175043140461	0.007377612229849882
13	0	x26	23	50	1.0	50	0.0069675670749323095	2.835660302989819e-05	0.006939210471902412	0.0069959236779622075
14	0	x324	265	50	1.0	50	0.006951148731493947	2.6258355508505126e-05	0.006924890375985442	0.006977407087002452
15	0	x218	193	50	1.0	50	0.006580304848552931	3.042391451472527e-05	0.006549880934038206	0.0066107287630676565
16	0	x215	190	50	1.0	50	0.005569980729820834	2.7166923754812183e-05	0.005542813806066022	0.005597147653575647
17	0	x16	13	50	1.0	50	0.005552157416704347	2.8834596639223086e-05	0.005523322820065123	0.00558099201334357
18	0	x320	262	50	1.0	50	0.00494617049678992	3.086467084951345e-05	0.004915305825940406	0.004977035167639433
19	0	x337	272	50	1.0	50	0.004449543752788163	3.0021999862837388e-05	0.004419521752925325	0.004479565752651
