X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100
-4.132655843965853	-4.034711296599576	-4.069551947563081	-4.012707402679047	-4.251853259768533	-4.118396387920839	-4.690228444079581	-4.375615489617145	-4.492534049597044	-4.126157845906008	-4.279084896555845	-4.443239968808376	-4.286818446778707	-4.680851612481145	-4.395137963945425	-4.175490948519232	-4.2066195424323825	-3.9601383980509426	-4.41254582476063	-4.1390377314693545	-4.101843140060443	-4.330561716373836	-4.289440856060842	-4.321196621905145	-4.260670014014174	-4.132078775240553	-4.397596835518088	-4.3926939122679025	-4.600018288963473	-4.523205492764191	-4.585645150480781	-4.178774131938969	-4.209508123873668	-4.168153661306852	-4.120353609846076	-4.369398408997922	-4.256984326177154	-4.38326889872312	-3.9839953612570445	-4.1057406362221185	-4.443142483797414	-4.456871597623074	-4.446521528368041	-4.627702790564605	-4.173538482313855	-4.600644037464073	-4.4538426444824015	-4.175297561088291	-4.062370233044765	-4.341219209021006	-4.24125889942523	-4.384769571759035	-4.543399067269886	-4.35205369125606	-4.11677490074321	-4.020545504037152	-4.334072474882325	-4.256275350218139	-4.390952540574593	-4.542763284752386	-4.465694776125107	-4.149511993592448	-3.958769787347075	-4.390574702217516	-4.182106582131314	-4.128407859495527	-4.255259245293403	-4.4527168425383	-4.2046518308850755	-4.296061379382243	-4.419676343139028	-4.429131629342137	-4.435553057791427	-4.122274279120993	-4.479372371086637	-4.3064740233996295	-4.021888672672167	-4.189360996737498	-4.143471592966939	-4.412069236613529	-4.204907486154412	-4.640004006520683	-4.214747851270928	-3.974724457659692	-4.407733789838986	-4.396421943063553	-4.090264203960084	-4.331308429106951	-4.330731652086996	-4.381072231496623	-4.264238668428113	-4.408584051415393	-4.321216226957253	-4.25430168966161	-4.444565060013357	-4.306496180697685	-4.228754206640279	-4.476661547646593	-4.083744560294503	-4.407985813379865
-5.019706525863863	-5.365851837374699	-5.397458711443876	-5.602813081619568	-5.457476131436924	-5.121879665302567	-5.316252180101548	-5.342888349500667	-5.148427113995598	-4.934304799922881	-5.1251201963373205	-5.2571023879851175	-5.021293720562016	-5.5876263213668445	-5.222303127962922	-5.570313183719381	-5.022162746347022	-5.562186221164095	-5.540925777202702	-5.32268000084159	-5.27216691332933	-5.463898423540563	-5.409332922126337	-5.141390180105297	-5.552259175879707	-5.463746150128594	-5.436419388019144	-5.409513886939076	-5.100109359595965	-5.3208319534649995	-5.264795548267795	-5.2362218098819096	-5.683416711905559	-4.977286306594557	-5.509807278560917	-5.185802364734904	-4.890619693571434	-5.115702911302677	-5.2869986448440365	-5.457252161184021	-5.362872597498951	-5.341698756494568	-4.83154516795509	-4.991026816361198	-5.212811529301361	-5.22745706472168	-5.298655762155914	-5.2183976482992325	-4.995293198867422	-5.143601708463493	-5.538315751660258	-5.417509930384989	-5.028105254913464	-5.5193743948355545	-5.586671306847593	-5.3638731572387615	-5.158763311579198	-5.238105881556074	-5.22486254666691	-5.384825323699833	-4.886371793731512	-5.303727899040349	-5.621502112812673	-4.820843499422826	-5.047863811995307	-5.315719099050299	-4.972477108905766	-5.096607440611755	-5.552399349902212	-5.556781370925991	-5.140154196328918	-5.250732680049095	-5.1816193903404795	-5.268630329174433	-5.457838244353307	-5.1616041893414994	-5.248468389179083	-5.316273231977583	-5.419798903851884	-5.331977917188547	-5.049212309680508	-5.099423648860453	-5.328123439630405	-4.9946583683964665	-5.258750486735177	-5.264169217038808	-5.011647740227232	-5.326364819620324	-5.02454721956621	-4.995313536294635	-5.374006071340901	-4.708928232214118	-5.472633097679575	-5.450104032663813	-5.251996085008163	-6.069396835804007	-5.2495192642913615	-5.208546452689141	-5.1260320211777435	-5.20419086887541
-4.153804375007432	-4.548141161315316	-4.206142956204392	-3.82242556548172	-3.883241815068303	-3.823073879196506	-4.366626111559908	-4.0574295659379995	-4.017437889203465	-3.971732530707484	-3.8059519513021454	-4.3399875062416635	-4.435618688405267	-4.200515307081392	-4.272892452937184	-3.606138498834301	-4.209526742457715	-3.9705351892720966	-4.429553319189882	-4.237866367300972	-4.11969255702564	-4.134453607740709	-3.876345237120564	-4.006710546382654	-3.931982191940809	-4.476896120001298	-3.9088505968740184	-4.260172010051042	-4.150229922289703	-3.9742457490960583	-4.136084072390242	-4.278694490039756	-4.268286762114053	-4.020567612417741	-3.917270721385598	-3.872790925453561	-3.576415467149068	-4.424858097878987	-4.0853906565522795	-4.463967384277084	-3.9876578301646215	-4.015082951578431	-4.191076466315067	-4.616422929838221	-3.989556375247426	-3.8353694006806767	-4.140431392706077	-3.7994372020537903	-4.422534956198153	-4.1987358415522404	-4.049501821710974	-4.504148979539489	-4.109348923189399	-3.9269352635572647	-4.189299162542256	-4.583889839589917	-4.103532095116315	-4.166588336319885	-4.012869762440911	-4.158089166905788	-4.15244404372568	-3.960556361454263	-4.34048866327295	-3.7995507824651895	-3.729712926015676	-4.155837684558439	-3.91045434811218	-4.0495123596960445	-3.722950199062784	-4.222518838615344	-3.797130918454445	-4.138065102775943	-3.87955392659649	-4.234616626052437	-3.953472235773743	-4.12348359449463	-3.8636229763878953	-4.0966474012874405	-3.9435872917761805	-3.8674627824553847	-3.9640582776649538	-4.249079464131939	-3.9499086460794675	-4.514743332610349	-4.162759690958891	-4.189709422809889	-4.447559366221574	-4.467738641147551	-3.6274015295253204	-4.207563308187545	-4.113736063008833	-3.994106610531543	-4.5613543111250845	-3.849136788671553	-4.086596718953574	-3.7562766494317024	-4.087797478210341	-3.861696238669043	-3.7770781487696996	-3.8638132699704584
-3.929308343404982	-3.8567918287239276	-3.699859157803099	-3.7738927040893073	-3.736560623034461	-3.5542768072836597	-3.3715392626631444	-3.5141505078376696	-3.868615272424983	-3.7920719128763674	-3.7145773550562815	-3.943517683956944	-3.708049006616848	-3.7277894241531744	-3.861793056871232	-3.680205343832465	-3.7145877743301363	-3.9180094760392707	-3.7674826520771574	-3.4663658757086373	-3.321800074195489	-3.6871467081250873	-3.8079958588077836	-4.204761518726357	-3.418826704932788	-3.604541366933065	-3.6284036737844936	-3.653158805448892	-3.7668947366768544	-3.7998040777340147	-3.8388524967460267	-3.1238887668305226	-3.8633612027273463	-3.7213940285425604	-4.325343552692668	-3.745865389603457	-3.3837252153260433	-3.869311060120278	-3.5252151312772675	-3.7631042784047066	-3.628299495540867	-3.5978496435475074	-3.764968014942817	-3.4296185397988115	-3.6718902549201093	-3.69502843898311	-3.629378937338513	-3.9864949089846675	-3.7652019553927816	-3.30749539325849	-3.5242391750550204	-3.890374779215908	-3.5841213495696094	-3.8351280221799318	-3.5087626116284047	-3.0086638135194077	-3.560459298043671	-3.7393170021745026	-3.701901583748414	-3.8313328306815277	-3.942463366747685	-3.8299033196311028	-3.535012673903581	-3.9598504097954543	-3.454807574688523	-3.6380230603372476	-4.1903882143353455	-3.659375361159013	-3.5447505087950653	-3.7094037806282607	-3.6925501708120896	-3.490253132145127	-3.49813383142635	-3.6118472849386967	-3.5562063515757183	-3.538255368448785	-3.8758059975632433	-3.501756823255321	-3.7440219748914267	-3.67435733495682	-3.4190679768509686	-3.636943930277105	-3.867208017601507	-3.642694602508667	-3.4981219209889853	-3.637599705254673	-4.2917923487855045	-3.2773317314781405	-3.3378306699781346	-3.7178649903643075	-3.4807390899910158	-3.6744695074140616	-3.5127829896381413	-3.267274877957203	-3.9020798870940667	-3.683561803590905	-3.699185868526	-4.059672656588284	-3.7726778299828254	-3.623361872770519
-4.88708901084075	-4.02825979842197	-4.299598307597475	-4.0745152659788255	-4.243069538373454	-4.654626491568723	-4.957813191588066	-4.842467523356015	-4.046202566147097	-4.4600141309166546	-4.373105222468204	-4.009262095127882	-4.314257169521969	-4.777730590942291	-4.636911994350291	-4.828717011671402	-4.353276248031325	-4.0795268620231875	-4.448464128740918	-4.206226500537435	-4.5724266064110655	-4.586054614718921	-4.410794358505897	-4.734822295975997	-4.122506752641353	-4.654599703052666	-4.486694322509843	-4.520741322097843	-4.567842783520434	-4.731669946053445	-4.574333498347537	-4.593657772149249	-4.4289038604737945	-4.191062171567403	-4.926122094753862	-4.428688921468158	-4.64876488018172	-4.660219511504793	-4.629410804941507	-4.3486797666845955	-4.733475726868722	-4.79449012563378	-4.426250101959573	-4.587787318870235	-4.490725183925477	-5.086697578443501	-4.418129909719661	-4.336912632336035	-4.406279209045313	-4.71567446538364	-4.1972644665493375	-4.828957037563564	-4.502182184878451	-4.711614979749561	-4.726328603173756	-5.113078734467518	-4.525153344303426	-4.3705545808850825	-4.501348923143121	-4.531562148493436	-3.9363224649564614	-4.695677955186641	-4.436869738073496	-4.405611379020125	-4.362783593482968	-4.361065231308385	-4.532391078598558	-4.587443606853571	-4.577992272996095	-4.733466437408614	-4.4817548225740795	-4.706383932589836	-4.672583602299113	-4.5155308352402415	-4.206503126750923	-4.291363632739253	-4.353549716523572	-4.761999841742053	-4.6005831748540205	-4.585122812644505	-4.162125296657668	-4.543105309306015	-4.339214131712606	-4.362488868391766	-4.794175244487433	-4.353328276824422	-4.3513511906314415	-4.7645128123379905	-4.433322843205872	-4.443885609026826	-4.683698152406516	-4.493067747979299	-4.704843336466781	-4.2125596100940195	-4.282437567920857	-4.471305473528064	-4.661115218126241	-4.861461758412705	-4.471436098784095	-4.2371334323686805
-3.4018581170949145	-3.517434399715163	-3.4132773652269366	-3.622924530180326	-3.413077996440687	-3.2417482393432278	-3.496118469350331	-3.8363035581742815	-3.377554374778123	-3.6102317862278337	-3.6600247127171714	-3.63593068014771	-3.6756972286147134	-3.647424036577398	-3.4023026203081965	-3.563139085818373	-3.5332411920873654	-3.324530154829921	-3.181842279684825	-3.237248958076974	-3.2958570845537256	-3.6395640203517847	-3.270930157184659	-3.922959797355372	-3.3957810101438946	-3.5494409957784505	-3.460847575316169	-3.400507558104186	-3.717819331888781	-3.9394645466184177	-3.333167314633751	-3.3604193541093106	-3.904159736699452	-3.8222371507327213	-3.2297199678183377	-3.3216540105788583	-3.6181328331893323	-3.565110266992576	-3.6419380549877207	-3.76886201506539	-3.2942552437822905	-3.2354121989428632	-3.2116907447129734	-3.8564137848836513	-3.518010228733785	-3.2721056516381077	-3.474478660933203	-3.5979579697738773	-3.312552957179991	-3.5088998456491067	-3.337732109971465	-2.9741523360886726	-3.657381302161541	-2.947247076232821	-3.5332664609017304	-3.572796881528266	-3.3496336689430626	-3.477432585557496	-3.297289304514996	-3.5082566733933764	-3.287416692843386	-3.5953559561339516	-3.703413885258911	-3.1537991579855307	-3.29446168880939	-3.435241749934539	-3.341033117264616	-3.222671344165675	-3.252454418084144	-3.339211723895697	-3.3858072841002818	-3.459997639302439	-3.2643061736361636	-3.8960503784107434	-3.559615678706188	-3.4354960105428543	-3.370574671911578	-3.2066469242568374	-3.61212741009871	-3.5294788022676364	-3.392583532632579	-3.667251387462735	-3.73603381057789	-3.2051599402305215	-3.5830883384797154	-3.521009932185208	-3.4847012628533167	-3.3389218996166132	-3.875735230133652	-3.8415845219872535	-3.6269877246883944	-3.344111555107893	-3.5534158957527047	-3.4453949142608193	-3.0884782515939975	-3.3227775876638845	-4.015922629496508	-3.319861825656637	-3.2747890032351648	-3.4632967707023847
-5.014648986395394	-4.852679245599778	-4.572556381562547	-4.4110874276984005	-4.587583862768174	-4.7759239753607625	-4.856975524866681	-4.823452119128421	-4.978868877837503	-4.442867051199112	-4.623253099076831	-4.6343689534558035	-5.05079524692143	-4.622131266932382	-4.720812110829604	-4.361546117152902	-4.968872392197799	-4.579773044467116	-5.164352338975176	-4.773853176487876	-4.538626701982219	-4.486365560191726	-4.590878338690671	-4.621458694904247	-4.994484211852258	-4.677980862369767	-4.992463780085827	-5.005009515410169	-4.724379490494596	-4.3603390435594935	-4.224115795175185	-4.745543281734933	-4.851132208107131	-4.865042341953773	-4.533316494906272	-5.207398629266476	-4.909916723396351	-5.1235454095164545	-4.855254536068666	-4.693375865287322	-4.465324906844716	-4.6568620142942985	-4.714891514512572	-4.465838338817712	-5.11108318760037	-4.501004517136865	-4.661300661136995	-4.721558060609516	-5.258529155065473	-4.716934587946034	-4.656586375476269	-4.875784685378818	-4.631539309650501	-5.011100662980495	-5.105408212991709	-4.903603141005597	-4.3755123883578815	-4.776296031374309	-4.622884931173985	-5.093489245831189	-4.351979119720949	-4.501389072432724	-4.710369287312859	-4.715074808163089	-4.589331167412364	-4.577834235423014	-4.84844875539568	-4.485124406914595	-4.764514926309942	-5.155385954491699	-4.849308459788526	-5.195391278049451	-4.584689731585522	-4.788492314127714	-4.8657902381729885	-4.435938537785198	-4.8382785291912835	-5.033157549392584	-4.597672108999074	-4.889609334220245	-4.369401326297369	-4.63596728424637	-4.604942330689058	-4.4771310627005185	-4.471871862502105	-4.3326303282351875	-5.099360405549539	-5.050591930092526	-4.709973479361037	-4.52298594897901	-5.152229179511203	-5.114355013158001	-4.9058302692250715	-4.559762314536233	-4.789246631793136	-4.707862862067394	-4.761613311958472	-4.782642070951385	-4.58540547478456	-4.885655638389143
-4.714675014457573	-4.2665768198857785	-4.597055336598172	-4.653271856452522	-4.434702282686184	-4.581622142195399	-4.421973382589684	-4.828275673798872	-4.402545699379291	-4.254807629236641	-4.105701880312635	-4.384033733235216	-4.508845887820902	-4.991277429690566	-4.48696754244532	-4.552212486661333	-4.706058487396518	-4.6863104698732325	-4.622354493645872	-4.574497858728412	-4.389493057188124	-4.49822975479145	-4.61739730456959	-4.737567559131628	-4.497988436491554	-4.237682291790139	-4.7935114537838	-4.361141804843775	-4.747063383430723	-4.45859495428811	-4.563608706217203	-4.651837564442662	-4.358510398420322	-4.289957404716722	-4.687853825642391	-5.0987693289753535	-4.460093066696373	-4.343494625112616	-4.278454772287864	-4.7496169392696865	-4.5138313866563555	-4.652374634850805	-4.407178400204186	-4.627262022969791	-4.018254030961592	-4.464913797379851	-4.413038958894614	-4.467769211735837	-4.371615038245277	-4.57329240272931	-4.720841277590223	-4.647182340693459	-4.946482743196549	-4.253103939773525	-4.694388968096992	-4.589608916375858	-4.6472438909842895	-4.677085573074933	-4.309664498569006	-4.694491229584337	-4.593085564002339	-4.422460663814029	-4.115253401999585	-4.709708560659888	-4.43658137674132	-4.349518842204534	-4.459317979819212	-4.859052380496283	-4.969287970740237	-4.28557094447736	-5.055391795656462	-4.732464791627892	-4.661226462355571	-4.649964162726851	-4.835219901403933	-4.57288359877983	-4.566513992858314	-4.553899212637927	-4.2586957779843795	-4.602263130078248	-4.49741736648251	-4.687238318757547	-4.365382920919862	-4.572914016801522	-4.987568365602467	-4.7285225572289455	-4.383323903848332	-4.541550060647593	-4.040972364600828	-4.732453659070026	-4.26096209792091	-4.180688990847902	-4.659554477539139	-4.1177205416276355	-4.760754206133164	-4.591702745551217	-4.56525956436919	-4.920261681782307	-4.562810432997592	-4.295837822479508
-3.779428406430407	-3.7664471856162614	-3.908541784275098	-3.781362098259351	-3.4936024188974946	-3.806177937402854	-3.6494522316437115	-4.035233715548603	-3.4301826524690764	-3.598967390868227	-3.746228040377988	-3.5888971349247294	-3.9717881417436214	-4.010154339881567	-3.8726043360147906	-3.5298413855417055	-3.8651455214245294	-3.9106353712686257	-3.368864853215721	-3.859080783403608	-3.6429904569464266	-4.088924909320462	-4.050275521831068	-3.508897792548404	-3.6572153604319784	-3.836023407275857	-3.6584199961931008	-3.6015799150361323	-3.8093467763263558	-3.533045323965217	-3.459987896831813	-3.8326337674439594	-4.007154401186759	-3.675929495743318	-4.0068250575841295	-4.163303860157959	-4.0163561843877105	-3.724687632292047	-3.5101795311922297	-3.788930915133425	-3.8964505583688585	-3.4257417052565025	-3.4225713483218163	-3.856566891566732	-3.4382983897642334	-3.9353273692255346	-3.7462049857535438	-3.3449794246912368	-3.7517334089634695	-3.6372305219263303	-3.6356754359504904	-4.093274739291196	-3.9328390994165323	-3.414387076992927	-3.349499418554225	-3.5066303288259393	-3.4303955576489917	-3.3272733846745357	-3.5717926794828236	-3.748236894463196	-3.666287916181669	-3.6983585728766855	-3.7332898250953854	-3.493133977998915	-3.788035840945914	-3.761043434547213	-3.6737729780486337	-3.660177726108379	-3.4375408768316382	-3.4204774878558446	-3.6724452123823808	-3.863220693328698	-4.069254631396214	-3.3361311776674807	-3.8566652103114203	-3.647332930381471	-3.3159259895005713	-3.248454273818628	-3.6724104811081935	-4.060145321723394	-3.633925885955736	-3.4418506170408327	-4.22952448566179	-3.188641472257908	-3.757483431323673	-3.653731116441764	-3.186873296638951	-3.477404289161745	-3.7788664096596256	-3.5509342780287554	-3.4530140750772595	-3.827403713925018	-3.8323713168319924	-3.6285560804133596	-3.8590411351538427	-3.4701383376632955	-3.7073722768837443	-3.4200269787933646	-3.6796197160291193	-4.056653640352636
-2.755115962742777	-2.881283568010411	-2.528061893203902	-2.8938153199959085	-3.091982205603734	-3.0943330974330543	-2.769508647088023	-2.818527082435324	-2.883535355663544	-2.957166174889494	-2.932284929319957	-3.0988027179567346	-2.9791592476188744	-2.9201966825954573	-3.065603776736167	-2.996209009820566	-3.0686341248439937	-2.8487059072057317	-2.9716117391205255	-3.099089545839272	-3.0911904608334364	-2.9565004605427996	-2.646265801397024	-2.8594379418399143	-3.5701730924403297	-2.672653525765227	-3.0864856021097857	-2.748916424225011	-2.5061696961074658	-3.097533327540869	-3.1016741643398023	-3.125106069287071	-2.9035080523539296	-2.812088934045118	-2.9149132584940345	-3.1913134360611686	-2.7280834619171017	-3.0802310460612192	-3.138416217522393	-2.969278783074179	-3.1941213760020775	-2.605902089709496	-3.1012948418480506	-2.917535315257819	-2.9736289558063698	-3.1161033354271366	-3.5205165971005314	-2.956212169590783	-3.0394412233352446	-3.1107272985896337	-2.936944972200961	-2.646334330440455	-2.684011699789039	-3.1062709653633043	-2.9524424409910033	-3.124002204985177	-3.2306413317770284	-2.9503174203059013	-2.946150338455933	-3.0849335086548035	-2.882855585825114	-3.005169296584668	-2.643525264447256	-2.6533622166721456	-3.1275346415203025	-3.6981319162509387	-2.792171339392058	-2.631886926570979	-3.1198074265055706	-2.989831802076799	-2.548709797036605	-3.3718938060550787	-2.8711684790704437	-3.115791889392642	-2.9356827915167134	-2.6477638908195438	-2.849384555687299	-2.781790128705957	-2.7824868615489966	-2.670250197706404	-3.0366295836894186	-3.06475063780895	-2.9740309445700883	-3.01362222885151	-3.007638788183258	-3.3330261596062525	-2.811177486493954	-2.793727983317229	-2.8894071804969803	-3.124723557475022	-2.8926481293627586	-2.8832445462933958	-3.1156124527622873	-2.5878808218957787	-2.94841602435915	-2.5037443048135053	-2.8500281364527313	-2.871577597479706	-3.086988864101781	-3.0142184928051887
