	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
0	0	x378	302	50	1.0	50	0.007724711262227968	2.8279076580641633e-06	0.0077218833545699035	0.007727539169886033
1	0	x561	429	50	1.0	50	0.005237505334785361	3.448795632621133e-06	0.00523405653915274	0.005240954130417982
2	0	x585	453	50	1.0	50	0.005013463610283252	3.858471758776719e-06	0.005009605138524475	0.005017322082042029
3	0	x64	58	50	1.0	50	0.004636675785163657	3.2190738090879288e-06	0.004633456711354569	0.004639894858972745
4	0	x419	327	50	1.0	50	0.0041566011171930515	2.869468592460814e-06	0.004153731648600591	0.004159470585785512
5	0	x22	19	50	1.0	50	0.003953256712306263	7.029609058780503e-06	0.003946227103247483	0.0039602863213650434
6	0	x253	213	50	1.0	50	0.00391640044303812	3.0907380424535743e-06	0.003913309704995666	0.003919491181080573
7	0	x525	404	50	1.0	50	0.0030831284080951394	3.2185172396417784e-06	0.0030799098908554975	0.0030863469253347812
8	0	x153	141	50	1.0	50	0.003003151832057546	2.923629293644005e-06	0.003000228202763902	0.00300607546135119
9	0	x127	117	50	1.0	50	0.002852192188278776	2.5058657880532246e-06	0.002849686322490723	0.0028546980540668293
10	0	x368	299	50	1.0	50	0.0027515949066120615	3.5135604851971395e-06	0.0027480813461268645	0.0027551084670972585
11	0	x40	37	50	1.0	50	0.002277754662353201	3.3353965017974876e-06	0.002274419265851403	0.0022810900588549985
12	0	x430	337	50	1.0	50	0.002139765287348617	3.7447087744720025e-06	0.0021360205785741454	0.002143509996123089
13	0	x488	383	50	1.0	50	0.0020693270206581355	3.3183189803082356e-06	0.002066008701677827	0.002072645339638444
14	0	x169	155	50	1.0	50	0.0019493283614612405	2.9067223253649544e-06	0.0019464216391358756	0.0019522350837866053
15	0	x87	78	50	1.0	50	0.0017977809326088323	3.0970757348658123e-06	0.0017946838568739666	0.001800878008343698
16	0	x95	86	50	1.0	50	0.0015113899924004217	3.0998722559576237e-06	0.001508290120144464	0.0015144898646563794
17	0	x106	96	50	1.0	50	0.0014894433504162921	3.4770769331313526e-06	0.0014859662734831608	0.0014929204273494234
18	0	x367	298	50	1.0	50	0.0014692199935589303	3.052430331418333e-06	0.001466167563227512	0.0014722724238903488
19	0	x552	420	50	1.0	50	0.0014414495387864187	2.9747151065349835e-06	0.0014384748236798838	0.0014444242538929537
20	0	x8	6	50	1.0	50	0.0014274595816546503	3.4500325557310763e-06	0.0014240095490989193	0.0014309096142103813
21	0	x384	304	50	1.0	50	0.0014065615085119576	2.535621529004647e-06	0.001404025886982953	0.0014090971300409622
22	0	x406	315	50	1.0	50	0.0013641770797853372	3.1064833908935502e-06	0.0013610705963944436	0.0013672835631762309
23	0	x254	214	50	1.0	50	0.0012762883956765497	3.006405945975989e-06	0.0012732819897305738	0.0012792948016225256
24	0	x16	13	50	1.0	50	0.001232854984910032	3.76633046580753e-06	0.0012290886544442244	0.0012366213153758396
25	0	x246	206	50	1.0	50	0.0011524153179422792	2.7387601989039605e-06	0.0011496765577433752	0.0011551540781411832
26	0	x489	384	50	1.0	50	0.001129046678535175	3.0476540489623563e-06	0.0011259990244862127	0.0011320943325841373
27	0	x268	217	50	1.0	50	0.001119556290616463	3.5937948524299325e-06	0.0011159624957640332	0.0011231500854688929
28	0	x113	103	50	1.0	50	0.0010786437969250412	3.239473798822011e-06	0.0010754043231262192	0.001081883270723863
29	0	x32	29	50	1.0	50	0.000936566018946881	3.6411581175774562e-06	0.0009329248608293035	0.0009402071770644585
30	0	x291	238	50	1.0	50	0.0009211039456065341	2.8880940436894798e-06	0.0009182158515628447	0.0009239920396502235
31	0	x84	76	50	1.0	50	0.0008460763308932752	3.2577622298747657e-06	0.0008428185686634004	0.00084933409312315
32	0	x334	269	50	1.0	50	0.0003330361414193597	2.9657817205191836e-06	0.00033007035969884055	0.0003360019231398789
33	0	x354	287	50	1.0	50	-0.0003204010356699054	3.085378164437619e-06	-0.000323486413834343	-0.0003173156575054678
