	feature	feature_idx	coef	se	t	p	r2
0	(intercept)	-1	0.9761686165695133			0.0	0.5791491171786263
1	x332	267	-0.002436469124285068	5.022875827926244e-05	-48.50745285676302	0.0	0.5791491171786263
2	x446	353	-0.0029276327924638666	5.022096531868348e-05	-58.29503224173814	0.0	0.5791491171786263
3	x38	35	-0.0028206078502074467	5.0229695812591406e-05	-56.154189361035044	0.0	0.5791491171786263
4	x583	451	-0.002432956650610164	5.024677070007956e-05	-48.4201594791506	0.0	0.5791491171786263
5	x486	381	-0.006618070021399247	5.022430374475972e-05	-131.77026913170022	0.0	0.5791491171786263
6	x79	71	-0.002769119672316508	5.0237630334790345e-05	-55.120427732413354	0.0	0.5791491171786263
7	x249	209	-0.002343994082731911	5.023679370391876e-05	-46.658910927849796	0.0	0.5791491171786263
8	x420	328	-0.0038676426869487675	5.025403949251774e-05	-76.96182687014874	0.0	0.5791491171786263
9	x118	108	-0.0030727009559885607	5.024921341978856e-05	-61.14923492073023	0.0	0.5791491171786263
10	x580	448	-0.002291776820344737	5.0237864843143904e-05	-45.61851558580922	0.0	0.5791491171786263
11	x281	229	-0.003157586843440907	5.02383492068902e-05	-62.852121801164664	0.0	0.5791491171786263
12	x541	409	-0.00497500591612975	5.0258576252407796e-05	-98.9881983752257	0.0	0.5791491171786263
13	x141	131	-0.020009454923084313	5.0221966681504706e-05	-398.42037748101995	0.0	0.5791491171786263
14	x437	344	0.003231434074045211	5.0214687366723867e-05	64.35236866946241	0.0	0.5791491171786263
15	x29	26	0.003331379635790128	5.022654658265983e-05	66.32706929805623	0.0	0.5791491171786263
16	x11	9	0.020965457632983495	5.0235156662244276e-05	417.3463173200514	0.0	0.5791491171786263
17	x317	259	-0.002172902001065414	5.024319146006388e-05	-43.24769064068231	0.0	0.5791491171786263
18	x475	372	0.0020824104149625273	5.023626099102738e-05	41.45233689534465	0.0	0.5791491171786263
19	x528	407	-0.0026223080047095312	5.020617738364263e-05	-52.23078396651424	0.0	0.5791491171786263
20	x550	418	-0.0029056206407637717	5.023348035588056e-05	-57.842311943723935	0.0	0.5791491171786263
21	x58	52	-0.019491697395394924	5.0216589714817324e-05	-388.15255090178977	0.0	0.5791491171786263
