	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
0	1	x501	394	50	1.0	50	0.2139401258808621	4.3649593680976214e-05	0.21389647628718111	0.21398377547454306
1	1	x511	395	50	1.0	50	0.12342920387438155	4.5490340756350674e-05	0.1233837135336252	0.1234746942151379
2	1	x386	306	50	1.0	50	0.10744549841292814	4.8886921900451993e-05	0.10739661149102768	0.1074943853348286
3	1	x201	178	50	1.0	50	0.10466965193366361	5.031997564574073e-05	0.10461933195801787	0.10471997190930935
4	1	x288	235	50	1.0	50	0.081437792331252	5.201083236205683e-05	0.08138578149888995	0.08148980316361407
5	1	x79	71	50	1.0	50	0.06631616080377883	3.969686023511024e-05	0.06627646394354372	0.06635585766401395
6	1	x8	6	50	1.0	50	0.06487720857494124	4.344384861482595e-05	0.06483376472632642	0.06492065242355606
7	1	x579	447	50	1.0	50	0.06379073793270941	4.172771940734345e-05	0.06374901021330207	0.06383246565211675
8	1	x248	208	50	1.0	50	0.0423751986349539	4.2556651162529425e-05	0.042332641983791365	0.04241775528611643
9	1	x492	387	50	1.0	50	0.03598997744203244	4.1211604428577686e-05	0.03594876583760386	0.036031189046461014
10	1	x497	391	50	1.0	50	0.0333686572308244	5.09160478106046e-05	0.03331774118301379	0.033419573278635005
11	1	x196	173	50	1.0	50	0.02810994792356615	4.9390658476117904e-05	0.028060557265090033	0.028159338582042268
12	1	x337	272	50	1.0	50	0.026804894472879724	4.387869978289491e-05	0.02676101577309683	0.02684877317266262
13	1	x17	14	50	1.0	50	0.026411870592713025	5.157870940386609e-05	0.02636029188330916	0.02646344930211689
14	1	x347	281	50	1.0	50	0.025472594719748835	4.4196653540380974e-05	0.025428398066208453	0.025516791373289216
15	1	x153	141	50	1.0	50	0.0241281637882494	4.9625396695664395e-05	0.024078538391553737	0.024177789184945064
16	1	x22	19	50	1.0	50	0.020442683514062757	4.3697406872459056e-05	0.0203989861071903	0.020486380920935215
17	1	x352	285	50	1.0	50	0.020301245429680995	4.3960432706663055e-05	0.02025728499697433	0.02034520586238766
18	1	x571	439	50	1.0	50	0.017356695142497117	5.3732231062293546e-05	0.01730296291143482	0.01741042737355941
19	1	x247	207	50	1.0	50	0.016353343282973654	4.657977828072762e-05	0.016306763504692928	0.01639992306125438
20	1	x16	13	50	1.0	50	0.014815339939499315	4.343654721929165e-05	0.014771903392280024	0.014858776486718607
21	1	x432	339	50	1.0	50	0.012463137652176229	4.888661081148645e-05	0.012414251041364743	0.012512024262987715
22	1	x160	146	50	1.0	50	0.012390952236924211	5.248623184296911e-05	0.012338466005081242	0.01244343846876718
23	1	x52	47	50	1.0	50	0.012254215304381168	4.4020380218141126e-05	0.012210194924163028	0.012298235684599309
24	1	x276	225	50	1.0	50	0.011987174025418797	5.045365228614683e-05	0.01193672037313265	0.012037627677704945
25	1	x412	321	50	1.0	50	0.011689672554999293	3.679344145030987e-05	0.011652879113548982	0.011726465996449604
26	1	x524	403	50	1.0	50	0.011443108382530187	5.088590294867259e-05	0.011392222479581514	0.01149399428547886
27	1	x162	148	50	1.0	50	0.007937755602005155	4.246808738128926e-05	0.007895287514623865	0.007980223689386445
28	1	x220	195	50	1.0	50	0.00768930267008605	4.082108490866801e-05	0.007648481585177383	0.007730123754994718
29	1	x64	58	50	1.0	50	0.00711264016400176	5.0052314627510766e-05	0.007062587849374249	0.007162692478629271
30	1	x489	384	50	1.0	50	0.006888197526148054	5.128830705213585e-05	0.006836909219095919	0.00693948583320019
31	1	x431	338	50	1.0	50	0.006561832377258513	4.4022197279991225e-05	0.006517810179978521	0.006605854574538504
32	1	x320	262	50	1.0	50	0.004536885152901874	5.0869164585853386e-05	0.004486015988316021	0.004587754317487727
33	1	x581	449	50	1.0	50	0.002446475588052554	4.330359628018185e-05	0.0024031719917723725	0.002489779184332736
34	1	x29	26	50	1.0	50	-0.0023110996331447095	3.593578795844758e-05	-0.002347035421103157	-0.002275163845186262
35	1	x80	72	50	1.0	50	-0.006016601746617734	4.379455599434536e-05	-0.006060396302612079	-0.005972807190623389
36	1	x246	206	50	1.0	50	-0.0067309358234225345	4.841153589623192e-05	-0.006779347359318766	-0.006682524287526303
37	1	x458	362	50	1.0	50	-0.008311394389056329	4.96222708881515e-05	-0.00836101665994448	-0.008261772118168177
38	1	x211	186	50	1.0	50	-0.00984583036139486	4.7756668726196896e-05	-0.009893587030121057	-0.009798073692668663
39	1	x71	64	50	1.0	50	-0.010066189883181153	3.8048208375675715e-05	-0.010104238091556828	-0.010028141674805478
40	1	x369	300	50	1.0	50	-0.010242182194892733	4.5204555798199825e-05	-0.010287386750690932	-0.010196977639094534
41	1	x551	419	50	1.0	50	-0.011260161617877944	4.851231877956764e-05	-0.011308673936657512	-0.011211649299098377
42	1	x118	108	50	1.0	50	-0.012445548473565134	5.151834584033444e-05	-0.012497066819405468	-0.0123940301277248
43	1	x547	415	50	1.0	50	-0.013369354156325423	4.2850716899677444e-05	-0.0134122048732251	-0.013326503439425746
44	1	x425	332	50	1.0	50	-0.014321807651127519	4.019503603194931e-05	-0.014362002687159469	-0.014281612615095569
45	1	x152	140	50	1.0	50	-0.015781793863979064	4.2491862055776396e-05	-0.01582428572603484	-0.015739302001923288
46	1	x494	388	50	1.0	50	-0.01777457706703913	4.420233908075599e-05	-0.017818779406119888	-0.017730374727958374
47	1	x418	326	50	1.0	50	-0.020244096305952818	5.0519727572521906e-05	-0.02029461603352534	-0.020193576578380296
48	1	x90	81	50	1.0	50	-0.022622349806173937	5.2644289504107644e-05	-0.022674994095678046	-0.022569705516669827
49	1	x149	138	50	1.0	50	-0.02766918243944514	5.409459616651398e-05	-0.027723277035611654	-0.027615087843278627
50	1	x145	134	50	1.0	50	-0.03585204905977672	5.196881151600698e-05	-0.03590401787129273	-0.035800080248260716
51	1	x102	92	50	1.0	50	-0.041845488797041426	4.486318687924697e-05	-0.04189035198392067	-0.04180062561016218
52	1	x96	87	50	1.0	50	-0.05391437461461258	4.244218403732935e-05	-0.05395681679864991	-0.053871932430575246
53	1	x36	33	50	1.0	50	-0.05975834872462902	5.5249506338327405e-05	-0.059813598230967345	-0.059703099218290694
54	1	x40	37	50	1.0	50	-0.12424116514748836	4.727742975506865e-05	-0.12428844257724342	-0.12419388771773329
55	1	x117	107	50	1.0	50	-0.13712583250260274	4.79544981900976e-05	-0.13717378700079283	-0.13707787800441265
56	1	x420	328	50	1.0	50	-0.1494018265661407	3.949659864374111e-05	-0.14944132316478445	-0.14936232996749696
57	1	x28	25	50	1.0	50	-0.16467041264146545	5.1963373588959576e-05	-0.1647223760150544	-0.1646184492678765
58	1	x252	212	49	0.98	49	0.0020564912914219696	4.875439428070619e-05	0.0020077368971412636	0.0021052456857026756
59	1	x134	124	49	0.98	49	0.001888566196585953	4.4404196456019e-05	0.001844162000129934	0.001932970393041972
