	feature	feature_idx	coef	se	t	p	r2
0	(intercept)	-1	1.164411074927497			0.0	0.6128953640372568
1	x11	9	-0.0123685926960132	0.000146929000533	-84.18074478923735	0.0	0.6128953640372568
2	x18	15	-0.0123404508563934	0.0001469792405374	-83.96050225370972	0.0	0.6128953640372568
3	x91	82	-0.0121024440188808	0.0001469595850224	-82.35219238700871	0.0	0.6128953640372568
4	x578	446	-0.011193395146845	0.0001469375080752	-76.17792960740721	0.0	0.6128953640372568
5	x580	448	-0.0097450966879582	0.0001468986617773	-66.33890717623731	0.0	0.6128953640372568
6	x85	77	-0.0088510880244081	0.0001470065330637	-60.20880732268126	0.0	0.6128953640372568
7	x113	103	-0.0088342532326677	0.000146892453225	-60.14096053752113	0.0	0.6128953640372568
8	x446	353	-0.012711383847958	0.0001469666256089	-86.49163573898953	0.0	0.6128953640372568
9	x384	304	-0.0085927344923203	0.0001469509181862	-58.473499848615766	0.0	0.6128953640372568
10	x317	259	-0.0082264612163355	0.0001470420491214	-55.94631784232711	0.0	0.6128953640372568
11	x118	108	-0.0080915138072094	0.0001469479339719	-55.06381470291389	0.0	0.6128953640372568
12	x128	118	-0.0068328797838077	0.0001469690855297	-46.49195277480936	0.0	0.6128953640372568
13	x9	7	-0.0068018127814597	0.000146959561238	-46.2835675621168	0.0	0.6128953640372568
14	x280	228	-0.0062165045008804	0.0001469074607016	-42.315784856591534	0.0	0.6128953640372568
15	x528	407	-0.0060465494579192	0.0001469493094516	-41.147178441877294	0.0	0.6128953640372568
16	x486	381	-0.0060235471462325	0.0001470447412976	-40.964043277423286	0.0	0.6128953640372568
17	x332	267	-0.0085841300599178	0.0001469672563524	-58.4084528279833	0.0	0.6128953640372568
18	x391	311	-0.0059355495323034	0.0001469363695514	-40.39537352408653	0.0	0.6128953640372568
19	x36	33	-0.0142501767638214	0.0001470249051672	-96.92355691444504	0.0	0.6128953640372568
20	x311	256	-0.0148506083467795	0.0001469606764695	-101.05157858232776	0.0	0.6128953640372568
21	x7	5	-0.0380757442151128	0.0001470176305503	-258.98760626589416	0.0	0.6128953640372568
22	x58	52	-0.0310872214856985	0.0001469712374241	-211.5190838053936	0.0	0.6128953640372568
23	x563	431	-0.030969113053729	0.0001469418447415	-210.7576171253987	0.0	0.6128953640372568
24	x1	0	-0.0290068313206445	0.0001469285736779	-197.42130883418565	0.0	0.6128953640372568
25	x274	223	-0.0290811211443028	0.000146972652145	-197.86756733213917	0.0	0.6128953640372568
26	x518	398	-0.0270116679807022	0.0001469984890675	-183.75473212027708	0.0	0.6128953640372568
27	x103	93	-0.0263719194240383	0.0001469797084667	-179.42557989219733	0.0	0.6128953640372568
28	x581	449	-0.0146030725852055	0.0001469197937987	-99.3948616971598	0.0	0.6128953640372568
29	x247	207	-0.0206976113984404	0.0001469725199425	-140.82640351085436	0.0	0.6128953640372568
30	x144	133	-0.0184053002844319	0.0001469312788246	-125.26468449512468	0.0	0.6128953640372568
31	x474	371	-0.0177694492202998	0.0001469481966255	-120.92322075631692	0.0	0.6128953640372568
32	x49	45	-0.0175600960002415	0.0001469524063885	-119.4951238417512	0.0	0.6128953640372568
33	x324	265	-0.0165018009752896	0.0001470159941399	-112.24493683034956	0.0	0.6128953640372568
34	x390	310	-0.0156933067801018	0.0001470171517398	-106.74473416458352	0.0	0.6128953640372568
35	x38	35	-0.0151119388250879	0.0001468965068814	-102.87473232620871	0.0	0.6128953640372568
36	x512	396	-0.01542877902827	0.0001470312746352	-104.93535519257932	0.0	0.6128953640372568
