	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
0	0	x291	238	50	1.0	50	0.1263558755154077	3.4260269760307815e-05	0.1263216152456474	0.126390135785168
1	0	x125	115	50	1.0	50	0.10226824934705102	3.2573460029785154e-05	0.10223567588702123	0.1023008228070808
2	0	x461	364	50	1.0	50	0.06057466153354562	3.4521723943970076e-05	0.06054013980960165	0.06060918325748959
3	0	x87	78	50	1.0	50	0.05898200493092975	3.1301234334182684e-05	0.058950703696595566	0.05901330616526393
4	0	x217	192	50	1.0	50	0.039358873641318966	7.829552975036275e-05	0.039280578111568605	0.039437169171069326
5	0	x46	42	50	1.0	50	0.0392721799018154	2.9756741703919617e-05	0.03924242316011148	0.03930193664351932
6	0	x153	141	50	1.0	50	0.03626651537076735	7.121512787913448e-05	0.03619530024288821	0.036337730498646484
7	0	x585	453	50	1.0	50	0.033765095292854784	3.269583986030053e-05	0.033732399452994485	0.03379779113271508
8	0	x588	456	50	1.0	50	0.029399380543603238	3.3692621801696465e-05	0.029365687921801543	0.029433073165404933
9	0	x561	429	50	1.0	50	0.028879820422068315	2.5505481784529457e-05	0.028854314940283784	0.028905325903852846
10	0	x253	213	50	1.0	50	0.0253409435063879	3.458050454594489e-05	0.025306363001841956	0.025375524010933848
11	0	x20	17	50	1.0	50	0.020725481579418437	3.7604527277809205e-05	0.02068787705214063	0.020763086106696246
12	0	x426	333	50	1.0	50	0.020690236242769652	3.518496937395861e-05	0.020655051273395692	0.020725421212143613
13	0	x484	379	50	1.0	50	0.020388236610354094	3.11572751014346e-05	0.02035707933525266	0.02041939388545553
14	0	x525	404	50	1.0	50	0.019924406249826436	4.075649776438305e-05	0.01988364975206205	0.01996516274759082
15	0	x342	277	50	1.0	50	0.01794078376700559	3.0804027046562464e-05	0.017909979739959028	0.01797158779405215
16	0	x16	13	50	1.0	50	0.017537939289880726	3.3877302427708576e-05	0.017504061987453017	0.017571816592308435
17	0	x361	293	50	1.0	50	0.0167957284760891	3.1749821617992565e-05	0.016763978654471108	0.016827478297707095
18	0	x164	150	50	1.0	50	0.014847902015356124	3.2825200108196504e-05	0.014815076815247928	0.01488072721546432
19	0	x552	420	50	1.0	50	0.014426556557576527	2.8556854918785483e-05	0.014397999702657741	0.014455113412495313
20	0	x339	274	50	1.0	50	0.013623202050177821	3.906550162740022e-05	0.01358413654855042	0.013662267551805222
21	0	x587	455	50	1.0	50	0.013585349723447803	3.498045312798641e-05	0.013550369270319816	0.01362033017657579
22	0	x488	383	50	1.0	50	0.013349296750900125	2.94950853783904e-05	0.013319801665521734	0.013378791836278516
23	0	x223	197	50	1.0	50	0.013315782098386747	3.619660636312218e-05	0.013279585492023625	0.013351978704749868
24	0	x29	26	50	1.0	50	0.013087945168731787	2.9750941207648974e-05	0.013058194227524139	0.013117696109939436
25	0	x218	193	50	1.0	50	0.013078328672460735	3.281286862478745e-05	0.013045515803835948	0.013111141541085522
26	0	x287	234	50	1.0	50	0.012908180484846649	3.453430666396854e-05	0.012873646178182681	0.012942714791510617
27	0	x469	366	50	1.0	50	0.012780694751019199	3.766034945848716e-05	0.012743034401560712	0.012818355100477685
28	0	x246	206	50	1.0	50	0.012747765859405642	2.746477280851422e-05	0.012720301086597127	0.012775230632214156
29	0	x413	322	50	1.0	50	0.010439669427441964	3.572922181111137e-05	0.010403940205630853	0.010475398649253075
30	0	x66	60	50	1.0	50	0.009469481775903158	2.947682602899372e-05	0.009440004949874164	0.009498958601932152
31	0	x163	149	50	1.0	50	0.009383031911746536	3.35386579210656e-05	0.00934949325382547	0.009416570569667602
32	0	x495	389	50	1.0	50	0.0074005094038646	3.658775252378272e-05	0.007363921651340817	0.007437097156388383
33	0	x8	6	50	1.0	50	0.0072030404259639325	3.30514652903312e-05	0.007169988960673601	0.007236091891254264
34	0	x134	124	50	1.0	50	0.007027189602661057	3.5347201625943405e-05	0.006991842401035114	0.007062536804287
35	0	x440	347	50	1.0	50	0.006273539032640144	2.9777742532804845e-05	0.006243761290107339	0.006303316775172949
36	0	x478	375	50	1.0	50	0.006263787294578812	3.382051772302987e-05	0.006229966776855782	0.0062976078123018414
37	0	x114	104	50	1.0	50	0.0057337832514102235	3.281243197782047e-05	0.005700970819432403	0.005766595683388044
38	0	x302	247	50	1.0	50	0.005491983311063959	3.4706589481050855e-05	0.0054572767215829085	0.00552668990054501
39	0	x206	183	50	1.0	50	0.00497443579363968	2.3878035527823394e-05	0.004950557758111857	0.004998313829167504
40	0	x434	341	50	1.0	50	0.004948439555523477	2.861823284230995e-05	0.004919821322681167	0.004977057788365787
41	0	x358	291	50	1.0	50	0.003910275409285945	8.10359733448081e-05	0.003829239435941137	0.003991311382630753
