"token","topic"
"match",4
"win",4
"rugby",4
"wales",4
"england",4
"cup",4
"team",4
"players",4
"online",4
"time",4
"games",4
"game",4
"play",4
"world",4
"club",4
"chelsea",2
"festival",2
"films",2
"film",2
"star",2
"band",2
"album",2
"award",2
"awards",2
"best",2
"years",2
"music",2
"uk",5
"number",5
"search",5
"broadband",5
"users",5
"net",5
"service",5
"computer",5
"software",5
"technology",5
"digital",5
"mobile",5
"phone",5
"tv",5
"oil",1
"prices",1
"market",1
"bank",1
"economic",1
"economy",1
"growth",1
"sales",1
"year",1
"shares",1
"company",1
"firm",1
"bn",1
"lord",3
"tax",3
"plans",3
"howard",3
"party",3
"election",3
"labour",3
"prime",3
"minister",3
"blair",3
"brown",3
"chancellor",3
"public",3
"government",3
