"token","topic"
"match",1
"win",1
"rugby",1
"wales",1
"england",1
"cup",1
"team",1
"players",1
"online",2
"time",2
"games",2
"game",2
"play",2
"world",2
"club",1
"chelsea",1
"festival",2
"films",2
"film",2
"star",2
"band",2
"album",2
"award",2
"awards",2
"best",2
"years",2
"music",2
"uk",2
"number",3
"search",3
"broadband",3
"users",3
"net",3
"service",3
"computer",3
"software",3
"technology",3
"digital",3
"mobile",3
"phone",3
"tv",3
"oil",4
"prices",4
"market",5
"bank",4
"economic",4
"economy",4
"growth",4
"sales",2
"year",2
"shares",5
"company",5
"firm",5
"bn",5
"lord",4
"tax",4
"plans",4
"howard",4
"party",4
"election",4
"labour",4
"prime",4
"minister",4
"blair",4
"brown",4
"chancellor",4
"public",4
"government",4
