CreditScore	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	Geography_Germany	Geography_Spain	Gender_Male
606	37	8	154712.58	2	1	0	89099.18	0	1	1
683	33	9	0.0	2	1	1	38784.42	0	0	0
744	44	3	0.0	2	1	1	189016.14	0	0	0
697	27	8	141223.68	2	1	0	90591.15	0	0	1
562	35	7	0.0	1	0	0	48869.67	0	0	1
627	57	9	0.0	2	1	1	107712.42	0	0	0
640	30	6	107499.7	1	1	1	187632.22	0	0	0
648	36	8	146943.38	2	1	1	130041.45	0	1	1
778	38	3	145018.49	2	1	1	126702.41	0	0	1
698	39	4	0.0	2	0	1	47455.82	0	0	0
606	27	6	172310.33	1	0	1	111448.92	1	0	0
753	92	3	121513.31	1	0	1	195563.99	0	0	1
716	29	6	0.0	2	1	1	98998.61	0	0	0
680	37	4	0.0	2	1	0	61240.87	0	0	1
766	38	7	130933.74	1	0	1	2035.94	1	0	0
684	42	3	103210.27	1	1	0	31002.03	0	1	0
773	43	7	138150.57	1	1	1	177357.16	0	1	1
665	25	7	90920.75	1	0	1	112256.57	0	0	1
821	45	0	135827.33	2	1	1	131778.58	1	0	1
715	32	10	0.0	2	1	0	60907.49	0	0	0
627	30	6	0.0	1	1	1	113408.47	0	1	0
608	35	6	0.0	2	1	1	143463.28	0	1	0
784	40	8	0.0	2	1	0	108891.3	0	1	0
622	31	1	89688.94	1	1	1	152305.47	0	0	0
642	36	4	0.0	2	1	1	195224.91	0	0	1
584	35	6	161613.94	2	1	1	148238.16	0	0	1
554	45	4	0.0	2	1	1	193412.05	0	1	0
749	42	2	56726.83	2	0	1	185543.35	0	0	1
660	35	6	100768.77	1	1	0	19199.61	0	0	0
652	37	9	145219.3	1	1	0	159132.83	1	0	0
755	30	4	123217.66	2	0	1	144183.1	0	0	1
769	38	2	0.0	2	0	0	75578.67	0	0	0
711	52	5	0.0	1	1	1	159808.95	0	0	1
850	41	3	136416.82	1	0	1	57844.26	0	0	1
555	27	5	0.0	2	0	0	96398.51	0	1	1
539	39	6	62052.28	1	0	1	59755.14	0	1	0
772	23	2	0.0	2	1	0	18364.19	0	0	1
700	29	8	0.0	2	0	1	152097.02	0	1	1
613	34	3	0.0	1	1	1	41724.72	0	1	1
850	39	3	124548.99	2	1	1	120380.12	1	0	1
581	24	3	95508.2	1	1	1	45755.0	0	0	0
833	37	8	151226.18	2	1	1	136129.49	0	0	1
667	40	8	72945.29	2	1	0	98931.5	0	0	1
611	38	4	71018.6	2	1	0	2444.29	0	0	1
778	33	5	116474.28	2	1	1	32757.55	0	1	1
714	21	6	86402.52	2	0	0	27330.59	1	0	1
638	34	6	114543.27	1	1	1	97755.29	0	0	1
597	19	2	0.0	2	1	1	91036.74	0	0	1
