UNIQID	variance	skewness	curtosis	entropy
r1085	-0.62684	-6.301	4.7843	1.106
r1098	-0.71868	-5.7154	3.8298	1.0233
r1037	-0.70867	-5.5602	4.0483	0.903
r1024	-1.1022	-5.8395	4.5641	0.68705
r902	-0.81479	-5.7381	4.3919	0.3211
r1077	-0.37013	-5.554	4.7749	1.547
r1016	-0.93587	-5.1008	4.5367	1.3866
r894	-0.63298	-5.1277	4.5624	1.4797
r915	-0.539	-5.167	3.4399	0.052141
r879	-2.3518	-4.8359	6.6479	-0.060358
r1245	-2.4561	-4.5566	6.4534	-0.056479
r1184	-2.2617	-4.7428	6.3489	0.11162
r1306	-2.6406	-4.4159	5.983	-0.13924
r1001	-1.7104	-4.778	6.2109	0.3974
r818	-1.5322	-5.0966	6.6779	0.17498
r1367	-1.3887	-4.8773	6.4774	0.34179
r1341	-1.7479	-5.823	5.8699	1.212
r975	-2.2987	-5.227	5.63	0.91722
r792	-2.286	-5.4484	5.8039	0.88231
r853	-2.5754	-5.6574	6.103	0.65214
r1280	-2.7908	-5.7133	5.953	0.45946
r1219	-2.7769	-5.6967	5.9179	0.37671
r1158	-2.565	-5.7899	6.0122	0.046968
r892	-0.77288	-7.4473	6.492	0.36119
r1014	-0.90784	-7.9026	6.7807	0.34179
r1075	-0.55355	-7.9233	6.7156	0.74394
r1273	-2.5526	-7.3625	6.9255	-0.66811
r1151	-2.4835	-7.4494	6.8964	-0.64484
r846	-2.4824	-7.3046	6.839	-0.59053
r1334	-1.5681	-7.2446	6.5537	-0.1276
r785	-2.0962	-7.1059	6.6188	-0.33708
r968	-2.1786	-6.4479	6.0344	-0.20777
r1212	-2.62	-6.8555	6.2169	-0.62285
r963	-1.4106	-7.108	5.6454	0.31335
r1146	-1.6988	-7.1163	5.7902	0.16723
r1329	-1.1005	-7.2508	6.0139	0.36895
r1319	-0.72068	-6.7583	5.8408	0.62369
r770	-0.9854	-6.661	5.8245	0.5461
r1138	-1.5228	-6.4789	5.7568	0.87325
r955	-1.0744	-6.3113	5.355	0.80472
r953	-1.0292	-6.3879	5.5255	0.79955
r1321	-0.97325	-6.4168	5.6026	1.0323
r833	-1.7263	-6.0237	5.2419	0.29524
r772	-1.5252	-6.2534	5.3524	0.59912
r914	-1.749	-6.332	6.0987	0.14266
r1199	-1.8343	-6.5907	5.6429	0.54998
r1136	-1.5877	-6.6072	5.8022	0.31593
r1258	-1.8387	-6.301	5.6506	0.19567
r1197	-1.7886	-6.3486	5.6154	0.42584
r1260	-1.9116	-6.1603	5.606	0.48533
r793	-1.6244	-6.3444	4.6575	0.16981
r976	-1.239	-6.541	4.8151	-0.033204
r1342	-0.95923	-6.7128	4.9857	0.32886
r831	-1.522	-6.6383	5.7491	-0.10691
r1268	-2.1241	-6.8969	5.5992	-0.47156
r1207	-1.9551	-6.9756	5.5383	-0.12889
r780	-1.8219	-6.8824	5.4681	0.057313
r841	-1.8969	-6.7893	5.2761	-0.32544
r1220	-1.8356	-6.7562	5.0585	-0.55044
r854	-1.8782	-6.5865	4.8486	-0.021566
r1281	-1.9983	-6.6072	4.8254	-0.41984
r1159	-1.5951	-6.572	4.7689	-0.94354
r887	-2.5701	-6.8452	8.9999	2.1353
r1070	-2.5373	-6.959	8.8054	1.5289
r1009	-2.9915	-6.6258	8.6521	1.8198
r1123	-1.7589	-6.4624	8.4773	0.31981
r1062	-2.0066	-6.719	9.0162	0.099985
r940	-1.7279	-6.841	8.9494	0.68058
r946	-1.682	-6.8121	7.1398	1.3323
r1097	-1.8046	-6.8141	6.7019	1.1681
r1036	-1.7976	-6.7686	6.6753	0.89912
r824	-2.234	-7.0314	7.4936	0.61334
r1251	-2.7083	-6.8266	7.5339	0.59007
r1190	-2.5665	-6.8824	7.5416	0.70774
r1129	-2.2918	-7.257	7.9597	0.9211
r763	-1.6677	-7.1535	7.8929	0.96765
r1312	-1.5078	-7.3191	7.8981	1.2289
r752	3.1541	-5.1711	6.5991	0.57455
r428	2.5503	-4.9518	6.3729	-0.41596
r188	2.7365	-5.0325	6.6608	-0.57889
r652	3.3577	-4.3062	6.0241	0.18274
r650	2.9571	-4.5938	5.9068	0.57196
r553	2.6463	-4.8152	6.3549	0.003003
r493	2.5698	-4.4076	5.9856	0.078002
r155	2.4226	-4.5752	5.947	0.21507
r680	2.2429	-4.1427	5.2333	-0.40173
r94	-0.64472	-4.6062	8.347	-2.7099
r24	0.7057	-5.4981	8.3368	-2.8715
r590	1.5268	-5.5871	8.6564	-1.722
r418	1.9572	-5.1153	8.6127	-1.4297
r317	1.5799	-4.7076	7.9186	-1.5487
r710	1.7257	-4.4697	8.2219	-1.8073
r285	1.3419	-4.4221	8.09	-1.7349
r534	1.9476	-4.7738	8.527	-1.8668
r424	1.742	-4.809	8.2142	-2.0659
r276	1.3638	-4.7759	8.4182	-1.8836
r306	1.6032	-4.7863	8.5193	-2.1203
r17	1.4479	-4.8794	8.3428	-2.1086
