UNIQID	CreditScore	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	Geography_Germany	Geography_Spain	Gender_Male
r2292	812.0	25.0	5.0	54817.55	1.0	1.0	0.0	131660.31	1.0	0.0	1.0
r2322	695.0	46.0	7.0	49512.55	1.0	1.0	0.0	133007.34	0.0	0.0	1.0
r2994	691.0	31.0	5.0	40915.55	1.0	1.0	0.0	126213.84	0.0	0.0	0.0
r607	582.0	41.0	1.0	40488.76	1.0	1.0	0.0	128528.83	0.0	0.0	1.0
r4920	779.0	29.0	3.0	46388.16	3.0	1.0	0.0	127939.26	0.0	0.0	0.0
r274	584.0	32.0	8.0	40172.91	1.0	1.0	1.0	137439.34	1.0	0.0	1.0
r744	640.0	30.0	5.0	32197.64	1.0	0.0	1.0	141446.01	1.0	0.0	0.0
r829	671.0	34.0	6.0	37266.67	2.0	0.0	0.0	156917.12	1.0	0.0	0.0
r3890	670.0	40.0	3.0	47364.45	1.0	1.0	1.0	148579.43	0.0	0.0	0.0
r3348	527.0	29.0	2.0	27755.97	1.0	1.0	0.0	97468.44	0.0	1.0	0.0
r2455	810.0	69.0	3.0	27288.43	1.0	1.0	1.0	110509.9	1.0	0.0	1.0
r3896	657.0	42.0	5.0	41473.33	1.0	1.0	0.0	112979.6	0.0	1.0	1.0
r2054	671.0	31.0	7.0	41299.03	1.0	0.0	1.0	102681.32	0.0	0.0	0.0
r1478	651.0	41.0	4.0	38617.2	1.0	1.0	1.0	104876.8	0.0	0.0	0.0
r3392	658.0	31.0	2.0	36566.96	1.0	1.0	0.0	103644.98	0.0	1.0	0.0
r4390	569.0	66.0	2.0	0.0	1.0	1.0	0.0	130784.2	0.0	0.0	1.0
r3264	523.0	73.0	7.0	0.0	2.0	0.0	0.0	130883.9	0.0	0.0	0.0
r3606	734.0	54.0	3.0	0.0	1.0	1.0	0.0	130805.54	0.0	0.0	0.0
r1082	814.0	72.0	2.0	0.0	2.0	0.0	1.0	130853.03	0.0	1.0	0.0
r3112	499.0	57.0	1.0	0.0	1.0	0.0	0.0	131372.38	0.0	0.0	0.0
r4289	621.0	40.0	7.0	0.0	2.0	0.0	1.0	131283.6	0.0	1.0	0.0
r1052	550.0	34.0	3.0	0.0	2.0	0.0	0.0	131281.28	0.0	1.0	1.0
r4347	586.0	46.0	0.0	0.0	3.0	0.0	1.0	131553.82	0.0	0.0	0.0
r1638	695.0	31.0	8.0	0.0	2.0	0.0	1.0	131644.41	0.0	1.0	0.0
r1493	733.0	32.0	5.0	0.0	2.0	1.0	0.0	131625.14	0.0	1.0	0.0
r958	742.0	27.0	0.0	0.0	2.0	0.0	1.0	131534.96	0.0	0.0	1.0
r3169	444.0	45.0	6.0	0.0	1.0	1.0	0.0	130009.85	0.0	0.0	1.0
r3965	599.0	31.0	3.0	0.0	1.0	1.0	1.0	130086.47	0.0	1.0	0.0
r1348	651.0	53.0	7.0	0.0	2.0	1.0	1.0	130132.41	0.0	0.0	1.0
r1142	604.0	71.0	10.0	0.0	2.0	1.0	1.0	129984.2	0.0	1.0	0.0
r3323	584.0	59.0	1.0	0.0	1.0	0.0	1.0	130260.11	0.0	1.0	0.0
r735	608.0	33.0	4.0	0.0	1.0	0.0	1.0	130474.03	0.0	0.0	1.0
r2778	773.0	50.0	4.0	0.0	2.0	1.0	0.0	129372.94	0.0	0.0	0.0
r4451	697.0	62.0	7.0	0.0	1.0	1.0	0.0	129188.18	0.0	1.0	1.0
r2458	660.0	30.0	4.0	0.0	2.0	1.0	0.0	129149.06	0.0	1.0	1.0
r2005	674.0	31.0	1.0	0.0	1.0	1.0	0.0	128954.05	0.0	0.0	0.0
r4828	560.0	47.0	1.0	0.0	1.0	0.0	0.0	128882.66	0.0	1.0	1.0
r4905	559.0	52.0	2.0	0.0	1.0	1.0	0.0	129013.59	0.0	0.0	1.0
r2663	623.0	28.0	7.0	0.0	1.0	0.0	0.0	129526.57	0.0	0.0	1.0
r1951	705.0	32.0	3.0	0.0	2.0	0.0	0.0	129576.99	0.0	0.0	1.0
r266	743.0	25.0	6.0	0.0	2.0	1.0	0.0	129740.11	0.0	1.0	1.0
r2699	651.0	34.0	9.0	0.0	2.0	1.0	0.0	138113.71	0.0	0.0	0.0
r2426	690.0	33.0	5.0	0.0	2.0	1.0	0.0	138017.68	0.0	0.0	1.0
r2603	579.0	31.0	9.0	0.0	1.0	0.0	1.0	139048.0	0.0	0.0	1.0
r4466	627.0	41.0	6.0	0.0	3.0	1.0	1.0	138700.75	0.0	0.0	0.0
r717	692.0	29.0	4.0	0.0	2.0	0.0	0.0	138880.24	0.0	1.0	0.0
r238	725.0	32.0	0.0	0.0	2.0	1.0	1.0	138525.19	0.0	1.0	0.0
r2979	777.0	32.0	2.0	0.0	1.0	1.0	0.0	136458.19	0.0	0.0	0.0
r3940	689.0	57.0	4.0	0.0	2.0	1.0	0.0	136649.8	0.0	1.0	0.0
r2749	656.0	38.0	10.0	0.0	1.0	1.0	1.0	136521.82	0.0	0.0	1.0
r2370	488.0	36.0	0.0	0.0	2.0	1.0	0.0	136675.22	0.0	0.0	0.0
r2017	623.0	21.0	10.0	0.0	2.0	0.0	1.0	135851.3	0.0	0.0	1.0
r4284	524.0	64.0	5.0	0.0	1.0	1.0	0.0	136079.64	0.0	1.0	0.0
r2923	536.0	28.0	4.0	0.0	1.0	1.0	1.0	136197.65	0.0	1.0	0.0
r4509	721.0	32.0	10.0	0.0	1.0	1.0	0.0	136119.96	0.0	1.0	0.0
r604	662.0	38.0	4.0	0.0	2.0	1.0	0.0	136259.65	0.0	1.0	1.0
r4194	751.0	48.0	9.0	0.0	1.0	1.0	0.0	137508.42	0.0	0.0	0.0
r1946	616.0	46.0	2.0	0.0	2.0	1.0	0.0	137136.46	0.0	0.0	1.0
r4141	546.0	52.0	2.0	0.0	1.0	1.0	0.0	137332.37	0.0	0.0	0.0
r1771	633.0	59.0	5.0	0.0	1.0	1.0	1.0	137273.97	0.0	0.0	1.0
r3852	850.0	40.0	6.0	0.0	1.0	1.0	0.0	136985.08	0.0	0.0	1.0
r175	672.0	53.0	7.0	0.0	1.0	1.0	1.0	136910.18	0.0	0.0	0.0
r4092	682.0	41.0	6.0	0.0	2.0	0.0	1.0	134158.09	0.0	0.0	1.0
r2707	710.0	23.0	6.0	0.0	2.0	1.0	1.0	134188.11	0.0	1.0	1.0
r2912	668.0	69.0	9.0	0.0	1.0	0.0	1.0	134483.07	0.0	1.0	0.0
r2815	569.0	41.0	2.0	0.0	2.0	1.0	0.0	134272.57	0.0	1.0	1.0
r2355	569.0	44.0	4.0	0.0	2.0	0.0	0.0	134394.78	0.0	0.0	0.0
r3386	621.0	47.0	0.0	0.0	1.0	1.0	1.0	133831.37	0.0	0.0	1.0
r3870	705.0	35.0	5.0	0.0	1.0	1.0	0.0	133991.11	0.0	0.0	0.0
r2197	569.0	34.0	3.0	0.0	1.0	1.0	0.0	133997.53	0.0	1.0	0.0
r3154	512.0	36.0	1.0	0.0	1.0	0.0	1.0	135482.26	0.0	1.0	1.0
r1203	759.0	26.0	4.0	0.0	2.0	1.0	0.0	135394.62	0.0	0.0	1.0
r1580	512.0	39.0	3.0	0.0	1.0	1.0	0.0	134878.19	0.0	1.0	1.0
r2311	668.0	25.0	8.0	0.0	2.0	1.0	1.0	135112.09	0.0	1.0	1.0
r1521	707.0	44.0	3.0	0.0	2.0	1.0	1.0	135077.01	0.0	1.0	1.0
r4563	785.0	38.0	1.0	0.0	1.0	1.0	0.0	134964.85	0.0	0.0	0.0
r3741	724.0	31.0	5.0	0.0	1.0	1.0	0.0	134889.95	0.0	0.0	1.0
r459	764.0	41.0	7.0	0.0	2.0	0.0	0.0	134878.34	0.0	0.0	1.0
r2413	665.0	41.0	8.0	0.0	2.0	1.0	0.0	132152.32	0.0	1.0	1.0
r1883	511.0	33.0	3.0	0.0	2.0	1.0	0.0	132436.71	0.0	0.0	0.0
r697	624.0	23.0	5.0	0.0	2.0	0.0	0.0	132418.59	0.0	0.0	0.0
r1017	814.0	48.0	7.0	0.0	2.0	1.0	1.0	132870.15	0.0	0.0	0.0
r772	797.0	29.0	1.0	0.0	2.0	1.0	1.0	132975.39	0.0	0.0	0.0
r4682	524.0	32.0	6.0	0.0	1.0	1.0	1.0	132861.9	0.0	1.0	0.0
r1193	749.0	35.0	3.0	0.0	3.0	1.0	1.0	132649.85	0.0	0.0	0.0
r4471	607.0	39.0	10.0	0.0	3.0	1.0	0.0	132741.13	0.0	0.0	0.0
r201	627.0	41.0	3.0	0.0	2.0	1.0	0.0	132719.8	0.0	0.0	1.0
r4216	694.0	35.0	7.0	0.0	1.0	1.0	0.0	133570.43	0.0	1.0	0.0
r1773	739.0	36.0	0.0	0.0	2.0	0.0	0.0	133465.57	0.0	0.0	0.0
r2505	446.0	32.0	8.0	0.0	2.0	0.0	0.0	133292.94	0.0	0.0	1.0
r2352	630.0	28.0	1.0	0.0	2.0	1.0	1.0	133267.78	0.0	0.0	0.0
r89	547.0	35.0	4.0	0.0	1.0	1.0	1.0	133287.73	0.0	0.0	0.0
r1473	631.0	36.0	1.0	0.0	2.0	0.0	0.0	133141.34	0.0	0.0	1.0
r1163	572.0	38.0	7.0	0.0	2.0	1.0	1.0	133122.62	0.0	0.0	0.0
r77	686.0	41.0	10.0	0.0	1.0	1.0	0.0	133086.45	0.0	0.0	0.0
r780	671.0	27.0	5.0	0.0	2.0	0.0	0.0	120893.07	0.0	0.0	1.0
r4655	767.0	47.0	5.0	0.0	1.0	1.0	0.0	121964.46	0.0	1.0	1.0
r3237	789.0	37.0	3.0	0.0	1.0	1.0	0.0	121883.87	0.0	0.0	1.0
r4040	700.0	47.0	4.0	0.0	1.0	1.0	0.0	121798.52	0.0	1.0	1.0
