UNIQID	SepalWidthCm	PetalWidthCm	PetalLengthCm	SepalLengthCm
r98	2.5	1.1	3.0	5.1
r64	2.9	1.3	3.6	5.6
r79	2.6	1.0	3.5	5.7
r141	3.1	2.3	5.1	6.9
r87	2.3	1.3	4.4	6.3
r68	2.2	1.5	4.5	6.2
r145	3.0	2.3	5.2	6.7
r53	2.3	1.3	4.0	5.5
r77	3.0	1.7	5.0	6.7
r62	2.2	1.0	4.0	6.0
r76	2.8	1.4	4.8	6.8
r60	2.0	1.0	3.5	5.0
r54	2.8	1.5	4.6	6.5
r88	3.0	1.3	4.1	5.6
r95	3.0	1.2	4.2	5.7
r85	3.4	1.6	4.5	6.0
r59	2.7	1.4	3.9	5.2
r67	2.7	1.0	4.1	5.8
r96	2.9	1.3	4.2	5.7
r56	3.3	1.6	4.7	6.3
r99	2.8	1.3	4.1	5.7
r91	3.0	1.4	4.6	6.1
r94	2.7	1.3	4.2	5.6
r78	2.9	1.5	4.5	6.0
r92	2.6	1.2	4.0	5.8
r86	3.1	1.5	4.7	6.7
r80	2.4	1.1	3.8	5.5
r69	2.5	1.1	3.9	5.6
r58	2.9	1.3	4.6	6.6
r52	3.1	1.5	4.9	6.9
r89	2.5	1.3	4.0	5.5
r93	2.3	1.0	3.3	5.0
r71	2.8	1.3	4.0	6.1
r65	3.1	1.4	4.4	6.7
r75	3.0	1.4	4.4	6.6
r74	2.9	1.3	4.3	6.4
r82	2.7	1.2	3.9	5.8
r50	3.2	1.4	4.7	7.0
r61	3.0	1.5	4.2	5.9
r51	3.2	1.5	4.5	6.4
r81	2.4	1.0	3.7	5.5
r97	2.9	1.3	4.3	6.2
r57	2.4	1.0	3.3	4.9
r84	3.0	1.5	4.5	5.4
r110	3.2	2.0	5.1	6.5
r127	3.0	1.8	4.9	6.1
r138	3.0	1.8	4.8	6.0
r73	2.8	1.2	4.7	6.1
r63	2.9	1.4	4.7	6.1
r70	3.2	1.8	4.8	5.9
r55	2.8	1.3	4.5	5.7
r66	3.0	1.5	4.5	5.6
r90	2.6	1.2	4.4	5.5
r131	3.8	2.0	6.4	7.9
r118	2.6	2.3	6.9	7.7
r117	3.8	2.2	6.7	7.7
r137	3.1	1.8	5.5	6.4
r148	3.4	2.3	5.4	6.2
r149	3.0	1.8	5.1	5.9
r83	2.7	1.6	5.1	6.0
r125	3.2	1.8	6.0	7.2
r124	3.3	2.1	5.7	6.7
r116	3.0	1.8	5.5	6.5
r109	3.6	2.5	6.1	7.2
r129	3.0	1.6	5.8	7.2
r133	2.8	1.5	5.1	6.3
r135	3.0	2.3	6.1	7.7
r146	2.5	1.9	5.0	6.3
r111	2.7	1.9	5.3	6.4
r102	3.0	2.1	5.9	7.1
r144	3.3	2.5	5.7	6.7
r140	3.1	2.4	5.6	6.7
r130	2.8	1.9	6.1	7.4
r119	2.2	1.5	5.0	6.0
r123	2.7	1.8	4.9	6.3
r139	3.1	2.1	5.4	6.9
r126	2.8	1.8	4.8	6.2
r112	3.0	2.1	5.5	6.8
r120	3.2	2.3	5.7	6.9
r115	3.2	2.3	5.3	6.4
r72	2.5	1.5	4.9	6.3
r147	3.0	2.0	5.2	6.5
r100	3.3	2.5	6.0	6.3
r134	2.6	1.4	5.6	6.1
r106	2.5	1.7	4.5	4.9
r114	2.8	2.4	5.1	5.8
r128	2.8	2.1	5.6	6.4
r105	3.0	2.1	6.6	7.6
r113	2.5	2.0	5.0	5.7
r132	2.8	2.2	5.6	6.4
r108	2.5	1.8	5.8	6.7
r122	2.8	2.0	6.7	7.7
r103	2.9	1.8	5.6	6.3
r136	3.4	2.4	5.6	6.3
r104	3.0	2.2	5.8	6.5
r121	2.8	2.0	4.9	5.6
r143	3.2	2.3	5.9	6.8
r107	2.9	1.8	6.3	7.3
r142	2.7	1.9	5.1	5.8
r101	2.7	1.9	5.1	5.8
r41	2.3	0.3	1.3	4.5
r22	3.6	0.2	1.0	4.6
r33	4.2	0.2	1.4	5.5
r15	4.4	0.4	1.5	5.7
r32	4.1	0.1	1.5	5.2
r44	3.8	0.4	1.9	5.1
r11	3.4	0.2	1.6	4.8
r24	3.4	0.2	1.9	4.8
r25	3.0	0.2	1.6	5.0
r12	3.0	0.1	1.4	4.8
r30	3.1	0.2	1.6	4.8
r20	3.4	0.2	1.7	5.4
r37	3.1	0.1	1.5	4.9
r34	3.1	0.1	1.5	4.9
r9	3.1	0.1	1.5	4.9
r8	2.9	0.2	1.4	4.4
r29	3.2	0.2	1.6	4.7
r3	3.1	0.2	1.5	4.6
r23	3.3	0.5	1.7	5.1
r45	3.0	0.3	1.4	4.8
r1	3.0	0.2	1.4	4.9
r16	3.9	0.4	1.3	5.4
r14	4.0	0.2	1.2	5.8
r36	3.5	0.2	1.3	5.5
r35	3.2	0.2	1.2	5.0
r31	3.4	0.4	1.5	5.4
r40	3.5	0.3	1.3	5.0
r21	3.7	0.4	1.5	5.1
r13	3.0	0.1	1.1	4.3
r46	3.8	0.2	1.6	5.1
r19	3.8	0.3	1.5	5.1
r42	3.2	0.2	1.3	4.4
r6	3.4	0.3	1.4	4.6
r4	3.6	0.2	1.4	5.0
r47	3.2	0.2	1.4	4.6
r48	3.7	0.2	1.5	5.3
r5	3.9	0.4	1.7	5.4
r49	3.3	0.2	1.4	5.0
r28	3.4	0.2	1.4	5.2
r39	3.4	0.2	1.5	5.1
r26	3.4	0.4	1.6	5.0
r18	3.8	0.3	1.7	5.7
r38	3.0	0.2	1.3	4.4
r27	3.5	0.2	1.5	5.2
r7	3.4	0.2	1.5	5.0
r43	3.5	0.6	1.6	5.0
r17	3.5	0.3	1.4	5.1
r2	3.2	0.2	1.3	4.7
r10	3.7	0.2	1.5	5.4
r0	3.5	0.2	1.4	5.1
