Index,Title,Lyrics
0,一切的原因,你看走到這一天 過去想像中的畫面 路上失去的一些 換來智慧的好幾頁 最美的不過是沿途路過的風景 而不是那個目的地 用心去感受每個潮起每個潮落 學會不再那麼執著 就讓這旋律陪你去看遙遠的光景 帶你經歷不容易卻值得的劇情 想跟你一起繼續做白日夢 或許這是一切的原因 我們走到這一天 身在夢想中的畫面 回收的破銅爛鐵 已成為真金錘鍊 最美的從不是沿途的風景 是不管哪一次潮起潮落 都在身邊的你 就讓這旋律陪你去看遙遠的光景 帶你經歷不容易卻值得的劇情 想跟你一起繼續做白日夢 因為你是一切的原因 我會一直擁抱著你無論白天黑夜 無論刮著風下著雨 無論風光明媚 我會一直守護著你不管心多遙遠 陪你拼湊破碎的夢 重新再陪你去追 就讓這旋律陪你經歷狂風和暴雨 再回到不容易卻值得的平靜 想跟你繼續做每一場夢 因為你是一切的原因 我們走到這一天 身在夢想中的畫面 回收的破銅爛鐵已成為真金錘鍊
1,幸福的末班車,從什麼時候開始 我們已經不再聯絡 滑著彼此的生活卻不再回應 曾為了什麼交錯 結果後來選擇不同 曾經相愛的人也淪為對立 縱使命中注定我們要分別 注定一顆心終究要被撕裂 沒有誰比誰抱歉 總是傷口結痂後又再龜裂 不甘心的在心中許下心願 只希望能回到那一站從前 好想要再次的和你一起 感受那種瘋狂的歡笑 痛哭之後被理解的擁抱 徹夜未眠唱著歌說垃圾話 這樣就能足以感到驕傲(感到驕傲) 若是會當閣予我一改機會 我欲佮你做伙袂閣再管浮華世間的一切 所有的願望早就已無所謂 因為一生只想和你一起 趕上幸福的末班車 有些話總是卡在喉嚨說不出口 彼此猜忌之後見面尷尬無處躲 築起一道名為想得太糟的高牆 還舉起著朝向自己腦袋的刀槍 總是傷口結痂後又再龜裂 不甘心的在心中許下心願 只希望能回到那一站從前 好想要再次的和你一起 感受那種瘋狂的歡笑 痛哭之後被理解的擁抱 徹夜未眠唱著歌說垃圾話 這樣就足以感到驕傲(感到驕傲) 若是會當閣予我一改機會 我欲佮你做伙袂閣再管浮華世間的一切 所有的願望早就已無所謂 因為一生只想和你一起 趕上幸福的末班車 好想要再次的和你一起 感受那種瘋狂的歡笑 痛哭之後被理解的擁抱 徹夜未眠唱著歌說垃圾話 這樣就足以感到驕傲(感到驕傲) 若是會當閣予我一改機會 我欲佮你做伙袂閣再管浮華世間的一切 所有的願望早就已無所謂 因為一生只想和你一起 趕上幸福的末班車 Everybody let’s go (啦啦啦～)
2,Goodbye,你曾是我的快樂 像乾旱中的那場雨 給我無數強心針到世界盡頭的勇氣 你曾是我在追逐的夢 證明我存在的證據 在數不清的失憶中照亮黑夜裡的星 或許就是不甘心不願承認失去 把自己鎖在美好回憶裡哀悼不堪的命運 或許該下定決心 何必留戀在不屬於我的地方 就算是流著淚 捨不得走太遠 曾綻放的剎那再美卻都只是瞬間 會記得你的好 和那荒唐的玩笑 謝謝你辛苦了 我愛你直到永遠 就算是重感情的廢物希望你回來 But it’s time to say goodbye It’s time to say goodbye But it’s time to say goodbye 你成為一種執著 越陷越深無法抽離 不再相信自己值得擁有幸福那種命 像個籠中鳥拼命說服自己能繼續沉淪 But you already lost control 傷透願意留在身邊還沒放棄我的你 早就該下定決心 因為我還要去更遙遠的地方 就算是流著淚 捨不得走太遠 曾綻放的剎那再美也都只是瞬間 會記得你的好 和那荒唐的玩笑 謝謝你辛苦了 我愛你直到永遠 就算是重感情的廢物希望你回來 But it’s time to say goodbye 在一望無際的星空中 是否你在那守護著我 千言萬語就放在心裡頭 記得眼淚擦乾了之後 才會明白活著的理由 深愛過才存在過 是時候放手讓你自由 就算是流著淚 捨不得走太遠 曾綻放的剎那再美也都只是瞬間 會記得你的好 和那荒唐的玩笑 謝謝你辛苦了 我愛你直到永遠 就算是重感情的廢物希望你回來 But it’s time to say goodbye It’s time to say goodbye It’s time to say goodbye 感謝你的存在 讓我認識了愛 But it’s time to say goodbye
3,相信2Ø24 (feat. 于修),用謊言編織的情節 還真的是美 就快要失去了所有知覺 分辨是與非 想要的怎樣都不夠 像黑洞 無盡的墜落 給我一個活著的理由 This is the truth I'm fighting for 這一生渴望追求真理 不管世界想要與我為敵 停止再相信不如死去 (Tonight we all believe) 不甘願活在小劇場裡 不照劇本的像是在革命 聽見心裡吶喊的聲音 (Then one day we will see ) 背著我信念把疑惑切碎 即使可能會失敗 我會嘗試好幾遍 直到我的心 停止跳動之前 或許有太多的困難跟阻礙 想提醒我無法再承受 還差一步證明沒任何的理由 能打翻我自己的承諾 And I’ll never stop 即便不輕鬆 Cause this is the truth I’m fighting for 這一生渴望追求真理 不管世界想要與我為敵 停止再相信不如死去 (Tonight we all believe) 不甘願活在小劇場裡 不照劇本的像是在革命 聽見心裡吶喊的聲音 (Then one day we will see) 感謝神一路上的帶領 帶我們走過著每個高山跟低谷 如果你正在經歷某個艱難的時期 此刻神的光將照進你心深處 像一顆希望的種子 慢慢成長茁壯 當光照進來 一切的黑暗將要退去 Amen 我們來自哪裡應該往哪去 嘴裡吐出同情卻破壞徹底 誰在背後支配你也在跟隨 最後也理所當然化成灰 這一生渴望追求真理 不管世界想要與我為敵 停止再相信不如死去 (Tonight we all believe) 不甘願活在小劇場裡 不照劇本的像是在革命 聽見心裡吶喊的聲音 (Then one day we will see) One day we will see One day we believe
4,終究還是因為愛,感謝你曾經給我留下的傷 讓我有比從前要強悍的心臟 感謝在背後支撐住的力量 讓每次暴風雨來臨時還能擁有信仰 是什麼讓我們可以相遇 為什麼讓我們碎得支離 回頭看所有安排好的命運 才認識了註定 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 原來都是因為愛 再美的風景 如果沒有抬頭看 怎麼知道自己不用深陷在黑暗 Think about your love ones Remember they're always around 找到你內在裡的答案就是解藥 是什麼讓我們可以相遇 為什麼讓我們碎得支離 回頭看所有安排好的命運 才認識了註定 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 原來都是因為愛 You make me wanna stay forever Endless nights go on and on Let’s dive into this dream together Just feel the vibe all around I’ve been searching for the answer Aimlessly looking around In this moment nothing matters And the answer is love 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 Just give in this feeling And let it wash over your skin 到最後 一直在尋找的答案 終究還是因為愛 終究還是因為愛
5,Money Can Not Buy My Soul,來到這個亂世 Huh 需要一點膽識 Yup 太多近利短視 See 許了太多旦誓 Vroom 他們想要質疑我的品味 卻沒有任何的成績匹配 全都是空 全都像是一陣風 Like Trash Bomb Like Like Trash Bomb You Wanna Be Top One You Wanna Be Tough Guy 沒做任何努力卻期待著改變 全部都隨你 別把我定義 Who Are Who Are Who Are You Yes Sir Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul 太多人太浮誇在那爭奇鬥豔 阿諛諂媚的小動作若影若現 選邊站不是我的作風 懂明白看破卻不說破 I Made You Feel Like A Loser 注意不要靠近 見到我們小心 懶得跟你較勁 銀河系的笑柄 You Wanna Be Top One You Wanna Be Tough Guy 沒做任何努力卻期待著改變 全部都隨你 別把我定義 Who Are Who Are Who Are You Yes Sir Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul 回首了從前 單純的童年 那些貪婪的眼神全都消失不見 思緒它在喧囂 該要怎麼做才好 一躍而下我不怕痛 Ah Oh Vroom Rolling Rolling Rollie Roll Money Can Not Buy My Soul Vroom Rolling Rolling Rollie Roll EveryBody Woo Ah Oh Ah Oh Woo Ah Oh Ah Oh Money Money Money Money Can Not Buy My Soul DaDaDaDaDaDaDa DaDaDaDaDa DaDaDaDaDaDaDa DaDaDaDaDa DaDaDaDaDaDaDa DaDaDaDaDa DaDaDaDaDaDaDa Money Can Not Buy My Soul
6,重感情的廢物,我們已經長大 笑著曾經說過的夢話 有幾分能作響 承諾不再偉大 屬於同個宇宙的愛人 終究會離開吧 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 你已經越來越遙遠 剩下曲終人散的總結 你要我該怎麼去面對 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 愛上那些謊話 離開心裡天真的孩子 無情的擁抱吧 反正這是命啊 早習慣享受這種孤獨 和沈重的步伐 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 (你不存在的空間) 你已經越來越遙遠 剩下曲終人散的總結 看不見聽不見除非你在我身邊 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 想回到那一天 是多麽不顧一切 那樣的我們離這世界好遠 受夠自己在這裡抱怨這個世界 反正不管再怎麼靠背也都不會改變 除非你陪我浪費 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 不想接受就這樣的結束 我就是重感情的廢物
7,希望你回來,我知道此刻你也一樣不甘心 放不下心愛的人匆匆離去 為難你的淚水我拼命擦去 才知道我心中你多了不起 看你演的戲聽你愛的歌 就好像你從沒離開過這 怪自己是凡人無能為力 才會如此想你 我只希望你回來 我只希望你回來 說好要看著我實現 那不切實際的諾言怎能不告而別 還沒準備好去面對沒有你的世界 會不會你現在比從前快樂 少了受傷的心和崩壞的軀殼 答應我不必再對自己苛責 因為你早已經是最棒的人 一生風風雨雨坎坎坷坷 連天上的星星也都不捨 還來不及寫出你盼望的那一首情歌 我只希望你回來 我只希望你回來 說好要看著我實現 那不切實際的諾言怎能不告而別 I don't wanna say goodbye I don't wanna say goodbye 答應你我會更堅強 當個有骨氣的男人不再輕易流淚 只願這一切能發生在和你道別之前 我只希望你回來 我只希望你回來 說好要看著我實現 那不切實際的諾言怎能不告而別 I don't wanna say goodbye I don't wanna say goodbye 答應你我會更堅強 當個有骨氣的男人不再輕易流淚 只願這一切能發生再和你道別
8,Die With You,月光下皎潔的 如夢似幻你無預兆的出現 詩人的歌都無法 描繪這畫面 霓虹色的天空 瘋狂的你在試探我的底線 想祈求上天別收回 眼前的魔鬼 迷離的眼神掀起巨浪 被困在海上暈頭轉向 就讓我們相擁在這片絢爛花火 還捨不得閉上眼 就連夢境都不曾到過這種境界 你美得不科學 如果世界將末日wish I can die with you 潔淨的透明的 無暇的軀殼卻有混濁的靈魂 我破碎的心在此刻 正被拼湊著 暗示在耳邊掀起巨浪 我奮不顧身墜入徜徉 在這禁忌的愛中填滿陳舊的傷 還捨不得閉上眼 就連夢境都不曾到過這種境界 你美得不科學 如果世界將末日wish I can die with you That’s right baby I can give you all I’m coming 還捨不得閉上眼 時間已經凍結纏綿在這場永夜 就怕再沒機會 窺探靈魂深處那顫抖的瞬間 捨不得睡 就連夢境都不曾到過的境界 你美的不科學 如果世界將末日wish I can die with you 捨不得閉上眼 告別這場永夜 那顫抖的瞬間 Wish I could die with you in the end
9,偶像歌手,為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 像籠裡的飛鳥 一樣自由 無數的放大鏡在 關注著我 I don't care I don't care 살래 난 이렇게 (我就是這樣活) 歡迎光臨 我 限量的美 領域沒展開 你當我是塑膠做的 去你的商業 這次不搞 美化過的 Nothing can stop us now 林北要說出 咱的心裡話 全給我 跪著 閉上嘴 聽著 You can hate my song (在你兒子最愛的Playlist) You won't break my soul (Cuz we got 防彈的意志) We can sing along (Let me show you 反轉的術式) This is how we roll 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 背負著 千萬支箭 貼上你愛的 標籤 I will Survive 來看吧 演戲吧 表裡不一的嘴 來看吧 니네오빠 (妳們的哥哥) 天菜變成了鬼 壓力扛下 尖叫聲 就在那 Make some noise Make some noise You can hate my song (在你兒子最愛的Playlist) You won't break my soul (Cuz we got 防彈的意志) We can sing along (Let me show you 反轉的術式) This is how we roll 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 背負著 千萬支箭 貼上你愛的 標籤 I will Survive Love me now Hate me now I don't care about you now Love me now Hate me now I don't care about you now 早一點回家呦 .. 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 背負著 千萬支箭 貼上你愛的 標籤 I will Survive 我不妥協 Don't give a shot ～ (Don't give don't give a shot ...)
