Unnamed: 0,Title,Lyrics
0,一切的原因,你看走到這一天 過去想像中的畫面 路上失去的一些 換來智慧的好幾頁 最美的不過是沿途路過的風景 而不是那個目的地 用心去感受每個潮起每個潮落 學會不再那麼執著 就讓這旋律陪你去看遙遠的光景 帶你經歷不容易卻值得的劇情 想跟你一起繼續做白日夢 或許這是一切的原因 我們走到這一天 身在夢想中的畫面 回收的破銅爛鐵 已成為真金錘鍊 最美的從不是沿途的風景 是不管哪一次潮起潮落 都在身邊的你 就讓這旋律陪你去看遙遠的光景 帶你經歷不容易卻值得的劇情 想跟你一起繼續做白日夢 因為你是一切的原因 我會一直擁抱著你無論白天黑夜 無論刮著風下著雨 無論風光明媚 我會一直守護著你不管心多遙遠 陪你拼湊破碎的夢 重新再陪你去追 就讓這旋律陪你經歷狂風和暴雨 再回到不容易卻值得的平靜 想跟你繼續做每一場夢 因為你是一切的原因 我們走到這一天 身在夢想中的畫面 回收的破銅爛鐵已成為真金錘鍊
1,幸福的末班車,從什麼時候開始 我們已經不再聯絡 滑著彼此的生活卻不再回應 曾為了什麼交錯 結果後來選擇不同 曾經相愛的人也淪為對立 縱使命中注定我們要分別 注定一顆心終究要被撕裂 沒有誰比誰抱歉 總是傷口結痂後又再龜裂 不甘心的在心中許下心願 只希望能回到那一站從前 好想要再次的和你一起 感受那種瘋狂的歡笑 痛哭之後被理解的擁抱 徹夜未眠唱著歌說垃圾話 這樣就能足以感到驕傲(感到驕傲) 若是會當閣予我一改機會 我欲佮你做伙袂閣再管浮華世間的一切 所有的願望早就已無所謂 因為一生只想和你一起 趕上幸福的末班車 有些話總是卡在喉嚨說不出口 彼此猜忌之後見面尷尬無處躲 築起一道名為想得太糟的高牆 還舉起著朝向自己腦袋的刀槍 總是傷口結痂後又再龜裂 不甘心的在心中許下心願 只希望能回到那一站從前 好想要再次的和你一起 感受那種瘋狂的歡笑 痛哭之後被理解的擁抱 徹夜未眠唱著歌說垃圾話 這樣就足以感到驕傲(感到驕傲) 若是會當閣予我一改機會 我欲佮你做伙袂閣再管浮華世間的一切 所有的願望早就已無所謂 因為一生只想和你一起 趕上幸福的末班車 好想要再次的和你一起 感受那種瘋狂的歡笑 痛哭之後被理解的擁抱 徹夜未眠唱著歌說垃圾話 這樣就足以感到驕傲(感到驕傲) 若是會當閣予我一改機會 我欲佮你做伙袂閣再管浮華世間的一切 所有的願望早就已無所謂 因為一生只想和你一起 趕上幸福的末班車 Everybody let’s go (啦啦啦～)
2,Goodbye,製作：周已敦Itun Chou、韋恩林W.LIN 編曲：韋恩林W.LIN、2-CHI、魁剛Kuei gun 你曾是我的快樂 像乾旱中的那場雨 給我無數強心針到世界盡頭的勇氣 你曾是我在追逐的夢 證明我存在的證據 在數不清的失憶中照亮黑夜裡的星 或許就是不甘心不願承認失去 把自己鎖在美好回憶裡哀悼不堪的命運 或許該下定決心 何必留戀在不屬於我的地方 就算是流著淚 捨不得走太遠 曾綻放的剎那再美卻都只是瞬間 會記得你的好 和那荒唐的玩笑 謝謝你辛苦了 我愛你直到永遠 就算是重感情的廢物希望你回來 But it’s time to say goodbye It’s time to say goodbye But it’s time to say goodbye 你成為一種執著 越陷越深無法抽離 不再相信自己值得擁有幸福那種命 像個籠中鳥拼命說服自己能繼續沉淪 But you already lost control 傷透願意留在身邊還沒放棄我的你 早就該下定決心 因為我還要去更遙遠的地方 就算是流著淚 捨不得走太遠 曾綻放的剎那再美也都只是瞬間 會記得你的好 和那荒唐的玩笑 謝謝你辛苦了 我愛你直到永遠 就算是重感情的廢物希望你回來 But it’s time to say goodbye 在一望無際的星空中 是否你在那守護著我 千言萬語就放在心裡頭 記得眼淚擦乾了之後 才會明白活著的理由 深愛過才存在過 是時候放手讓你自由 就算是流著淚 捨不得走太遠 曾綻放的剎那再美也都只是瞬間 會記得你的好 和那荒唐的玩笑 謝謝你辛苦了 我愛你直到永遠 就算是重感情的廢物希望你回來 But it’s time to say goodbye It’s time to say goodbye It’s time to say goodbye 感謝你的存在 讓我認識了愛 But it’s time to say goodbye
3,ULTRA (Changbin),"作詞：CHANGBIN / 作曲：CHANGBIN, 채강해 (Chae Kang Hae) & RESTART (KOR) / 編曲：RESTART (KOR) & 채강해 (Chae Kang Hae) Put 'em up, 모든 걸 끌어올려야 할 밤이야 Put 'em up, put 'em up, put 'em up The music can wake me up Again and again and again Ultra sound, ultra mic Ultra mind, ultra life Ultra power, ultra power, ultra power I got a shot called ultra, ultra, ultra Ultra Ultra Ultra, ultra, 내 상태는 ultra, ultra Feeling like banner Ultra, ultra, 내 상태는 ultra, ultra (There's no limit) 덕지덕지 붙여 놨던 모든 stress 던져 버렸지 다 like a piece of trash Be free from the pain, break a chain 새롭게 태어난 monster, 애초에 태가 다른 나의 booster 켜지 기지개를 펴지 올라가는 위치 그렇다고 쉬지 않고 뛰지 흉터는 깊이 패이겠지만 높은 가치와 결국엔 switch 적당히란 없지 이건 내 법칙 성취감 최대 섭취 완벽에 나를 덧칠 Put 'em up, 모든 걸 끌어올려야 할 밤이야 Put 'em up, put 'em up, put 'em up The music can wake me up Again and again and again Ultra sound, ultra mic Ultra mind, ultra life Ultra power, ultra power, ultra power I got a shot called Ultra, ultra, ultra Ultra Ultra Ultra, ultra, 내 상태는 ultra, ultra Feeling like banner Ultra, ultra, 내 상태는 ultra, ultra (There's no limit) 주변은 난리가 나지 adrenaline 투성이 I'm just rocking on my microphone, 뒤에선 이를 갈았지 I just worked hard like a little ant I overcame the pain and became a giant Ultra Ultra Ultra, ultra, 내 상태는 ultra, ultra Feeling like banner Ultra, ultra, 내 상태는 ultra, ultra (There's no limit)"
4,TRASH (Feat. pH-1),나 지금 겁이 안 나 I’m going out of my mind 머쓱해 아무 얘기나 꺼내 (Let's not waste time) Don't miss it 보내준 sign 복잡한 고민은 다음 better 해 뜰 때까지 나랑 놀아 내게 그려줘 날개 잃어버렸어 my pen 무슨 일이 생긴 걸까 나에게 나에게 아직 준비는 안 됨 입꼬리는 귀 옆에 널 향한 두 발끝이 날아가 Trash (Trash) 맴매매 내 머릿속에 Trash is for you (for you) Trash (Trash) 맴매매 내 머릿속에 Trash is for My head is trash My head is trash 나의 눈 속에서 내 생각이 보여 완전 19금 이건 새빨간 story 부모님 앞에선 말 못 할 이야기 When you’re with me I be thinking bout your body 손으로 한번 느껴봐 내 뜨거워진 몸을 도움이 필요해 Need your love ‘til the morning 온도를 올려줘 네 속을 보여줘 만약 너한테 지금 내 머릿속에 구겨 놓은 그림들을 펼쳐 보이면 쓰레기라 하겠지 실망할지도 모르지만 I don’t care 너무 사랑스러운 건 네 잘못인 걸 어떡해 본의 아니게 I be feeling like trash 문을 열어주면 안에 들어갈게 Let me show you what I’m talking about 아직 준비는 안 됨 입꼬리는 귀 옆에 내 두 발끝이 날아가 Trash (Trash) 맴매매 내 머릿속에 Trash is for you (for you) Trash (Trash) 맴매매 내 머릿속에 Trash is for My head is trash My head is trash
5,相信2Ø24 (feat. 于修),用謊言編織的情節 還真的是美 就快要失去了所有知覺 分辨是與非 想要的怎樣都不夠 像黑洞 無盡的墜落 給我一個活著的理由 This is the truth I'm fighting for 這一生渴望追求真理 不管世界想要與我為敵 停止再相信不如死去 (Tonight we all believe) 不甘願活在小劇場裡 不照劇本的像是在革命 聽見心裡吶喊的聲音 (Then one day we will see ) 背著我信念把疑惑切碎 即使可能會失敗 我會嘗試好幾遍 直到我的心 停止跳動之前 或許有太多的困難跟阻礙 想提醒我無法再承受 還差一步證明沒任何的理由 能打翻我自己的承諾 And I’ll never stop 即便不輕鬆 Cause this is the truth I’m fighting for 這一生渴望追求真理 不管世界想要與我為敵 停止再相信不如死去 (Tonight we all believe) 不甘願活在小劇場裡 不照劇本的像是在革命 聽見心裡吶喊的聲音 (Then one day we will see) 感謝神一路上的帶領 帶我們走過著每個高山跟低谷 如果你正在經歷某個艱難的時期 此刻神的光將照進你心深處 像一顆希望的種子 慢慢成長茁壯 當光照進來 一切的黑暗將要退去 Amen 我們來自哪裡應該往哪去 嘴裡吐出同情卻破壞徹底 誰在背後支配你也在跟隨 最後也理所當然化成灰 這一生渴望追求真理 不管世界想要與我為敵 停止再相信不如死去 (Tonight we all believe) 不甘願活在小劇場裡 不照劇本的像是在革命 聽見心裡吶喊的聲音 (Then one day we will see) One day we will see One day we believe
6,終究還是因為愛,感謝你曾經給我留下的傷 讓我有比從前要強悍的心臟 感謝在背後支撐住的力量 讓每次暴風雨來臨時還能擁有信仰 是什麼讓我們可以相遇 為什麼讓我們碎得支離 回頭看所有安排好的命運 才認識了註定 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 原來都是因為愛 再美的風景 如果沒有抬頭看 怎麼知道自己不用深陷在黑暗 Think about your love ones Remember they're always around 找到你內在裡的答案就是解藥 是什麼讓我們可以相遇 為什麼讓我們碎得支離 回頭看所有安排好的命運 才認識了註定 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 原來都是因為愛 You make me wanna stay forever Endless nights go on and on Let’s dive into this dream together Just feel the vibe all around I’ve been searching for the answer Aimlessly looking around In this moment nothing matters And the answer is love 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 Just give in this feeling And let it wash over your skin 到最後 一直在尋找的答案 終究還是因為愛 終究還是因為愛
7,Grenade,"Easy come, easy go That's just how you live, oh Take, take, take it all But you never give Should've known you was trouble From the first kiss Had your eyes wide open Why were they open? Gave you all I had And you tossed it in the trash You tossed it in the trash, you did To give me all your love Is all I ever asked Cause what you don't understand Is I'd catch a grenade for ya (yeah, yeah, yeah) Throw my hand on the blade for ya (yeah, yeah, yeah) I'd jump in front of a train for ya (yeah, yeah, yeah) You know I'd do anything for ya (yeah, yeah, yeah) I would go through all this pain Take a bullet straight through my brain Yes, I would die for you, baby But you won't do the same No, no, no, no Black, black, black and blue Beat me 'til I'm numb Tell the devil I said ""Hey"" when you get back to where you're from Mad women, bad women That's just what you are Yeah, you smile in my face then rip the brakes out my car Gave you all I had And you tossed it in the trash You tossed it in the trash, yes you did To give me all your love Is all I ever asked Cause what you don't understand Is I'd catch a grenade for ya (yeah, yeah, yeah) Throw my hand on the blade for ya (yeah, yeah, yeah) I'd jump in front of a train for ya (yeah, yeah, yeah) You know I'd do anything for ya (yeah, yeah, yeah) I would go through all this pain Take a bullet straight through my brain Yes, I would die for you, baby But you won't do the same If my body was on fire You would watch me burn down in flames You said you loved me, you're a liar Cause you never ever ever did, baby But darling, I'd still catch a grenade for you Throw my hand on the blade for ya I'd jump in front of a train for ya You know I'd do anything for ya I would go through all this pain Take a bullet straight through my brain Yes I would die for ya baby But you won't do the same No, you won't do the same No, you won't do the same Oh, you never do the same Ohh, no no no"
8,Money Can Not Buy My Soul,來到這個亂世 Huh 需要一點膽識 Yup 太多近利短視 See 許了太多旦誓 Vroom 他們想要質疑我的品味 卻沒有任何的成績匹配 全都是空 全都像是一陣風 Like Trash Bomb Like Like Trash Bomb You Wanna Be Top One You Wanna Be Tough Guy 沒做任何努力卻期待著改變 全部都隨你 別把我定義 Who Are Who Are Who Are You Yes Sir Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul 太多人太浮誇在那爭奇鬥豔 阿諛諂媚的小動作若影若現 選邊站不是我的作風 懂明白看破卻不說破 I Made You Feel Like A Loser 注意不要靠近 見到我們小心 懶得跟你較勁 銀河系的笑柄 You Wanna Be Top One You Wanna Be Tough Guy 沒做任何努力卻期待著改變 全部都隨你 別把我定義 Who Are Who Are Who Are You Yes Sir Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul Rolling Rolling Rolling Rolling Rollie Roll Money Money Money Money Can Not Buy My Soul 回首了從前 單純的童年 那些貪婪的眼神全都消失不見 思緒它在喧囂 該要怎麼做才好 一躍而下我不怕痛 Ah Oh Vroom Rolling Rolling Rollie Roll Money Can Not Buy My Soul Vroom Rolling Rolling Rollie Roll EveryBody Woo Ah Oh Ah Oh Woo Ah Oh Ah Oh Money Money Money Money Can Not Buy My Soul DaDaDaDaDaDaDa DaDaDaDaDa DaDaDaDaDaDaDa DaDaDaDaDa DaDaDaDaDaDaDa DaDaDaDaDa DaDaDaDaDaDaDa Money Can Not Buy My Soul
9,重感情的廢物,編曲：TRASH 我們已經長大 笑著曾經說過的夢話 有幾分能作響 承諾不再偉大 屬於同個宇宙的愛人 終究會離開吧 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 你已經越來越遙遠 剩下曲終人散的總結 你要我該怎麼去面對 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 愛上那些謊話 離開心裡天真的孩子 無情的擁抱吧 反正這是命啊 早習慣享受這種孤獨 和沈重的步伐 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 (你不存在的空間) 你已經越來越遙遠 剩下曲終人散的總結 看不見聽不見除非你在我身邊 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 想回到那一天 是多麽不顧一切 那樣的我們離這世界好遠 受夠自己在這裡抱怨這個世界 反正不管再怎麼靠背也都不會改變 除非你陪我浪費 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 不想接受就這樣的結束 我就是重感情的廢物
