category,business,entertaiment,politics,sport,tech
business,13,8,1,7,3
business,6,6,3,4,3
business,5,3,3,3,0
business,9,10,1,8,1
business,15,3,0,3,0
business,9,2,2,3,0
business,10,10,5,4,5
business,10,7,7,5,2
business,3,4,0,4,0
business,8,1,4,0,0
business,4,1,0,0,0
business,10,6,9,5,1
business,13,4,0,1,1
business,8,12,6,8,5
business,12,15,10,5,10
business,14,5,1,2,0
business,6,3,1,0,1
business,0,1,1,1,1
business,16,8,8,4,8
business,6,9,1,5,4
business,5,9,0,1,0
business,11,9,8,5,3
business,13,5,3,3,1
business,18,6,1,3,1
business,12,10,5,6,1
business,3,8,1,4,1
business,15,9,7,3,5
business,6,3,1,2,1
business,12,7,6,8,0
business,23,11,1,11,0
business,25,4,2,5,2
business,12,3,1,1,0
business,11,5,10,5,2
business,7,5,5,5,3
business,8,6,1,6,1
business,7,7,4,4,3
business,9,5,5,3,4
business,13,4,0,2,4
business,10,4,3,3,0
business,15,10,2,14,2
business,13,6,5,4,2
business,10,11,4,6,4
business,5,7,6,5,1
business,22,7,4,4,1
business,9,2,3,1,1
business,15,5,2,3,2
business,16,19,7,4,7
business,15,3,2,1,1
business,18,22,12,7,12
business,19,4,0,2,0
business,11,6,0,6,0
business,21,5,13,2,4
business,15,12,1,6,1
business,14,9,3,4,3
business,18,15,11,7,4
business,19,9,1,2,1
business,21,13,0,14,0
business,6,6,1,5,1
business,14,14,9,5,8
business,5,6,4,1,4
business,5,5,5,2,4
business,7,6,2,6,1
business,16,3,0,3,0
business,5,9,4,8,3
business,0,4,3,4,0
business,11,6,2,5,0
business,7,3,1,6,1
business,9,9,9,7,5
business,11,17,7,5,8
business,10,8,2,6,2
business,7,4,2,0,1
business,17,5,2,2,1
business,9,4,0,2,0
business,6,8,2,5,7
business,2,3,6,4,1
business,16,12,4,6,3
business,24,10,5,7,2
business,9,2,1,1,1
business,3,3,1,1,1
business,6,2,0,0,0
business,2,5,0,5,0
business,9,3,1,2,1
business,21,8,8,6,2
business,16,6,0,3,0
business,14,9,3,7,2
business,4,7,1,5,1
business,19,12,13,1,13
business,11,3,0,2,1
business,8,10,2,8,2
business,9,6,9,5,5
business,11,2,6,3,1
business,11,7,7,1,8
business,10,6,4,2,0
business,9,4,2,0,2
business,15,6,3,1,3
business,10,2,1,1,0
business,14,7,2,6,2
business,12,4,2,5,0
business,28,8,1,3,1
business,23,17,20,2,15
business,22,10,3,6,1
business,5,3,3,2,2
business,18,19,7,7,7
business,9,6,7,3,1
business,7,8,5,3,5
business,10,10,23,4,7
business,12,8,5,7,1
business,3,2,0,3,0
business,2,2,0,1,1
business,11,2,1,3,0
business,28,19,2,10,2
business,17,6,1,3,5
business,6,6,1,7,12
business,25,23,23,2,21
business,17,10,3,4,3
business,7,7,0,7,0
business,20,8,2,2,2
business,19,3,1,2,3
business,17,10,2,9,0
business,11,10,10,4,4
business,18,6,1,8,0
business,9,5,1,4,0
business,3,3,1,2,1
business,9,3,1,1,3
business,11,9,4,4,3
business,27,9,2,6,2
business,18,10,9,6,3
business,11,8,3,3,3
business,1,4,0,3,1
business,10,12,4,8,3
business,21,7,3,4,2
business,14,4,0,3,1
business,6,8,11,6,1
business,11,10,5,4,5
business,4,9,3,4,2
business,18,21,20,10,11
business,14,6,2,8,1
business,9,5,3,4,1
business,11,5,14,1,9
business,13,5,0,3,0
business,11,15,8,7,7
business,8,1,1,1,0
business,13,5,2,4,2
business,6,3,0,2,0
business,5,11,2,7,2
business,36,21,12,9,10
business,10,3,2,3,1
business,5,6,3,4,2
business,11,14,4,5,3
business,14,10,4,5,4
business,9,4,0,3,0
business,10,6,3,6,1
business,22,16,2,10,2
business,13,18,12,9,5
business,15,7,1,3,1
business,13,4,0,4,0
business,12,10,11,3,7
business,10,5,1,0,1
business,36,23,25,8,11
business,11,3,0,3,0
business,12,6,6,1,4
business,13,1,0,0,3
business,11,9,4,6,2
business,21,4,5,0,1
business,20,10,3,8,3
business,8,7,3,5,1
business,12,7,5,2,3
business,3,7,1,4,0
business,9,2,1,0,1
business,8,4,4,2,0
business,8,8,2,6,1
business,28,11,1,5,1
business,20,6,0,3,3
business,13,4,2,2,2
business,11,2,1,2,0
business,4,2,1,0,1
business,20,10,1,6,1
