,Name,Materials
0,Long Island Tea,"Vodka, Light rum, Gin, Tequila, Juice of Lemon, splash  Coca-Cola"
1,Moscow Mule,"Vodka, Lime juice, Ginger ale"
2,Black Russian,"Coffee liqueur, Vodka"
3,Bloody Mary,"Vodka, Tomato juice, Lemon juice, Worcestershire sauce, -drops  Tabasco sauce, wedge  Lime"
4,Blue Lagoon,"Vodka, Blue Curacao, Lemonade, Cherry"
5,Blue Mountain,"Añejo rum, Tia maria, Vodka, Orange juice, Lemon juice"
6,Chocolate Black Russian,"Kahlua, Vodka, Chocolate ice-cream"
7,Godchild,"Vodka, Amaretto, Heavy cream"
8,Godmother,"Vodka, Amaretto"
9,Harvey Wallbanger,"Vodka, Galliano, Orange juice"
10,Kamikaze,"Vodka, Triple sec, Lime juice"
11,Orgasm,"white  Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
12,Screwdriver,"Vodka, Orange juice"
13,Victory Collins,"Vodka, Lemon juice, unsweetened  Grape juice, Powdered sugar, Orange"
14,Vodka And Tonic,"Vodka, Tonic water"
15,White Russian,"Vodka, Coffee liqueur, Light cream"
16,Sex on the Beach,"Vodka, Peach schnapps, Cranberry juice, Orange juice"
17,Autodafé,"Vodka, Lime juice, Soda water"
18,Absinthe #2,"bottle  Vodka, r  Sugar, pure  Anise, tblsp  Licorice root, Wormwood"
19,Angelica Liqueur,"tblsp chopped Angelica root, tblsp chopped  Almond, cracked  Allspice, one-inch  Cinnamon, -crushed  Anise, powdered  Coriander, tblsp fresh chopped  Marjoram leaves, .Vodka, granulated  Sugar, Water, drop yellow  Food coloring, drop green  Food coloring"
20,Caribbean Orange Liqueur,"large  Orange, s  Vodka, superfine  Sugar"
21,Coffee Liqueur,"tblsp instant  Coffee, tblsp  Vanilla extract, s  Sugar, qt  Vodka, s  Water"
22,Coffee-Vodka,"s  Water, s white  Sugar, instant  Coffee, Vanilla, Vodka, Caramel coloring"
23,Popped cherry,"Vodka, Cherry liqueur, Cranberry juice, Orange juice"
24,Atomic Lokade,"Lemonade, Vodka, Blue Curacao, Triple sec, Sugar, Ice"
25,Kool-Aid Shot,"Vodka, Amaretto, Sloe gin, Triple sec, Cranberry juice"
26,National Aquarium,"Rum, Vodka, Gin, Blue Curacao, Sour mix, splash  Lemon-lime soda"
27,Long vodka,"Vodka, Lime, es  Angostura bitters, dl Schweppes  Tonic water, Ice"
28,Flaming Dr. Pepper,"Amaretto, Vodka, Bacardi  proof rum, Dr. Pepper, Beer"
29,Sea breeze,"Vodka, Cranberry juice, Grapefruit juice"
30,Atlantic Sun,"Smirnoff  Vodka, Southern Comfort, Passion fruit syrup, Sweet and sour, Club soda"
31,Oreo Mudslide,"Vodka, Kahlua, Baileys irish cream, scoops  Vanilla ice-cream, Oreo cookie"
32,Pink Panty Pulldowns,"L  Sprite, s  Pink lemonade, s  Vodka"
33,Ice Pick,"Vodka, Iced tea, to taste
 Lemon juice"
34,Screaming Orgasm,"Vodka, Baileys irish cream, Kahlua"
35,57 Chevy with a White License Plate,"white  Creme de Cacao, Vodka"
36,Belgian Blue,"Vodka, Coconut liqueur, Blue Curacao, Fill with  Sprite"
37,Cosmopolitan Martini,"Cointreau, Vodka, Juice of Lime, splash  Cranberry juice"
38,Vodka Martini,"Vodka, Dry Vermouth, Olive"
39,Addison Special,"Vodka, tblsp  Grenadine, Fill with  Orange juice"
40,Aztec Punch,"can  Lemonade, Vodka, Rum, About bottle  Ginger ale"
41,Lemon Drop,"Vodka, Cointreau, Juice of wedge  Lemon"
42,Kool-Aid Slammer,"Grape  Kool-Aid, Vodka"
43,A.D.M. (After Dinner Mint),"White Creme de Menthe, Southern Comfort, Vodka, Fill with  Hot chocolate"
44,Arctic Fish,"Vodka, Grape soda, Orange juice, lots  Ice, Candy"
45,Freddy Kruger,"Jägermeister, Sambuca, Vodka"
46,Bubble Gum,"Vodka, Banana liqueur, Orange juice, Peach schnapps"
47,Jello shots,"s  Vodka, packages  Jello, s  Water"
48,After sex,"Vodka, Creme de Banane, Orange juice"
49,San Francisco,"Vodka, Creme de Banane, Grenadine, Orange juice"
50,Avalon,"s Vodka, Pisang Ambon, s  Apple juice, Lemon juice, Lemonade"
51,3-Mile Long Island Iced Tea,"Gin, Light rum, Tequila, Triple sec, Vodka, Coca-Cola, -Sweet and sour, wedge  Bitters, Garnish with Lemon"
52,Orange Crush,"Vodka, Triple sec, Orange juice"
53,155 Belmont,"Dark rum, s  Light rum, Vodka, Orange juice"
54,Vodka Russian,"Vodka, Schweppes Russchian"
55,Adam Sunrise,"Vodka, can  Lemonade, Water, Sugar"
56,A midsummernight dream,"Vodka, Kirschwasser, Strawberry liqueur, Strawberries, Schweppes Russchian"
57,Apricot punch,"qt  Apricot brandy, fifth  Champagne, fifth  Vodka, L  -Up, al  Orange juice"
58,Black Forest Shake,"cubes Ice, Chocolate syrup, Cherry brandy, Vodka, Milk"
59,Bellini Martini,"cubes Ice, Vodka, .Peach nectar, .Peach schnapps, Lemon peel"
60,Jitterbug,"jiggers  Gin, jigger  Vodka, es  Grenadine, Lime juice, Around rim put pinch  Sugar, es  Sugar syrup, Fill to top with  Soda water"
61,Shark Attack,"can  Lemonade, cans  Water, Vodka"
62,Adam Bomb,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, -pint  Salt, Fruit juice"
63,Arizona Antifreeze,"Vodka, Midori melon liqueur, Sweet and sour"
64,Zipperhead,"Chambord raspberry liqueur, Vodka, Fill with  Soda water"
65,A Gilligan's Island,"Vodka, Peach schnapps, Orange juice, Cranberry juice"
66,Zorbatini,"Stoli  Vodka, Ouzo"
67,Vodka Fizz,"Vodka, Half-and-half, Limeade, Ice, Nutmeg"
68,Radioactive Long Island Iced Tea,"Rum, Vodka, Tequila, Gin, Triple sec, Chambord raspberry liqueur, Midori melon liqueur, Malibu rum"
69,Irish Curdling Cow,"Baileys irish cream, Bourbon, Vodka, -Orange juice"
70,Pink Penocha,"Everclear, Vodka, Peach schnapps, al  Orange juice, al  Cranberry juice"
71,Orange Whip,"Orange juice, Rum, Vodka, package  Cream, Over  Ice"
72,Bruised Heart,"Vodka, Chambord raspberry liqueur, Peachtree schnapps, Cranberry juice"
73,Gideon's Green Dinosaur,"Dark rum, Vodka, Triple sec, Tequila, Melon liqueur, Fill with  Mountain Dew"
74,Irish Russian,"Vodka, Kahlua, Coca-Cola, Fill with  Guinness stout"
75,Homemade Kahlua,"s  Sugar, Corn syrup, instant  Coffee, Vanilla extract, s boiling  Water, fifth  Vodka"
76,Army special,"Vodka, Gin, Lime juice cordial, lass crushed  Ice"
77,Arizona Twister,"Vodka, Malibu rum, Gold tequila, splash  Orange juice, splash  Pineapple juice, splash  Cream of coconut, Grenadine, crushed  Ice, wedge  Pineapple"
78,501 Blue,"Blue Curacao, Blueberry schnapps, Vodka, Sour mix, -Up"
79,Brain Fart,"fifth  Everclear, fifth Smirnoff red label  Vodka, L  Mountain Dew, L  Surge, small bottle  Lemon juice, pint  Rum"
80,Cherry Electric Lemonade,"Gin, Tequila, Vodka, White rum, Triple Sec, Cherry Grenadine, Sweet and sour, Club soda"
81,Dirty Martini,"/fl oz Vodka, tbsp Dry Vermouth, tbsp Olive Brine, wedge Lemon, Olive"
82,Cosmopolitan,"Vodka, Lime juice, Cointreau, Cranberry juice"
83,Long Island Iced Tea,"Vodka, Tequila, Light rum, Gin, Coca-Cola, Twist of  Lemon peel"
84,Espresso Martini,"Vodka, Kahlua, Sugar syrup"
85,French Martini,".Vodka, .Raspberry Liqueur, .pineapple juice"
86,Russian Spring Punch,".Vodka, .Creme de Cassis, Sugar Syrup, .Lemon Juice"
87,Vesper,"Gin, .Vodka, .Lillet Blanc"
88,Butter Baby,"scoops  Vanilla Ice-Cream, Butterscotch schnapps, full glass  Milk, s  Vodka"
89,Absolutely Fabulous,"Vodka, s  Cranberry Juice, Top up with Champagne"
90,Greyhound,"Vodka, Grapefruit Juice"
91,Bloody Punch,"s Vodka, s Strawberries, Lime Juice, Lemon-lime soda, Lemon-lime soda, Raisins, Blueberries"
92,Halloween Punch,"bottle Cherry Juice, Orange Peel, Red Chili Flakes, oves, inger, Vodka"
93,747 Drink,"Vodka, Roses sweetened lime juice, Cranberry Juice, Top Sprite"
94,Passion Fruit Martini,"Vodka, Sugar Syrup, Full Glass Passion fruit juice"
95,Figgy Thyme,"Vodka, Honey, Figs, Sprig Thyme, es Angostura Bitters, Top Tonic Water"
96,Snowday,"Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Dash Angostura Bitters, Garnish with Orange Peel"
97,Pornstar Martini,"Vodka, Passoa, Passion fruit juice, Lime, Prosecco"
98,Kiwi Martini,"Kiwi, Sugar Syrup, Vodka, Garnish with Kiwi"
99,Lemon Elderflower Spritzer,"Elderflower cordial, Vodka, Soda Water, Top Fresh Lemon Juice"
100,Vodka Slime,"Sprite, Lime Juice, Vodka"
101,Vodka Lemon,"Vodka, Lemon Juice, Lemon Peel, cubes Ice"
102,Vodka Tonic,"Vodka, Tonic Water, Lemon Peel"
