UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r103	36.0	3.6	1.4	2.75	90.0	100.0
r314	43.0	2.6	1.0	2.5	100.0	100.0
r307	34.0	4.0	1.0	1.75	80.0	3.0
r428	36.0	4.0	2.6	3.0	80.0	10.0
r62	32.0	2.8	1.0	1.5	80.0	10.0
r54	27.0	3.8	2.2	2.75	80.0	0.0
r391	21.0	3.6	1.2	2.25	80.0	0.0
r386	21.0	3.0	1.0	3.0	80.0	20.0
r402	22.0	3.2	1.4	2.5	70.0	20.0
r443	25.0	4.0	3.2	2.5	100.0	0.0
r212	26.0	3.4	3.4	3.5	100.0	0.0
r352	48.0	3.2	1.4	3.25	80.0	10.0
r73	48.0	3.6	1.0	3.5	85.0	10.0
r350	47.0	3.2	1.0	2.0	84.0	1.0
r104	44.0	2.8	1.0	3.0	90.0	5.0
r66	46.0	3.0	1.2	2.5	90.0	1.0
r279	48.0	3.0	1.0	3.25	100.0	5.0
r332	38.0	2.8	1.6	2.5	92.0	4.0
r40	36.0	3.2	1.2	3.25	100.0	3.0
r292	58.0	3.0	2.0	3.0	100.0	0.0
r64	59.0	2.0	1.0	2.25	90.0	0.0
r333	73.0	2.8	1.0	3.25	91.0	0.0
r227	71.0	3.8	1.2	2.75	95.0	0.0
r255	70.0	3.0	1.2	2.5	80.0	0.0
r228	65.0	1.2	1.0	2.5	80.0	2.0
r293	59.0	3.4	1.0	3.5	96.0	42.0
r45	70.0	2.0	1.0	2.25	90.0	52.0
r151	44.0	2.6	1.0	3.0	90.0	50.0
r188	49.0	2.8	1.2	2.5	75.0	50.0
r223	47.0	2.2	1.2	2.25	80.0	50.0
r76	44.0	3.0	1.0	2.25	80.0	50.0
r101	56.0	2.8	1.4	2.75	71.0	54.0
r11	64.0	3.2	1.4	3.0	65.0	40.0
r93	69.0	1.6	1.0	2.0	87.0	19.0
r275	57.0	2.8	1.0	2.25	78.0	37.0
r126	65.0	2.0	1.0	2.0	82.0	32.0
r201	47.0	3.0	1.0	3.0	82.0	33.0
r100	45.0	2.8	1.0	3.25	82.0	26.0
r41	50.0	3.0	1.2	2.5	70.0	30.0
r140	58.0	3.0	1.4	2.5	85.0	25.0
r10	54.0	2.2	1.0	2.75	80.0	20.0
r189	27.0	3.8	2.2	2.75	65.0	0.0
r32	24.0	3.2	1.0	3.0	60.0	1.0
r383	21.0	3.0	1.8	2.75	50.0	0.0
r363	25.0	4.0	2.2	2.75	50.0	0.0
r408	20.0	3.0	1.4	3.0	45.0	10.0
