性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	52.0	3.6	1.0	2.75	0.0	90.0
1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	24.0	4.0	3.4	4.0	2.0	70.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	25.0	3.2	1.2	2.75	40.0	60.0
0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	61.0	2.4	1.4	3.25	40.0	71.0
0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	44.0	3.2	1.4	3.75	50.0	10.0
1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	38.0	2.8	1.8	3.0	2.0	85.0
1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	53.0	3.0	1.6	3.0	40.0	36.0
0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	46.0	3.2	1.6	3.0	0.0	75.0
1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	60.0	1.0	1.0	2.5	18.0	18.0
0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	31.0	4.0	1.0	2.5	41.0	60.0
0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	54.0	2.2	1.0	2.75	80.0	20.0
1	0	0	1	1	0	0	1	1	1	0	1	1	0	1	0	64.0	3.2	1.4	3.0	65.0	40.0
0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	37.0	3.8	1.8	2.75	10.0	51.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	42.0	3.0	1.4	3.25	20.0	44.0
1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	45.0	3.8	1.4	3.5	50.0	50.0
1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	34.0	3.4	1.6	3.0	20.0	60.0
0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	41.0	3.6	1.0	2.0	20.0	10.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	37.0	4.0	1.2	3.0	0.0	10.0
0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	46.0	3.2	1.2	3.75	20.0	64.0
1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	23.0	3.2	1.2	2.5	50.0	50.0
0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	34.0	4.0	1.6	3.5	25.0	50.0
1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	39.0	4.0	1.8	3.75	20.0	20.0
0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	58.0	2.2	1.0	2.5	50.0	80.0
0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	32.0	3.0	1.6	3.25	45.0	10.0
0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	32.0	3.0	2.6	2.5	0.0	70.0
0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	71.0	3.0	2.0	3.0	45.0	60.0
0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	31.0	2.8	1.0	2.5	10.0	15.0
1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	37.0	3.0	1.0	3.25	42.0	21.0
1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	35.0	3.4	1.2	3.0	0.0	0.0
1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	32.0	4.0	2.4	3.25	40.0	40.0
1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	24.0	3.8	1.0	1.75	50.0	10.0
1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	25.0	3.2	1.4	2.25	40.0	71.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	24.0	3.2	1.0	3.0	60.0	1.0
0	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	44.0	3.0	1.2	3.25	1.0	50.0
0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	44.0	3.0	1.2	3.0	0.0	0.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	29.0	2.8	2.0	3.25	29.0	56.0
0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	21.0	3.0	1.4	2.75	50.0	60.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	33.0	2.8	1.6	2.75	30.0	30.0
0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	48.0	3.8	1.2	3.5	30.0	10.0
0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	47.0	2.6	1.0	3.0	50.0	30.0
0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	36.0	3.2	1.2	3.25	100.0	3.0
0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	50.0	3.0	1.2	2.5	70.0	30.0
