"n","phase","xbar","Z_n","Z_n_minus_k","Z_n_plus_k","Cplus","Cminus","Xbar_signal","CUSUM_upper_signal","CUSUM_lower_signal","CUSUM_two_sided_signal"
1,"IC",0.6061,1.3553,1.1053,1.6053,1.1053,0,FALSE,FALSE,FALSE,FALSE
2,"IC",0.0569,0.1272,-0.1228,0.3772,0.9825,0,FALSE,FALSE,FALSE,FALSE
3,"IC",0.1191,0.2664,0.0164,0.5164,0.9989,0,FALSE,FALSE,FALSE,FALSE
4,"IC",0.0466,0.1043,-0.1457,0.3543,0.8532,0,FALSE,FALSE,FALSE,FALSE
5,"IC",0.2606,0.5826,0.3326,0.8326,1.1858,0,FALSE,FALSE,FALSE,FALSE
6,"IC",-0.237,-0.5299,-0.7799,-0.2799,0.4059,-0.2799,FALSE,FALSE,FALSE,FALSE
7,"IC",-0.1252,-0.2799,-0.5299,-0.0299,0,-0.3098,FALSE,FALSE,FALSE,FALSE
8,"IC",-0.7842,-1.7536,-2.0036,-1.5036,0,-1.8133,FALSE,FALSE,FALSE,FALSE
9,"IC",-0.5615,-1.2556,-1.5056,-1.0056,0,-2.8189,FALSE,FALSE,FALSE,FALSE
10,"IC",0.2618,0.5855,0.3355,0.8355,0.3355,-1.9834,FALSE,FALSE,FALSE,FALSE
11,"Shift",0.8633,1.9304,1.6804,2.1804,2.0158,0,FALSE,FALSE,FALSE,FALSE
12,"Shift",0.3186,0.7124,0.4624,0.9624,2.4782,0,FALSE,FALSE,FALSE,FALSE
13,"Shift",1.204,2.6922,2.4422,2.9422,4.9204,0,FALSE,FALSE,FALSE,FALSE
14,"Shift",0.9719,2.1732,1.9232,2.4232,6.8435,0,FALSE,TRUE,FALSE,TRUE
15,"Shift",-0.1971,-0.4407,-0.6907,-0.1907,6.1528,-0.1907,FALSE,TRUE,FALSE,TRUE
16,"Shift",0.8823,1.9728,1.7228,2.2228,7.8756,0,FALSE,TRUE,FALSE,TRUE
17,"Shift",0.5869,1.3123,1.0623,1.5623,8.9379,0,FALSE,TRUE,FALSE,TRUE
18,"Shift",0.49,1.0957,0.8457,1.3457,9.7837,0,FALSE,TRUE,FALSE,TRUE
19,"Shift",0.111,0.2483,-0.0017,0.4983,9.782,0,FALSE,TRUE,FALSE,TRUE
20,"Shift",0.7762,1.7356,1.4856,1.9856,11.2676,0,FALSE,TRUE,FALSE,TRUE
