"i","Observation","lambda_1","lambda_0.5","lambda_0.2","lambda_0.05"
1,"X_1",0,9.5367431640625e-07,0.00288230376151712,0.0188676801267654
2,"X_2",0,1.9073486328125e-06,0.0036028797018964,0.0198607159229109
3,"X_3",0,3.814697265625e-06,0.0045035996273705,0.0209060167609589
4,"X_4",0,7.62939453125e-06,0.00562949953421312,0.0220063334325883
5,"X_5",0,1.52587890625e-05,0.00703687441776641,0.0231645615079877
6,"X_6",0,3.0517578125e-05,0.00879609302220801,0.0243837489557765
7,"X_7",0,6.103515625e-05,0.01099511627776,0.0256671041639752
8,"X_8",0,0.0001220703125,0.0137438953472,0.0270180043831318
9,"X_9",0,0.000244140625,0.017179869184,0.028440004613823
10,"X_10",0,0.00048828125,0.02147483648,0.0299368469619189
11,"X_11",0,0.0009765625,0.0268435456,0.0315124704862305
12,"X_12",0,0.001953125,0.033554432,0.0331710215644531
13,"X_13",0,0.00390625,0.04194304,0.0349168648046875
14,"X_14",0,0.0078125,0.0524288,0.03675459453125
15,"X_15",0,0.015625,0.065536,0.038689046875
16,"X_16",0,0.03125,0.08192,0.0407253125
17,"X_17",0,0.0625,0.1024,0.04286875
18,"X_18",0,0.125,0.128,0.045125
19,"X_19",0,0.25,0.16,0.0475
20,"X_20",1,0.5,0.2,0.05
