"filename","gap_cluster"
"19",1
"24",1
"57",1
"163",1
"73",1
"393",1
"65",1
"29",1
"172",1
"32",1
"204",1
"25",1
"266",1
"220",1
"1",1
"369",1
"418",1
"462",1
"39",2
"213",2
"6",2
"106",2
"8",2
"101",2
"58",2
"93",2
"513",2
"10",2
"127",2
"436",2
"194",2
"17",1
"12",1
"18",1
"183",1
"119",1
"44",1
"118",1
"200",1
"35",2
"132",2
"240",2
"7",2
"265",2
"34",2
"324",2
"36",2
"11",2
"133",2
"55",2
"224",2
"95",2
"173",2
"63",2
"354",2
"31",2
"33",2
"43",2
"76",2
"336",2
"142",2
"469",2
"251",2
"370",2
"499",2
"88",2
"281",2
"86",2
"135",2
"488",2
"2",2
"394",2
"374",2
"450",2
"199",2
"447",2
"234",2
"261",2
"283",2
"318",2
"3",2
"122",2
"434",2
"168",2
"493",2
"46",2
"517",2
"568",2
"165",2
"181",2
"522",2
"26",1
"78",1
"109",1
"273",1
"71",1
"219",1
"182",1
"253",1
"257",1
"340",1
"504",1
"353",1
"237",1
"255",1
"338",1
"169",1
"301",1
"461",1
"139",2
"259",2
"197",2
"16",2
"48",2
"27",2
"41",2
"45",2
"74",2
"260",2
"201",2
"205",2
"9",2
"230",2
"147",2
"519",2
"368",2
"466",2
"491",2
"23",2
"226",2
"185",2
"206",2
"256",2
"66",2
"482",2
"371",2
"329",2
"515",2
"442",2
"54",2
"28",2
"211",2
"79",2
"162",2
"534",2
"157",2
"263",2
"208",2
"128",2
"367",2
"564",2
"303",2
"565",2
"83",2
"366",2
"96",2
"536",2
"566",2
"130",2
"238",2
"500",2
"409",2
"518",2
"30",2
"120",2
"344",2
"322",2
"187",2
"231",2
"331",2
"262",2
"275",2
"202",2
"401",2
"254",2
"445",2
"264",2
"210",2
"284",2
"490",2
"312",2
"348",2
"473",2
"514",2
"341",2
"477",2
"533",2
"258",2
"415",2
"567",2
"123",2
"13",2
"291",2
"214",2
"84",2
"390",2
"278",2
"373",2
"158",2
"330",2
"134",2
"364",2
"178",2
"407",2
"5",2
"198",2
"245",2
"492",2
"203",2
"433",2
"452",2
"51",2
"56",2
"252",2
"89",2
"217",2
"287",2
"188",2
"395",2
"305",2
"516",2
"345",2
"486",2
"121",2
"248",2
"99",2
"530",2
"160",2
"107",2
"143",2
"421",2
"334",2
"412",2
"85",2
"325",2
"212",2
"347",2
"144",2
"498",2
"216",2
"225",2
"100",2
"279",2
"299",2
"455",2
"465",2
"40",2
"527",2
"50",2
"229",2
"191",2
"37",2
"94",2
"439",2
"546",2
"136",2
"563",2
"456",2
"310",2
"467",2
"520",2
"49",2
"384",2
"75",2
"497",2
"402",2
"116",2
"410",2
"351",2
"400",2
"489",2
"215",2
"502",2
"81",2
"161",2
"137",2
"531",2
"406",2
"470",2
"427",2
"441",2
"399",2
"110",2
"532",2
"411",2
"249",2
"457",2
"282",2
"408",2
"298",2
"472",2
"474",2
"271",2
"376",2
"113",2
"180",2
"494",2
"70",2
"317",2
"295",2
"316",2
"288",2
"337",2
"52",2
"125",2
"280",2
"375",2
