"filename","gap_cluster"
"4",1
"46",1
"44",1
"36",1
"39",1
"49",1
"88",1
"47",1
"16",1
"17",1
"33",1
"23",1
"48",1
"50",1
"79",1
"51",1
"81",1
"82",1
"89",1
"54",1
"80",1
"26",1
"35",1
"45",1
"91",1
"448",1
"485",1
"199",1
"201",1
"203",1
"461",1
"502",1
"129",1
"148",1
"197",1
"234",1
"131",2
"317",1
"105",1
"106",1
"107",1
"109",1
"108",1
"104",1
"269",1
"139",1
"178",1
"163",1
"246",1
"268",1
"278",1
"263",1
"214",1
"283",1
"288",1
"301",1
"309",1
"225",1
"294",1
"376",1
"293",1
"384",1
"302",1
"314",1
"377",1
"380",1
"311",1
"407",1
"127",1
"204",1
"136",1
"160",1
"97",1
"175",1
"147",1
"166",1
"140",1
"231",1
"248",1
"179",1
"180",1
"122",1
"184",1
"192",1
"205",1
"96",1
"152",1
"115",1
"249",1
"158",1
"188",1
"137",1
"198",1
"235",1
"200",1
"126",1
"238",1
"95",1
"101",1
"240",1
"252",1
"255",1
"165",1
"153",1
"102",1
"177",1
"118",1
"112",1
"121",1
"272",1
"274",1
"155",1
"223",1
"141",1
"243",1
"236",1
"259",1
"161",1
"159",1
"169",1
"174",1
"103",1
"111",1
"185",1
"167",1
"181",1
"182",1
"183",1
"168",1
"125",1
"280",1
"209",1
"218",1
"282",1
"172",1
"228",1
"144",1
"156",1
"176",1
"157",1
"145",1
"217",1
"150",1
"222",1
"221",1
"186",1
"229",1
"242",1
"227",1
"281",1
"261",1
"120",1
"219",1
"151",1
"245",1
"247",1
"206",1
"154",1
"237",1
"239",1
"275",1
"193",1
"266",1
"130",1
"146",1
"117",1
"189",1
"173",1
"279",1
"265",1
"191",1
"171",1
"135",1
"267",1
"262",1
"138",1
"187",1
"260",1
"195",1
"276",1
"220",1
"98",1
"124",1
"254",1
"251",1
"273",1
"196",1
"211",1
"230",1
"393",1
"264",1
"202",1
"226",1
"232",1
"233",1
"270",1
"210",1
"244",1
"250",1
"116",1
"390",1
"297",1
"8",1
"110",1
"114",1
"162",1
"213",1
"411",1
"123",1
"361",1
"431",1
"100",1
"149",1
"164",1
"464",1
"482",1
"207",1
"256",1
"170",1
"216",1
"257",1
"258",1
"143",1
"539",2
"99",1
"128",1
"208",1
"212",1
"353",1
"132",1
"133",1
"134",1
"2",1
"354",1
"364",1
"319",1
"343",1
"346",1
"142",1
"113",1
"366",1
"285",1
"300",1
"315",1
"334",1
"351",1
"383",1
"394",1
"284",1
"286",1
"414",1
"299",1
"338",1
"326",1
"323",1
"330",1
"342",1
"347",1
"336",1
"349",1
"290",1
"289",1
"406",1
"404",1
"405",1
"367",1
"373",1
"375",1
"345",1
"388",1
"415",1
"381",1
"400",1
"313",1
"391",1
"409",1
"370",1
"215",1
"241",1
"318",1
"322",1
"335",1
"408",1
"410",1
"305",1
"303",1
"304",1
"401",1
"312",1
"416",1
"310",1
"320",1
"337",1
"333",1
"396",1
"292",1
"327",1
"340",1
"368",1
"352",1
"332",1
"344",1
"412",1
"403",1
"348",1
"291",1
"395",1
"413",1
"341",1
"355",1
"356",1
"357",1
"296",1
"306",1
"350",1
"287",1
"378",1
"417",1
"418",1
"420",1
"307",1
"316",1
"359",1
"308",1
"119",1
"358",1
"397",1
"379",1
"328",1
"329",1
"321",1
"385",1
"387",1
"389",1
"331",1
"339",1
"402",1
"371",1
"382",1
"386",1
"419",1
"298",1
"392",1
"363",1
"365",1
"295",1
"360",1
"362",1
"374",1
"372",1
"398",1
"399",1
"30",1
"7",1
"31",1
"93",1
"9",1
"6",1
"69",1
"5",1
"75",1
"10",1
"18",1
"32",1
"29",1
"1",1
"71",1
"12",1
"20",1
"56",1
"73",1
"60",1
"58",1
"61",1
"64",1
"14",1
"86",1
"34",1
"59",1
"70",1
"22",1
"57",1
"55",1
"63",1
"68",1
"52",1
"84",1
"13",1
"21",1
"24",1
"25",1
"38",1
"53",1
"19",1
"65",1
"3",1
"76",1
"78",1
"85",1
"62",1
"77",1
"74",1
"87",1
"15",1
"43",1
"11",1
"66",1
"67",1
"27",1
"41",1
"90",1
"28",1
"94",1
"40",1
"42",1
"72",1
"37",1
"92",1
"83",1
"224",1
"194",1
"442",1
"454",1
"443",1
"190",1
"421",1
"434",1
"428",1
"459",1
"425",1
"433",1
"505",1
"435",1
"447",1
"430",1
"436",1
"488",1
"456",1
"474",1
"426",1
"439",1
"422",1
"440",1
"463",1
"477",1
"446",1
"480",1
"429",1
"476",1
"495",1
"489",1
"490",1
"503",1
"453",1
"510",1
"501",1
"423",1
"468",1
"492",1
"462",1
"472",1
"455",1
"497",1
"504",1
"508",1
"444",1
"458",1
"452",1
"506",1
"427",1
"509",1
"450",1
"483",1
"486",1
"491",1
"507",1
"424",1
"511",1
"498",1
"441",1
"484",1
"465",1
"460",1
"481",1
"494",1
"445",1
"473",1
"493",1
"437",1
"449",1
"500",1
"466",1
"469",1
"470",1
"499",1
"487",1
"457",1
"467",1
"471",1
"475",1
"496",1
"478",1
"479",1
"432",1
"438",1
"451",1
"651",1
"785",1
"271",1
"369",1
"622",2
"625",2
"630",2
"253",2
"277",2
"557",1
"568",1
"637",1
"682",1
"611",2
"535",2
"794",2
"567",2
"655",2
"646",2
"650",2
"671",2
"706",2
"582",2
"615",2
"742",2
"668",2
"787",2
"606",2
"822",2
"907",2
"665",2
"912",2
"729",2
"777",2
"636",2
"756",2
"799",2
"681",2
"760",2
"817",2
"680",2
"744",2
"641",2
"689",2
"714",2
"563",2
"593",2
"820",2
"859",2
"755",2
"623",2
"856",2
"664",2
"696",2
"749",2
"595",2
"758",2
"862",2
"536",2
"828",2
"874",2
"870",2
"324",2
"325",2
"525",2
"841",2
"541",2
"559",2
"853",2
"591",2
"769",2
"540",2
"779",2
"910",2
"526",2
"784",2
"901",2
"527",2
"546",2
"589",2
"599",2
"662",2
"610",2
"660",2
"673",2
"617",2
"573",2
"829",2
"613",2
"644",2
"691",2
"524",2
"789",2
"712",2
"754",2
"720",2
"562",2
"834",2
"865",2
"597",2
"649",2
"531",2
"707",2
"600",2
"821",2
"518",2
"571",2
"594",2
"819",2
"514",2
"547",2
"688",2
"803",2
"761",2
"705",2
"880",2
"607",2
"888",2
"795",2
"869",2
"521",2
"697",2
"768",2
"679",2
"596",2
"743",2
"587",2
"564",2
"724",2
"778",2
"592",2
"904",2
"772",2
"619",2
"748",2
"780",2
"576",2
"848",2
"643",2
"687",2
"628",2
"721",2
"519",2
"763",2
"550",2
"845",2
"588",2
"792",2
"896",2
"728",2
"537",2
"566",2
"825",2
"873",2
"738",2
"909",2
"633",2
"783",2
"538",2
"826",2
"608",2
"612",2
"634",2
"658",2
"670",2
"725",2
"700",2
"781",2
"810",2
"879",2
"868",2
"911",2
"602",2
"752",2
"549",2
"766",2
"667",2
"804",2
"717",2
"732",2
"586",2
"814",2
"797",2
"902",2
"881",2
"759",2
"770",2
"555",2
"835",2
"866",2
"718",2
"782",2
"753",2
"579",2
"771",2
"808",2
"812",2
"811",2
"847",2
"639",2
"885",2
"517",2
"577",2
"892",2
"711",2
"626",2
"654",2
"616",2
"698",2
"529",2
"701",2
"831",2
"830",2
"548",2
"844",2
"734",2
"512",2
"530",2
"840",2
"572",2
"832",2
"786",2
"854",2
"788",2
"523",2
"842",2
"590",2
"884",2
"533",2
"891",2
"631",2
"642",2
"690",2
"675",2
"560",2
"851",2
"750",2
"629",2
"898",2
"652",1
"684",1
"764",1
"515",2
"574",2
"878",2
"556",2
"852",2
"520",2
"890",2
"638",2
"683",2
"542",2
"545",2
"827",2
"513",2
"585",2
"877",2
"713",2
"676",2
"677",2
"710",2
"864",2
"569",2
"532",2
"839",2
"657",2
"669",2
"695",2
"661",2
"903",2
"647",2
"640",2
"686",2
"765",2
"773",2
"775",2
"553",2
"850",2
"861",2
"699",2
"908",2
"716",2
"863",2
"762",2
"702",2
"746",2
"534",2
"543",2
"846",2
"552",2
"887",2
"584",2
"857",2
"627",2
"801",2
"708",2
"692",2
"741",2
"565",2
"561",2
"528",2
"580",2
"620",2
"776",2
"609",2
"800",2
"693",2
"719",2
"723",2
"736",2
"614",2
"899",2
"703",2
"570",2
"833",2
"889",2
"575",2
"849",2
"894",2
"836",2
"604",2
"858",2
"709",2
"897",2
"653",2
"745",2
"900",2
"886",2
"663",2
"798",2
"883",2
"578",2
"893",2
"796",2
"815",2
"730",2
"735",2
"666",2
"805",2
"605",2
"824",2
"554",2
"837",2
"678",2
"726",2
"516",2
"648",2
"672",2
"793",2
"583",2
"818",2
"731",2
"733",2
"685",2
"645",2
"674",2
"802",2
"704",2
"807",2
"739",2
"806",2
"740",2
"544",2
"618",2
"722",2
"737",2
"872",2
"882",2
"635",2
"581",2
"791",2
"598",2
"522",2
"876",2
"751",2
"871",2
"727",2
"860",2
"905",2
"624",2
"895",2
"603",2
"656",2
"767",2
"659",2
"694",2
"551",2
"843",2
"774",2
"809",2
"790",2
"813",2
"558",2
"838",2
"906",2
"601",2
"823",2
"816",2
"855",2
"621",2
"875",2
"715",2
"747",2
"632",2
"757",2
"867",2
