"filename","gap_cluster"
"4",1
"30",1
"9",1
"13",1
"31",1
"21",1
"10",1
"35",1
"38",1
"24",1
"2",1
"46",1
"26",1
"15",1
"17",1
"5",1
"7",1
"43",1
"20",1
"47",1
"14",1
"22",1
"41",1
"3",1
"1",1
"11",1
"18",1
"44",1
"8",1
"28",1
"39",1
"19",1
"27",1
"40",1
"29",1
"50",1
"48",1
"6",1
"49",1
"32",1
"36",1
"37",1
"12",1
"45",1
"25",1
"23",1
"16",1
"34",1
"33",1
"42",1
"54",2
"78",2
"55",2
"61",2
"77",2
"63",2
"88",2
"142",2
"69",2
"146",2
"58",3
"66",3
"72",3
"94",3
"75",3
"51",3
"83",3
"76",3
"52",3
"62",3
"82",3
"98",3
"53",2
"59",3
"70",3
"81",3
"87",3
"93",3
"90",2
"60",3
"68",3
"57",3
"97",3
"100",3
"92",2
"79",2
"95",2
"89",3
"86",3
"96",3
"85",2
"56",2
"71",2
"67",2
"64",2
"74",2
"91",2
"132",2
"111",2
"128",2
"139",2
"65",3
"80",3
"99",3
"119",2
"101",2
"107",2
"135",2
"104",2
"137",2
"105",2
"122",2
"108",2
"102",2
"143",2
"144",2
"115",2
"106",2
"129",2
"114",2
"109",2
"133",2
"123",2
"113",2
"121",2
"116",2
"73",2
"148",2
"124",2
"140",2
"127",2
"103",2
"112",2
"145",2
"141",2
"120",2
"131",2
"136",2
"147",2
"110",2
"84",2
"117",2
"125",2
"126",2
"130",2
"134",2
"118",2
"138",2
"149",2
"150",2
