,Name,URL,Ingredients
0,Long Island Tea,https://www.thecocktaildb.com/drink/11002-Long-Island-Tea,"vodka, rum, gin, tequila, lemon, coca-cola"
1,Moscow Mule,https://www.thecocktaildb.com/drink/11009-Moscow-Mule,"vodka, lime, ginger ale"
2,Black Russian,https://www.thecocktaildb.com/drink/11102-Black-Russian,"coffee liqueur, vodka"
3,Bloody Mary,https://www.thecocktaildb.com/drink/11113-Bloody-Mary,"vodka, tomato, Lemon, worcestershire sauce,  tabasco sauce, lime"
4,Blue Lagoon,https://www.thecocktaildb.com/drink/11117-Blue-Lagoon,"vodka, curacao, Lemon, cherry"
5,Blue Mountain,https://www.thecocktaildb.com/drink/11119-Blue-Mountain,"rum, tia maria, vodka, orange, Lemon"
6,Chocolate Black Russian,https://www.thecocktaildb.com/drink/11243-Chocolate-Black-Russian,"kahlua, vodka, chocolate ice-cream"
7,Godchild,https://www.thecocktaildb.com/drink/11422-Godchild,"vodka, amaretto, cream"
8,Godmother,https://www.thecocktaildb.com/drink/11424-Godmother,"vodka, amaretto"
9,Harvey Wallbanger,https://www.thecocktaildb.com/drink/11462-Harvey-Wallbanger,"vodka, galliano, orange"
10,Kamikaze,https://www.thecocktaildb.com/drink/11600-Kamikaze,"vodka, triple sec, lime"
11,Orgasm,https://www.thecocktaildb.com/drink/11872-Orgasm,"creme de cacao, amaretto, triple sec, vodka, cream"
12,Screwdriver,https://www.thecocktaildb.com/drink/12162-Screwdriver,"vodka, orange"
13,Victory Collins,https://www.thecocktaildb.com/drink/12452-Victory-Collins,"vodka, Lemon, grape, sugar, orange"
14,Vodka And Tonic,https://www.thecocktaildb.com/drink/12460-Vodka-And-Tonic,"vodka, tonic water"
15,White Russian,https://www.thecocktaildb.com/drink/12528-White-Russian,"vodka, coffee liqueur, cream"
16,Sex on the Beach,https://www.thecocktaildb.com/drink/12754-Sex-on-the-Beach,"vodka, peach schnapps, cranberry, orange"
17,Autodafé,https://www.thecocktaildb.com/drink/12756-Autodafé,"vodka, lime, soda water"
18,Absinthe #2,https://www.thecocktaildb.com/drink/12790-Absinthe-#2,"vodka, sugar, anise, licorice root, wormwood"
