English,Translation
7-up,七喜汽水
Absinthe,苦艾酒
Agave syrup,龍舌蘭糖漿
Allspice,多香果
Almond,杏仁
Amaretto,杏仁甜酒
Amaro Montenegro,蒙特內哥羅苦酒
Angelica,當歸
Anis,茴香
Anise,八角茴香
Anisette,茴香甜酒
Aperol,阿佩羅利口酒
Apple,蘋果
Apple cider,蘋果酒
Apricot,杏
Baileys Irish cream,百利甜酒
Banana liqueur,香蕉利口酒
Basil,羅勒
Beer,啤酒
Benedictine,本篤修道院甜酒
Bitters,苦精
Black tea,紅茶
Blackberries,黑莓
Blood orange,血橙
Blueberries,藍莓
Blueberry schnapps,藍莓蒸餾酒
Bourbon,波本威士忌
Brandy,白蘭地
Butterscotch schnapps,奶油糖蒸餾酒
Campari,金巴利
Candy,糖果
Celery salt,芹菜鹽
Chambord raspberry liqueur,香波覆盆子利口酒
Champagne,香檳
Chartreuse,查特酒
Cherry,櫻桃
Cherry grenadine,櫻桃紅石榴糖漿
Cherry liqueur,櫻桃利口酒
Chocolate,巧克力
Chocolate ice-cream,巧克力冰淇淋
Chocolate liqueur,巧克力利口酒
Chocolate sauce,巧克力醬
Chocolate syrup,巧克力糖漿
Cinnamon,肉桂
Club soda,蘇打水
Coca-Cola,可口可樂
Coconut,椰子
Coconut liqueur,椰子利口酒
Coconut syrup,椰子糖漿
Coffee,咖啡
Coffee liqueur,咖啡利口酒
Cognac,干邑
Cointreau,君度橙酒
Condensed milk,煉乳
Cookie,餅乾
Corn syrup,玉米糖漿
Cranberry,蔓越莓
Cream,鮮奶油
Creme de banane,香蕉奶油酒
Creme de cassis,黑加侖奶油酒
Creme de mure,黑莓奶油酒
Cucumber,小黃瓜
Curacao,橙皮利口酒
Dark rum,深色朗姆酒
Dr. Pepper,Dr. Pepper 汽水
Drambuie,德蘭布依利口酒
Dubonnet rouge,杜本內紅酒
Egg,雞蛋
Egg white,蛋白
Egg yolk,蛋黃
Elderflower cordial,接骨木花糖漿
Espresso,濃縮咖啡
Everclear,艾芙可酒精
Figs,無花果
Fruit,水果
Galliano,加利安諾利口酒
Gin,琴酒
Ginger,薑
Ginger ale,薑味汽水
Ginger beer,薑汁啤酒
Ginger wine,薑味酒
Glass passion fruit,一杯百香果汁
Glycerine,甘油
Grand Marnier,君度橙酒
Grape,葡萄
Grape soda,葡萄汽水
Grapefruit,葡萄柚
Grenadine,紅石榴糖漿
Guinness stout,吉尼斯黑啤酒
Honey,蜂蜜
Ice,冰塊
Inger,薑
Jello,果凍
Jägermeister,野格利口酒
Kahlua,咖啡甜酒
Kirschwasser,櫻桃蒸餾酒
Kiwi,奇異果
Kummel,德國蒸餾酒
Lager,拉格啤酒
Lasrum,拉斯朗姆酒
Lemon,檸檬
Lemon-lime soda,檸檬萊姆汽水
Licorice root,甘草根
Lillet,利萊甜酒
Lime,萊姆
Lime cordial,萊姆糖漿
Malibu rum,瑪麗布椰子朗姆酒
Maraschino cherry,雞尾酒櫻桃
Maraschino liqueur,櫻桃利口酒
Marjoram leaves,墨角蘭葉
Melon liqueur,蜜瓜利口酒
Midori melon liqueur,蜜瓜甜酒
Milk,牛奶
Mint,薄荷
Mountain Dew,激浪汽水
Nutmeg,肉豆蔻
Olive,橄欖
Olive brine,橄欖鹽水
Orange,橙子
Orange bitters,橙味苦精
Orange curacao,橙皮利口酒
Orange peel,橙皮
Orange spiral,橙螺旋
Orgeat syrup,杏仁糖漿
Ouzo,茴香酒
Oves,燕麥
Passion fruit,百香果
Passion fruit syrup,百香果糖漿
Passoa,百香果利口酒
Peach bitters,桃味苦精
Peach nectar,桃花蜜
Peach schnapps,蜜桃蒸餾酒
Peachtree schnapps,蜜桃甜酒
Pepper,胡椒粉
Pernod,法國茴香酒
Peychaud bitters,佩肖苦精
Pineapple,鳳梨
Pink lemon,粉紅檸檬
Pisang Ambon,Pisang Ambon 香蕉甜酒
Pomegranate juice,石榴汁
Port,波特酒
Powdered coriander,粉末香菜
Prosecco,普羅塞克
Pure grain alcohol,純谷物酒精
Raisins,葡萄乾
Raspberry liqueur,覆盆子利口酒
Raspberry syrup,覆盆子糖漿
Red chili flakes,紅辣椒片
Red wine,紅酒
Renadine,石榴糖漿
Ricard,利卡酒
Rosemary,迷迭香
Rosemary syrup,迷迭香糖漿
Roses sweetened lime,玫瑰甜萊姆
Rosso vermouth,紅甜苦艾酒
Ruby port,紅寶石波特酒
Rum,朗姆酒
Rye whiskey,黑麥威士忌
Salt,鹽
Sambuca,香甜茴香酒
Schweppes russchian,舒味思 Russchian 汽水
Scotch,蘇格蘭威士忌
Sloe gin,黑刺李琴酒
Small lemon,小檸檬
Smirnoff vodka,斯米諾夫伏特加
Soda water,蘇打水
Sour mix,酸味混合物
Southern comfort,南方舒適威士忌
Sprite,雪碧
Strawberries,草莓
Strawberry liqueur,草莓利口酒
Strawberry schnapps,草莓蒸餾酒
Sugar,糖
Sugar syrup,糖漿
Surge,衝擊汽水
Sweet vermouth,甜苦艾酒
Sweetened condensed milk,甜煉乳
Tabasco sauce,塔巴斯科辣椒醬
Tea,茶
Tequila,龍舌蘭酒
Thyme,百里香
Tia Maria,蒂亞瑪麗亞咖啡甜酒
Tomato juice,番茄汁
Tonic water,湯力水
Triple sec,橙皮甜酒
Twist of lemon,檸檬皮
Twist of orange peel,橙皮
Unsweetened grape juice,無糖葡萄汁
Vanilla,香草
Vanilla extract,香草精
Vanilla ice-cream,香草冰淇淋
Vanilla syrup,香草糖漿
Vermouth,苦艾酒
Vodka,伏特加
Water,水
Watermelon,西瓜
Whipped cream,鮮奶油
White creme de cacao,白色可可奶油
White creme de menthe,白色薄荷奶油
White rum,白朗姆酒
Worcestershire sauce,伍斯特沙司
Wormwood,苦艾
