"token","topic"
"loss",1
"defeat",2
"score",2
"match",2
"league",2
"cup",2
"coach",2
"win",2
"season",2
"goal",2
"actress",3
"actor",3
"star",3
"festival",3
"theatre",3
"film",3
"award",3
"movie",3
"album",3
"player",2
"show",3
"music",3
"device",4
"digital",4
"mobile",4
"technology",4
"computer",4
"microsoft",4
"internet",4
"software",4
"google",4
"market",1
"company",4
"profit",1
"share",1
"revenue",1
"investor",1
"merger",1
"bank",1
"finance",1
"law",5
"economy",1
"parliament",5
"government",5
"policy",5
"minister",5
"election",5
"party",5
"labour",5
"conservative",5
"vote",5
"iphone",1
