"token","topic"
"festival",1
"win",2
"films",1
"film",1
"award",1
"awards",1
"best",1
"years",2
"music",1
"band",1
"good",2
"album",1
"digital",1
"number",2
"play",2
"phone",1
"mobile",1
"technology",1
"open",2
"year",3
"users",1
"time",2
"use",1
"people",1
"net",1
"world",2
"computer",1
"software",1
"match",2
"new",2
"game",2
"sales",3
"market",3
"cup",2
"games",2
"firm",4
"company",4
"government",5
"players",2
"wales",2
"england",2
"said",5
"growth",3
"bank",3
"team",2
"minister",5
"economy",3
"labour",5
"economic",3
"prime",5
"shares",3
"election",5
"blair",5
"party",5
"mr",5
"tax",5
"oil",4
"bn",4
"brown",5
"club",2
"lord",1
"howard",5
"told",5
