"token","topic"
"blogger",1
"committee",1
"blog",1
"publish",1
"february",1
"human",1
"robot",1
"situation",1
"foot",1
"monday",1
"confirm",1
"recently",1
"concern",1
"ms",1
"suspend",1
"contain",1
"warn",1
"cut",1
"rule",1
"describe",1
"job",1
"january",1
"tuesday",1
"halo",1
"november",1
"stand",1
"general",1
"act",1
"man",1
"damage",1
"lawsuit",1
"seek",1
"trade",1
"award",1
"interactive",1
"recognise",1
"choice",1
"deliver",1
"cable",1
"channel",1
"programme",1
"broadcast",1
"tv",1
"box",1
"sky",1
"viewer",1
"initially",1
"especially",1
"ground",1
"group",1
"partner",1
"respond",1
"satellite",1
"display",1
"prepare",1
"senior",1
"decide",1
"commercial",1
"case",1
"court",1
"copyright",1
"industry",1
"illegal",1
"distribute",1
"pp",1
"michael",1
"agree",1
"president",1
"control",1
"hardware",1
"management",1
"consumer",1
"firm",1
"instead",1
"limit",1
"prevent",1
"ensure",1
"organise",1
"early",1
"copy",1
"piracy",1
"pirate",1
"bittorrent",1
"file",1
"legal",1
"movie",1
"share",1
"system",1
"version",1
"appeal",1
"available",1
"voice",1
"bn",1
"global",1
"data",1
"datum",1
"communication",1
"fast",1
"speed",1
"network",1
"operator",1
"low",1
"huge",1
"likely",1
"bt",1
"broadband",1
"connection",1
"uk",1
"line",1
"increase",1
"access",1
"net",1
"internet",1
"provider",1
"chief",1
"executive",1
"offer",1
"service",1
"exist",1
"provide",1
"similar",1
"bill",1
"company",1
"pay",1
"number",1
"customer",1
"rate",1
"fall",1
"victim",1
"refuse",1
"receive",1
"free",1
"soon",1
"april",1
"office",1
"train",1
"wifi",1
"wireless",1
"battle",1
"dominate",1
"capable",1
"conference",1
"artist",1
"create",1
"expect",1
"console",1
"developer",1
"xbox",1
"gamer",1
"generation",1
"predict",1
"development",1
"quality",1
"aim",1
"europe",1
"japan",1
"handheld",1
"ds",1
"nintendo",1
"psp",1
"sony",1
"launch",1
"march",1
"ability",1
"certainly",1
"screen",1
"touch",1
"price",1
"switch",1
"audience",1
"brand",1
"worth",1
"popular",1
"prove",1
"figure",1
"sale",1
"sell",1
"san",1
"able",1
"hear",1
"allow",1
"explain",1
"space",1
"extra",1
"home",1
"room",1
"current",1
"focus",1
"film",1
"format",1
"dvd",1
"dvds",1
"highdefinition",1
"studio",1
"mean",1
"star",1
"war",1
"require",1
"separate",1
"big",1
"ago",1
"year",1
"reach",1
"difference",1
"sure",1
"challenge",1
"growth",1
"standard",1
"task",1
"bring",1
"combine",1
"element",1
"business",1
"creative",1
"idea",1
"graphic",1
"handle",1
"continue",1
"recent",1
"cheap",1
"cost",1
"build",1
"upgrade",1
"buy",1
"computer",1
"pc",1
"mac",1
"mini",1
"small",1
"monitor",1
"function",1
"gb",1
"capacity",1
"model",1
"apple",1
"ipod",1
"download",1
"itune",1
"music",1
"song",1
"memory",1
"drive",1
"hard",1
"storage",1
"store",1
"expert",1
"mr",1
"entertainment",1
"content",1
"medium",1
"key",1
"design",1
"digital",1
"electronic",1
"technology",1
"product",1
"device",1
"portable",1
"ce",1
"recorder",1
"speech",1
"video",1
"watch",1
"trend",1
"large",1
"technical",1
"analyst",1
"market",1
"accord",1
"million",1
"research",1
"grow",1
"rise",1
"report",1
"suggest",1
"handset",1
"mobile",1
"phone",1
"owner",1
"old",1
"different",1
"tend",1
"find",1
"people",1
"use",1
"way",1
"demand",1
"powerful",1
"cope",1
"ready",1
"keen",1
"support",1
"fear",1
"camera",1
"image",1
"high",1
"produce",1
"photo",1
"picture",1
"print",1
"particularly",1
"fact",1
"multimedia",1
"message",1
"send",1
"period",1
"reason",1
"currently",1
"plan",1
"project",1
"connect",1
"base",1
"school",1
"student",1
"book",1
"library",1
"university",1
"impact",1
"audio",1
"sound",1
"daily",1
"listen",1
"podcast",1
"simple",1
"enable",1
"nokia",1
"radio",1
"station",1
"battery",1
"energy",1
"power",1
"need",1
"child",1
"laptop",1
"slow",1
"main",1
"age",1
"compare",1
"mp",1
"player",1
"character",1
"original",1
"date",1
"include",1
"list",1
"gadget",1
"magazine",1
"th",1
"probably",1
"obviously",1
"position",1
"single",1
"today",1
"achieve",1
"begin",1
"campaign",1
"love",1
"actually",1
"consider",1
"change",1
"kind",1
"value",1
"leader",1
"month",1
"track",1
"improve",1
"car",1
"maker",1
"increasingly",1
"realise",1
"pretty",1
"affect",1
"cause",1
"hit",1
"lack",1
"far",1
"feel",1
"like",1
"look",1
"come",1
"know",1
"lot",1
"thing",1
"think",1
"talk",1
"friend",1
"quickly",1
"enjoy",1
"family",1
"day",1
"complete",1
"gaming",1
"hour",1
"spend",1
"life",1
"online",1
"game",1
"play",1
"time",1
"write",1
"long",1
"progress",1
"night",1
"simply",1
"easy",1
"problem",1
"work",1
"sit",1
"live",1
"wait",1
"appear",1
"term",1
"word",1
"believe",1
"language",1
"learn",1
"understand",1
"person",1
"relay",1
"type",1
"example",1
"common",1
"community",1
"government",1
"public",1
"role",1
"member",1
"benefit",1
"successful",1
"encourage",1
"innovation",1
"ibm",1
"patent",1
"source",1
"interested",1
"let",1
"shoot",1
"application",1
"develop",1
"individual",1
"order",1
"read",1
"colour",1
"red",1
"useful",1
"approach",1
"commission",1
"solution",1
"state",1
"cap",1
"researcher",1
"study",1
"dr",1
"intel",1
"light",1
"material",1
"process",1
"inside",1
"chip",1
"cell",1
"processor",1
"playstation",1
"rival",1
"mistake",1
"range",1
"average",1
"document",1
"information",1
"carry",1
"alongside",1
"ask",1
"question",1
"result",1
"engine",1
"search",1
"choose",1
"feature",1
"page",1
"direct",1
"google",1
"yahoo",1
"christmas",1
"present",1
"shop",1
"concerned",1
"survey",1
"code",1
"easily",1
"represent",1
"introduce",1
"operate",1
"account",1
"financial",1
"card",1
"credit",1
"steal",1
"detail",1
"course",1
"sort",1
"issue",1
"warning",1
"law",1
"protect",1
"protection",1
"involve",1
"operation",1
"body",1
"exploit",1
"special",1
"announce",1
"critical",1
"fix",1
"bank",1
"cash",1
"risk",1
"machine",1
"spokesman",1
"browser",1
"widely",1
"late",1
"giant",1
"microsoft",1
"release",1
"desktop",1
"tool",1
"catch",1
"antivirus",1
"infect",1
"malicious",1
"virus",1
"spread",1
"software",1
"program",1
"spyware",1
"user",1
"security",1
"threat",1
"operating",1
"update",1
"window",1
"help",1
"aid",1
"organisation",1
"host",1
"link",1
"server",1
"contact",1
"address",1
"fake",1
"site",1
"website",1
"web",1
"email",1
"mail",1
"spam",1
"spammer",1
"place",1
"defence",1
"criminal",1
"spot",1
"target",1
"attack",1
"traffic",1
"gather",1
"thousand",1
"outside",1
"block",1
"view",1
"visitor",1
"visit",1
"estimate",1
"previous",1
"december",1
"text",1
"billion",1
"total",1
"short",1
"germany",1
"quarter",1
"republic",1
"september",1
"local",1
"vital",1
"china",1
"strong",1
"benitez",1
"important",1
"pitch",1
"supporter",1
"board",1
"chairman",1
"director",1
"add",1
"news",1
"bbc",1
"tell",1
"happy",1
"madrid",1
"real",1
"crucial",1
"close",1
"accept",1
"future",1
"bid",1
"club",1
"interest",1
"deal",1
"gerrard",1
"liverpool",1
"parry",1
"steven",1
"stadium",1
"steve",1
"summer",1
"subject",1
"transfer",1
"reveal",1
"potential",1
"statement",1
"maybe",1
"walk",1
"possible",1
"right",1
"fan",1
"sport",1
"speak",1
"interview",1
"money",1
"prize",1
"woman",1
"contract",1
"sign",1
"stay",1
"want",1
"option",1
"june",1
"raise",1
"athlete",2
"athletic",2
"gold",2
"athens",2
"olympic",2
"medal",2
"double",2
"holme",2
"kelly",2
"retire",2
"august",2
"avoid",2
"fail",2
"decision",2
"ban",2
"drug",2
"evidence",2
"federation",2
"charge",2
"iaaf",2
"kenteris",2
"greek",2
"thanou",2
"test",2
"sprinter",2
"pair",2
"miss",2
"trial",2
"agency",2
"conte",2
"jones",2
"television",2
"sydney",2
"birmingham",2
"compete",2
"training",2
"favourite",2
"form",2
"claim",2
"ahead",2
"finish",2
"defend",2
"good",2
"european",2
"championship",2
"indoor",2
"mark",2
"jump",2
"men",2
"women",2
"second",2
"title",2
"personal",2
"season",2
"champion",2
"yearold",2
"record",2
"world",2
"briton",2
"field",2
"country",2
"cross",2
"london",2
"run",2
"race",2
"marathon",2
"radcliffe",2
"york",2
"richard",2
"event",2
"stop",2
"tournament",2
"competition",2
"uks",2
"boost",2
"poor",2
"positive",2
"remain",2
"barcelona",2
"bridge",2
"chelsea",2
"jose",2
"mourinho",2
"history",2
"leg",2
"football",2
"manager",2
"boss",2
"league",2
"premiership",2
"southampton",2
"everton",2
"alex",2
"ferguson",2
"sir",2
