"token","topic"
"blogger",1
"committee",1
"blog",1
"publish",1
"february",2
"human",1
"robot",1
"situation",1
"foot",2
"monday",2
"confirm",2
"recently",2
"concern",2
"ms",2
"suspend",2
"contain",1
"warn",1
"cut",2
"rule",2
"describe",1
"job",1
"january",1
"tuesday",2
"halo",2
"november",2
"stand",2
"general",1
"act",1
"man",1
"damage",1
"lawsuit",1
"seek",1
"trade",1
"award",1
"interactive",1
"recognise",2
"choice",1
"deliver",1
"cable",1
"channel",1
"programme",1
"broadcast",1
"tv",1
"box",1
"sky",1
"viewer",1
"initially",1
"especially",1
"ground",1
"group",1
"partner",1
"respond",1
"satellite",1
"display",2
"prepare",2
"senior",1
"decide",2
"commercial",1
"case",1
"court",1
"copyright",1
"industry",1
"illegal",1
"distribute",1
"pp",1
"michael",2
"agree",1
"president",1
"control",1
"hardware",1
"management",1
"consumer",1
"firm",1
"instead",1
"limit",1
"prevent",1
"ensure",1
"organise",1
"early",1
"copy",1
"piracy",1
"pirate",1
"bittorrent",1
"file",1
"legal",1
"movie",1
"share",1
"system",1
"version",1
"appeal",2
"available",1
"voice",1
"bn",1
"global",1
"data",1
"datum",1
"communication",1
"fast",1
"speed",1
"network",1
"operator",1
"low",1
"huge",2
"likely",1
"bt",1
"broadband",1
"connection",1
"uk",1
"line",1
"increase",1
"access",1
"net",1
"internet",1
"provider",1
"chief",1
"executive",1
"offer",1
"service",1
"exist",1
"provide",1
"similar",1
"bill",1
"company",1
"pay",1
"number",1
"customer",1
"rate",1
"fall",1
"victim",1
"refuse",1
"receive",1
"free",1
"soon",1
"april",2
"office",1
"train",1
"wifi",1
"wireless",1
"battle",2
"dominate",2
"capable",1
"conference",1
"artist",1
"create",1
"expect",1
"console",1
"developer",1
"xbox",1
"gamer",2
"generation",1
"predict",1
"development",1
"quality",1
"aim",2
"europe",1
"japan",1
"handheld",1
"ds",1
"nintendo",1
"psp",1
"sony",1
"launch",1
"march",1
"ability",1
"certainly",1
"screen",1
"touch",1
"price",1
"switch",1
"audience",1
"brand",1
"worth",1
"popular",1
"prove",1
"figure",1
"sale",1
"sell",1
"san",2
"able",1
"hear",1
"allow",1
"explain",2
"space",1
"extra",1
"home",2
"room",2
"current",1
"focus",1
"film",1
"format",1
"dvd",1
"dvds",1
"highdefinition",1
"studio",1
"mean",1
"star",1
"war",1
"require",1
"separate",1
"big",2
"ago",2
"year",2
"reach",2
"difference",1
"sure",1
"challenge",1
"growth",1
"standard",1
"task",1
"bring",1
"combine",2
"element",2
"business",2
"creative",2
"idea",2
"graphic",1
"handle",1
"continue",1
"recent",1
"cheap",1
"cost",1
"build",1
"upgrade",1
"buy",1
"computer",1
"pc",1
"mac",1
"mini",1
"small",1
"monitor",1
"function",1
"gb",1
"capacity",1
"model",1
"apple",1
"ipod",1
"download",1
"itune",1
"music",1
"song",1
"memory",1
"drive",1
"hard",1
"storage",1
"store",1
"expert",1
"mr",1
"entertainment",1
"content",1
"medium",1
"key",1
"design",1
"digital",1
"electronic",1
"technology",1
"product",1
"device",1
"portable",1
"ce",1
"recorder",1
"speech",1
"video",1
"watch",1
"trend",1
"large",1
"technical",1
"analyst",1
"market",1
"accord",1
"million",1
"research",1
"grow",1
"rise",1
"report",1
"suggest",1
"handset",1
"mobile",1
"phone",1
"owner",1
"old",1
"different",1
"tend",1
"find",1
"people",1
"use",1
"way",2
"demand",1
"powerful",1
"cope",1
"ready",1
"keen",1
"support",1
"fear",1
"camera",1
"image",1
"high",1
"produce",1
"photo",1
"picture",1
"print",1
"particularly",1
"fact",1
"multimedia",1
"message",1
"send",1
"period",1
"reason",1
"currently",1
"plan",1
"project",1
"connect",1
"base",1
"school",1
"student",1
"book",1
"library",1
"university",1
"impact",1
"audio",1
"sound",1
"daily",2
"listen",2
"podcast",2
"simple",2
"enable",1
"nokia",1
"radio",1
"station",1
"battery",1
"energy",1
"power",1
"need",1
"child",1
"laptop",1
"slow",2
"main",2
"age",1
"compare",2
"mp",2
"player",2
"character",2
"original",2
"date",1
"include",2
"list",2
"gadget",2
"magazine",2
"th",2
"probably",2
"obviously",2
"position",2
"single",2
"today",2
"achieve",2
"begin",1
"campaign",2
"love",2
"actually",1
"consider",1
"change",1
"kind",1
"value",1
"leader",1
"month",1
"track",1
"improve",1
"car",2
"maker",1
"increasingly",2
"realise",2
"pretty",2
"affect",1
"cause",1
"hit",1
"lack",2
"far",2
"feel",2
"like",2
"look",2
"come",2
"know",2
"lot",2
"thing",2
"think",2
"talk",2
"friend",2
"quickly",2
"enjoy",1
"family",2
"day",2
"complete",2
"gaming",2
"hour",2
"spend",2
"life",2
"online",2
"game",2
"play",2
"time",2
"write",1
"long",2
"progress",2
"night",2
"simply",1
"easy",1
"problem",1
"work",1
"sit",2
"live",2
"wait",2
"appear",1
"term",1
"word",1
"believe",1
"language",1
"learn",1
"understand",2
"person",1
"relay",1
"type",1
"example",1
"common",1
"community",1
"government",1
"public",1
"role",1
"member",1
"benefit",1
"successful",1
"encourage",1
"innovation",1
"ibm",1
"patent",1
"source",1
"interested",1
"let",2
"shoot",2
"application",1
"develop",1
"individual",1
"order",1
"read",1
"colour",1
"red",1
"useful",1
"approach",1
"commission",1
"solution",1
"state",1
"cap",1
"researcher",1
"study",1
"dr",1
"intel",1
"light",1
"material",1
"process",1
"inside",1
"chip",1
"cell",1
"processor",1
"playstation",1
"rival",2
"mistake",2
"range",2
"average",1
"document",1
"information",1
"carry",1
"alongside",1
"ask",1
"question",1
"result",1
"engine",1
"search",1
"choose",1
"feature",1
"page",1
"direct",1
"google",1
"yahoo",1
"christmas",1
"present",1
"shop",1
"concerned",1
"survey",1
"code",1
"easily",1
"represent",1
"introduce",1
"operate",1
"account",1
"financial",1
"card",1
"credit",1
"steal",1
"detail",1
"course",1
"sort",1
"issue",1
"warning",1
"law",1
"protect",1
"protection",1
"involve",2
"operation",2
"body",1
"exploit",1
"special",1
"announce",1
"critical",1
"fix",1
"bank",1
"cash",1
"risk",1
"machine",1
"spokesman",1
"browser",1
"widely",1
"late",1
"giant",1
"microsoft",1
"release",1
"desktop",1
"tool",1
"catch",1
"antivirus",1
"infect",1
"malicious",1
"virus",1
"spread",1
"software",1
"program",1
"spyware",1
"user",1
"security",1
"threat",1
"operating",1
"update",1
"window",1
"help",1
"aid",1
"organisation",1
"host",1
"link",1
"server",1
"contact",1
"address",1
"fake",1
"site",1
"website",1
"web",1
"email",1
"mail",1
"spam",1
"spammer",1
"place",2
"defence",2
"criminal",1
"spot",1
"target",1
"attack",1
"traffic",1
"gather",1
"thousand",1
"outside",1
"block",1
"view",1
"visitor",1
"visit",1
"estimate",1
"previous",1
"december",1
"text",1
"billion",1
"total",1
"short",2
"germany",1
"quarter",1
"republic",1
"september",1
"local",1
"vital",1
"china",1
"strong",2
"benitez",1
"important",1
"pitch",2
"supporter",2
"board",2
"chairman",2
"director",1
"add",2
"news",1
"bbc",2
"tell",2
"happy",2
"madrid",2
"real",2
"crucial",2
"close",2
"accept",1
"future",2
"bid",2
"club",2
"interest",2
"deal",2
"gerrard",2
"liverpool",2
"parry",2
"steven",2
"stadium",2
"steve",2
"summer",2
"subject",2
"transfer",2
"reveal",1
"potential",2
"statement",2
"maybe",2
"walk",2
"possible",2
"right",1
"fan",2
"sport",2
"speak",2
"interview",2
"money",2
"prize",2
"woman",2
"contract",2
"sign",2
"stay",2
"want",2
"option",2
"june",2
"raise",2
"athlete",2
"athletic",2
"gold",2
"athens",2
"olympic",2
"medal",2
"double",2
"holme",2
"kelly",2
"retire",2
"august",2
"avoid",2
"fail",2
"decision",2
"ban",2
"drug",2
"evidence",2
"federation",2
"charge",2
"iaaf",2
"kenteris",2
"greek",2
"thanou",2
"test",2
"sprinter",2
"pair",2
"miss",2
"trial",1
"agency",2
"conte",2
"jones",2
"television",2
"sydney",2
"birmingham",2
"compete",2
"training",2
"favourite",2
"form",2
"claim",2
"ahead",2
"finish",2
"defend",2
"good",2
"european",2
"championship",2
"indoor",2
"mark",2
"jump",2
"men",2
"women",2
"second",2
"title",2
"personal",2
"season",2
"champion",2
"yearold",2
"record",2
"world",2
"briton",2
"field",2
"country",2
"cross",2
"london",2
"run",2
"race",2
"marathon",2
"radcliffe",2
"york",2
"richard",2
"event",2
"stop",2
"tournament",2
"competition",2
"uks",2
"boost",1
"poor",1
"positive",1
"remain",1
"barcelona",2
"bridge",2
"chelsea",2
"jose",2
"mourinho",2
"history",2
"leg",2
"football",2
"manager",2
"boss",2
"league",2
"premiership",2
"southampton",2
"everton",2
"alex",2
"ferguson",2
"sir",2
