,市區汽車客運路線與車輛數─按縣市別分(113年3月以前),核定路線數(條),,期末營業車輛(輛),,期末無障礙車輛(輛),,期末電動車輛(輛),,營業行車次數(班次),
,地區別,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣
日期,,,,,,,,,,,
103年,,355,5,3562,8,2279,6,-,-,14301143,8540
104年,,357,5,3578,5,2328,-,-,-,13213128,15000
105年,,357,5,3565,9,2433,7,-,-,12616704,17172
106年,,355,6,3579,16,2460,16,-,-,12486736,21811
107年,,296,5,3602,18,2975,16,22,16,12180851,24371
108年,,294,7,3616,23,3057,19,22,16,11724453,34645
109年,,292,23,3572,35,3061,22,48,16,11789576,41929
110年,,291,29,3476,44,3083,24,48,16,9692145,40527
111年,,290,31,3469,46,3090,21,336,16,9644369,44887
112年,,293,36,3454,58,3089,24,635,16,9277789,53529
"說明：
  1.本表自100年1月開始列示在核定區域內以公共汽車運輸旅客之市區客運按縣市別分資料。
  2.「期末營業里程」與「核定路線數」係以不重複路線統計為原則，即若多家客運公司經營同一路線，則僅
     列計一條路線及里程。
   3.市區客運若跨縣市營運，在計算營業家數時，核定路線之縣市分別計算1家，惟總計僅依客運公司別列計
     1家，爰此，各縣市營業家數合計與總計數容不相同。
  4.無障礙車輛包含低地板車輛及具升降設備車輛。
  5.電動車輛自107年11月起統計。
  6.依109年11月汽車運輸業管理規則第44條之2、3等增訂規定，市區汽車客運之偏遠路線，得由計程車客運
     業、當地社會團體或個人成立之市區汽車客運業經營；由地方政府自行經營市區汽車客運業者，其經營得
     徵求當地社會團體、個人協助。",,,,,,,,,,,
資料來源：各縣市政府。,,,,,,,,,,,
