,車種別,小客車自用,,普通重型,,機車輕型,
,地區別,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣
,能源別,汽油,汽油,汽油,汽油,汽油,汽油
日期,,,,,,,
103年,,561712,90388,810405,171916,153845,36290
104年,,564237,93065,811440,170096,130542,29547
105年,,562882,94232,817733,172333,108824,24870
106年,,562049,94855,833067,176678,86738,20443
107年,,561160,95396,834018,178262,68480,16257
108年,,556165,96222,832662,180288,56218,13703
109年,,549383,96565,826596,181323,46013,11491
110年,,542829,97592,819971,182152,39533,10277
111年,,531568,97878,809913,181255,33802,8678
112年,,520206,97960,799712,177347,28177,6507
113年,,502136,97288,783853,173693,24173,5887
"說明：
  1.本表所列數字以各月(年)底領有統一牌照車輛為限，軍車及未領牌照車輛均不在統計之內；亦不包括臨時
     牌照車輛。
  2.機動車輛登記數按縣市別及燃料別分統計數自101年9月開始列示。
  3.102年8月公路局寄發10年以上高齡機車車主通知單，於102年10月1日前完成報廢手續即不需補繳過去積
     欠5年之燃料使用費，致機車登記數明顯下降。
  4.110年7月起，「小客車營業」項下新增其他營業小客車分類，包括離島或偏遠地區路線客運業者所使用之
     營業小客(貨)車及營業小型復康巴士。
  5.使用燃料別分類定義如下：
      (1)「汽油」：車輛僅使用汽油為燃料。
     (2)「柴油」：車輛僅使用柴油為燃料。
     (3)「電能」：車輛僅以電能驅動者。
     (4)「液化石油氣」：車輛僅使用液化石油氣為燃料。
     (5)「汽油、LPG」：車輛同時使用「汽油」及「液化石油氣LPG」，且主要驅動方式為汽油。
     (6)「汽油、電能」：車輛同時使用「汽油」及「電能」，且主要驅動方式為汽油。
     (7)「柴油、電能」：車輛同時使用「柴油」及「電能」，且主要驅動方式為柴油。
     (8)「電能、汽油」：車輛同時使用「汽油」及「電能」，且行駛主要為電能馬達驅動者。
     (9)「電能、柴油」：車輛同時使用「柴油」及「電能」，且行駛主要為電能馬達驅動者。
     (10)「電能(增程)」：車輛主要為電能馬達驅動，同時搭配汽油或柴油引擎驅動發電機對電池充電，以延
           長車輛行駛里程者。
     (11)「汽油(油電)」：車輛僅使用汽油為燃料，但可以汽油引擎驅動車輛或經車載裝置轉換成電能供馬達
           驅動車輛行駛者。
     (12)「柴油(油電)」：車輛僅使用柴油為燃料，但可以柴油引擎驅動車輛或經車載裝置轉換成電能供馬達
           驅動車輛行駛者。
     (13)「汽油(電能)」：車輛僅使用汽油為燃料，但僅能由車載裝置轉換成電能供馬達驅動車輛行駛者。
     (14)本表資料為期底數。",,,,,,,
資料來源：交通部公路局。,,,,,,,
