,車種別,小客車自用,,,,,,,,,,,普通重型,,,,,,,,,,
,車齡別,15年-未滿16年,16年-未滿17年,17年-未滿18年,18年-未滿19年,19年-未滿20年,20年-未滿21年,21年-未滿22年,22年-未滿23年,23年-未滿24年,24年-未滿25年,25年及以上,15年-未滿16年,16年-未滿17年,17年-未滿18年,18年-未滿19年,19年-未滿20年,20年-未滿21年,21年-未滿22年,22年-未滿23年,23年-未滿24年,24年-未滿25年,25年及以上
日期,,,,,,,,,,,,,,,,,,,,,,,
103年,,275497,278341,250353,211169,183670,157959,115783,81640,43284,25879,32482,377646,376076,334882,296391,282055,307072,233745,164796,94848,67104,312755
104年,,298260,262202,258214,228328,190100,161255,137996,100476,68728,36087,50103,395970,353779,346786,303242,263427,249020,268156,203014,139984,77874,276758
105年,,240623,274937,237278,226985,197110,161628,134364,114995,83288,55774,71079,331641,361926,318515,307000,264083,225740,214417,230103,175523,121903,298013
106年,,273418,222744,250272,211993,197111,168616,136620,111316,95519,68564,104381,327888,299855,324887,280174,266529,224350,190027,181782,195198,159417,354294
107年,,298529,253271,202950,224073,186014,168507,141836,113726,91219,78534,142310,402320,297450,269419,289937,246669,231904,191610,161657,155936,167503,444369
108年,,344031,277245,230529,181477,196799,159931,141514,117675,93615,74209,181235,468654,361878,265829,238060,254791,214527,200060,162356,136992,132615,532750
109年,,373028,318723,251887,204296,158128,167930,134084,115529,95020,74848,205577,470145,397261,303802,221097,196454,208201,174656,161818,130137,110472,563844
110年,,261266,352283,296500,230240,183455,139674,146327,115207,97346,79406,234162,451544,418226,348622,265255,191995,169547,179144,150136,138811,111063,597760
111年,,255734,248677,329349,273002,208591,163011,122268,126727,98656,82015,263158,491351,407011,372132,306224,232333,166973,147091,154943,129949,119743,630339
112年,,173824,243550,232244,301493,245757,184453,141482,104613,107246,82369,284694,589763,438876,354191,318644,258847,195430,139984,123189,129939,108988,653650
113年,,216421,165143,226869,211545,268749,215552,159267,119834,87421,88542,298746,331626,533597,393294,314443,279421,225187,169491,120890,106503,112343,683410
"說明：
  1.本表所列數字以各月(年)底領有統一牌照車輛為限，軍車及未領牌照車輛均不在統計之內；亦不包括臨時
     牌照車輛。
  2.機動車輛登記數按車齡別分統計數自101年9月開始列示。
  3.本表之車齡別係以車輛出廠年月計算。
  4.102年8月公路局寄發10年以上高齡機車車主通知單，於102年10月1日前完成報廢手續即不需補繳過去積
     欠5年之燃料使用費，致機車登記數明顯下降。
  5.110年7月起，「小客車營業」項下新增其他營業小客車分類，包括離島或偏遠地區路線客運業者所使用之
     營業小客(貨)車及營業小型復康巴士。
  6.本表資料為期底數。
  7.如需102年(含)以前各型汽車登記數按車齡分資料，請參考「公路/監理/車輛登記數/汽車/各型汽車登記數
     按車齡分(101年以前)」。",,,,,,,,,,,,,,,,,,,,,,,
資料來源：交通部公路局。,,,,,,,,,,,,,,,,,,,,,,,
