,最主要用途,通勤學,,探視或接送親人、小孩,,洽公或業務使用,,休閒,,購物,,其他,
,使用縣市別,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣
日期,,,,,,,,,,,,,
101年,,40.6,50.1,17.4,25.5,13.9,8.4,21.4,8,5.3,6.5,1.4,1.5
103年,,39.5,44.5,17.9,23.8,16.1,6.6,22.5,18,3.5,5.1,0.6,1.8
105年,,39.5,36.7,18.1,22.9,15.3,11,21.6,20.4,4.9,7,0.6,2
107年,,37.8,47.8,19.5,16.2,14.3,10.1,21.9,21.1,5.7,4.7,0.9,-
109年,,40.6,40.4,19.4,25.4,11.2,7.1,22.1,18.5,5.4,6,1.4,2.6
111年,,42,35.8,17,24.7,12,7.8,22.7,17.1,5.1,10.9,1.1,3.8
資料來源：交通部「自用小客車使用狀況調查」。,,,,,,,,,,,,,
