,駕駛執照別,小型車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,普通重型機車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,普通輕型機車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小型輕型機車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,性別,總計,,,,,,,,,,男,,,,,,,,,,女,,,,,,,,,,總計,,,,,,,,,,男,,,,,,,,,,女,,,,,,,,,,總計,,,,,,,,,,男,,,,,,,,,,女,,,,,,,,,,總計,,,,,,,,,,男,,,,,,,,,,女,,,,,,,,,
,領照年齡別,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上,未滿20歲,20-未滿25歲,25-未滿30歲,30-未滿35歲,35-未滿40歲,40-未滿45歲,45-未滿50歲,50-未滿55歲,55-未滿60歲,60歲以上
日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年,,114992,825813,1151785,1493144,1524364,1367066,1360076,1269266,1044033,1649637,78707,508480,643659,773272,751121,662063,678720,666050,590616,1172849,36285,317333,508126,719872,773243,705003,681356,603216,453417,476788,404465,1290200,1317568,1563571,1495073,1300295,1292973,1275551,1069976,2018441,237709,724634,715628,831272,808559,732204,787512,804513,714319,1596434,166756,565566,601940,732299,686514,568091,505461,471038,355657,422007,2973,17286,48901,104025,134781,116233,125371,108295,84107,162880,960,3523,6090,8958,8723,6159,7482,6835,4951,35607,2013,13763,42811,95067,126058,110074,117889,101460,79156,127273,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
104年,,123646,841951,1157629,1455329,1561427,1362476,1367612,1291399,1080981,1800708,84177,513873,648741,755373,769706,656530,673137,667538,598167,1250700,39469,328078,508888,699956,791721,705946,694475,623861,482814,550008,387289,1280123,1320978,1526017,1550098,1303021,1300813,1287981,1106897,2141973,227832,714176,716532,805398,824969,715343,772542,797275,723557,1660776,159457,565947,604446,720619,725129,587678,528271,490706,383340,481197,2531,13425,36257,91174,127510,113158,119288,108837,84996,172131,675,2865,4933,8532,8656,6278,7064,6931,5103,33404,1856,10560,31324,82642,118854,106880,112224,101906,79893,138727,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
105年,,127814,878613,1184138,1382863,1559581,1410535,1364100,1314363,1117700,1965870,85780,529887,662416,718337,769867,678372,663902,669242,606648,1335048,42034,348726,521722,664526,789714,732163,700198,645121,511052,630822,333293,1273658,1337276,1449027,1565790,1353624,1297409,1298150,1143947,2293809,198839,707825,724867,760988,822722,729966,751446,790888,733417,1746587,134454,565833,612409,688039,743068,623658,545963,507262,410530,547222,715,9827,27386,76615,116176,115514,112139,109820,86292,182981,152,2188,4071,7831,8445,6588,6583,6983,5354,32115,563,7639,23315,68784,107731,108926,105556,102837,80938,150866,2,1,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
106年,,112983,903507,1204216,1322413,1579955,1437190,1369710,1315746,1163432,2129248,75881,540056,671450,689073,782123,689270,659021,661195,621043,1415779,37102,363451,532766,633340,797832,747920,710689,654551,542389,713469,288809,1257179,1344099,1383695,1595865,1386766,1303577,1282890,1189693,2445381,176261,698817,728638,727050,831833,737334,736441,772425,750050,1831780,112548,558362,615461,656645,764032,649432,567136,510465,439643,613601,47,6906,21460,63948,107904,116113,106955,110541,89551,194268,12,1549,3475,6967,8310,6855,6019,7043,5723,31333,35,5357,17985,56981,99594,109258,100936,103498,83828,162935,1,2,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-
107年,,113204,861882,1191226,1295847,1564576,1477689,1360361,1323372,1204589,2292625,77331,517301,664608,680030,777644,708313,649507,657154,631859,1493323,35873,344581,526618,615817,786932,769376,710854,666218,572730,799302,306041,1190183,1327506,1360080,1591128,1436044,1298369,1276984,1225424,2586905,187681,662918,718903,717001,823887,754970,716975,759168,759424,1903976,118360,527265,608603,643079,767241,681074,581394,517816,466000,682929,20,4469,16062,52633,97402,116333,102367,110385,92698,204367,10,1004,2889,6145,7901,7305,5608,6946,5974,30512,10,3465,13173,46488,89501,109028,96759,103439,86724,173855,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
108年,,114720,831915,1200761,1254505,1533239,1526204,1351538,1333140,1235537,2458161,78016,501097,670604,661641,765504,732456,641230,653886,638494,1566435,36704,330818,530157,592864,767735,793748,710308,679254,597043,891726,300058,1141961,1332306,1321630,1567140,1497311,1294392,1277457,1247105,2673469,182760,636743,720581,698346,807551,780383,699728,747857,761886,1915742,117298,505218,611725,623284,759589,716928,594664,529600,485219,757727,18,2617,12518,40128,87803,115481,99932,108849,95889,207016,4,562,2446,4996,7740,7564,5461,6789,6158,22534,14,2055,10072,35132,80063,107917,94471,102060,89731,184482,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
