,駕駛執照別,普通小型車,,普通重型機車,,普通輕型機車,,小型輕型機車,
,地區別,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣,臺北市,花蓮縣
日期,,,,,,,,,
103年,,1436753,161654,1083094,209931,124945,9744,-,-
104年,,1457836,163928,1092031,209753,121750,9349,-,-
105年,,1482869,166412,1099599,210082,118924,9027,-,-
106年,,1513645,168717,1113965,210725,117926,8760,-,-
107年,,1530608,169709,1123431,211012,116146,8491,-,-
108年,,1545294,170982,1131554,207522,114508,7826,-,-
109年,,1555589,172775,1136697,208179,112557,7552,-,-
110年,,1546731,174031,1128228,208327,109456,7313,-,-
111年,,1547624,175295,1124277,207531,107359,7091,-,-
112年,,1544481,175390,1122748,205485,104971,6784,-,-
113年,,1535238,175399,1115294,204524,102592,6599,-,-
"說明：
  1.民國99年5月部分縣市將12年以上未換照註記「暫停異動」，統計未納入。
  2.民國100年(不含)以前縣市為改制直轄市前之行政區域分類，為利資料比較，增列100年改制新行政區統
     計。
  3.本表計算單位為「人」，惟同時領有汽車與機車駕照者，「總計」項共列計2人。
  4.本表資料為期底數。",,,,,,,,,
"資料來源：
  1.103年6月(含)以前為中華電信公司數據通信分公司。
  2.103年7月起為交通部公路局。",,,,,,,,,
