Id,Comment
Et Et,私校教師分幾種第一，皇親國戚工作最輕鬆錢最多權力地位最大無法無天第二，有皇親國戚做靠山的老師皇親國戚的走狗第三，沒有靠山的平民兩種下場：血汗過勞低薪一是努力考出去公立聯招/高普考換公務員當二，換另一個私校或轉行
Kelly ,不能用公私立二分法，公立有明星學區跟彈簧刀學區。私立也有繳錢私立跟升學私立。最恐怖的彈簧刀公立學校，光是處理中輟、電子煙、毒品、霸凌、性評...就開不完的會...更何況現在教育部一堆專案，遇到好大喜功的校長，老師都不用教書了。
Nell Chang,教育本質還是家庭教育，家長應該要在家庭教育上多用心，而不是覺得把孩子送進私校就可以把「教育」這件事丟給學校老師，而是要與老師共同合作一起教育孩子才是
黃鳳純,教育部是否該重視這個問題…為什麼大家要擠破頭要去讀私校！
George Chung,很明顯就是齊頭式教育啊…
Lynn Shih,因為私校和補習班不受很多規定綁手綁腳 補習班的布條寫著：「公立學校不能教的我們都可以教 公立學校不能考的我們都可以考」公立學校早自修考試就被告發 所以家長只好擠破頭送私校 或是讓小孩補習補到23點才回家 而公立學校老師想留學生下來自習 或六日想帶學生校外教學 都被說不行 有補習 然後學生累的要死來學校睡覺 寫補習班作業 就因為公立學校一直被評鑑正常化教學正常化教學 整個本末倒置的教育政策 讓我們的學子更累更不健康 教育部到底在搞什麼
安柏老師的課堂  · ,這篇寫得真好尤其是最後這段這些老師是否真的被好好對待？因為老師撐得住，孩子才能被照顧；因為老師教得穩，孩子才能學得好。不論公校私校老師其實都不容易
翻轉地理教室,安柏老師的課堂 真的，其實公校還是私校都有好老師，重點在於一些結構性問題應該被看見，被重視，教育當局應該主動積極，而不是等著被動反應！
李育嬋,國中公立私立都有各自的問題，區域也有差異。私校大爆滿的情況基本上集中在台北台中，南部的台南/高雄，唸私校的熱度有天壤之別。以企業角度來看就是人力配比的問題，不知道有無法規規範？當一間學校的人力不足夠負擔所有工作量，主管單位不管？不記缺失？不要求改善？已經有許多家長選擇走第三條路-自學或實驗教育，也期待真正有教育理念的老師願意脫離體制。
Pap Lee,8月起，有證公立代理可依照年資敍薪。相信更多 私中老師，會寧願來公立 當代理。反正都是一年一聘，薪資成長反而有法律保障且因故中途離職沒有違約金問題。
