id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
68398,Tonghua Studio C near MRT & Taipei 101,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,,30,12,2024-11-05,0.08,5,280,2,
271733,Taipei Rooftop - Whole apartment!,242033,Robyn And David,,文山區,25.00581,121.55518,Entire home/apt,1350,14,72,2024-11-25,0.46,1,25,4,
272314,"Long Stay Welcome, Taipei 101 Building is here",1425203,Chen,,大安區,25.04224,121.54265,Entire home/apt,1312,90,9,2014-12-31,0.06,1,358,0,
289296,Fabulous studio - Center Taipei (Monthly),1338052,Herman,,大安區,25.04287,121.55112,Entire home/apt,2822,30,29,2024-04-23,0.24,2,341,1,
289298,Fabulous Studio in heart of Taipei,1338052,Herman,,中山區,25.08091,121.55902,Entire home/apt,2362,30,188,2024-11-12,1.33,2,341,1,
333362,"3min walk to MRT, Quiet good sleep",1698423,Jojo,,中山區,25.07893,121.55061,Entire home/apt,1969,3,99,2024-12-23,0.63,1,316,13,
646629,Skygarden Central Apartment,3204303,Kate,,大安區,25.01708136358273,121.53232686857233,Entire home/apt,3164,2,261,2024-12-17,1.77,1,84,17,
697760,Tonghua Studio D near MRT & Taipei 101,339014,Lisa,,大安區,25.028775,121.554686,Entire home/apt,1116,30,4,2021-02-05,0.04,5,309,0,
718493,Y0uTUBE keyword「Loft style BnB  actual film,3705836,Gordon,,內湖區,25.0692,121.58582,Entire home/apt,2648,20,92,2024-07-24,0.62,11,183,2,
761561,Studio with kitchen near Guting MRT,4014285,Pei,,中正區,25.02463,121.52318,Entire home/apt,2297,5,38,2024-08-30,0.26,1,251,4,
818630,LGHomeB,4299066,思騰,,大安區,25.0178,121.55534,Private room,765,5,219,2024-05-21,1.51,4,27,1,
837546,"海婆婆TPEshort rent ,Xihu MRT,2 bed A",4377110,Alice,,內湖區,25.08353,121.56432,Private room,2025,5,3,2018-01-01,0.02,9,364,0,
837558,"HIPOPO TPE short rental, Xihu MRT C",4377110,Alice,,內湖區,25.08353,121.56499,Private room,1922,7,9,2022-08-24,0.09,9,361,0,
855470,"HIPOPO TPE short rental,MRT Xihu 6B",4377110,Alice,,內湖區,25.08374,121.56374,Private room,1922,30,1,2019-04-14,0.01,9,365,0,
858235,海婆婆短租G房,4377110,Alice,,內湖區,25.08347,121.56491,Private room,1744,8,13,2024-01-04,0.11,9,346,1,
869581,"Resort Living in Tianmu, Taipei",4581891,Sophia,,士林區,25.12665,121.53418,Entire home/apt,3281,364,35,2020-03-06,0.24,2,164,0,
889269,8-bed mixed dorm@On My Way Taipei Hostel,4717608,On My Way Taipei Hostel,,北投區,25.1327,121.50147,Shared room,600,1,55,2024-04-05,0.39,3,328,1,
963051,短期租屋套房.台北101部屋,5247611,Fiona,,信義區,25.03648,121.5581,Private room,1857,3,1,2023-01-29,0.04,4,306,0,
983054,602_Apartments for Rent near Academia Sinica,5386798,Jej,,南港區,25.03723,121.61464,Private room,420,31,51,2020-08-14,0.38,2,364,0,
995079,海婆婆短期屋HiPoPo Taipei short rental B,4377110,Alice,,內湖區,25.082,121.5706,Entire home/apt,2287,12,9,2023-06-21,0.08,9,349,0,
997692,海婆婆短期屋HiPoPo Taipei short rental A,4377110,Alice,,內湖區,25.08332,121.57057,Entire home/apt,2569,10,1,2015-01-04,0.01,9,168,0,
1000580,海婆婆short rental Xihu MRT garden room,4377110,Alice,,內湖區,25.08386,121.56448,Entire home/apt,2231,7,8,2024-04-10,0.06,9,361,1,
1015037,Zhongxiao Dunhua Studio B near MRT,339014,Lisa,,大安區,25.041624884945406,121.54974724342638,Entire home/apt,1444,30,9,2024-02-27,0.07,5,320,2,
1015088,Zhongxiao Dunhua Studio D near MRT,339014,Lisa,,大安區,25.04163628361521,121.55152065563288,Entire home/apt,1411,30,10,2024-01-14,0.09,5,258,1,
1037747,Resort Style Living in Beitou TPE,4581891,Sophia,,北投區,25.13702,121.50899,Entire home/apt,,365,92,2020-03-10,0.65,2,363,0,
1072856,Classic Mini Room,5785514,小公館人文旅舍,,松山區,25.05152,121.56966,Hotel room,2809,1,37,2022-12-30,0.26,7,165,0,
1072857,Chic & Clean for 2 with view,5785514,小公館人文旅舍,,松山區,25.05159,121.56966,Hotel room,3309,1,61,2024-12-17,0.45,7,181,8,
1097851,Studio near MRT Taipei City Hall Station & 101 BLD,6033578,Ck,,信義區,25.04173,121.56663,Entire home/apt,3792,2,298,2024-12-15,2.17,1,353,17,
1139869,No longer available,6251774,Scott,,大安區,25.02845,121.54682,Entire home/apt,6000,30,178,2020-09-04,1.62,1,0,0,
1259320,Sunlight AnHe 2BR  / next to subway,398519,Shane,,大安區,25.03397,121.55313,Entire home/apt,3951,4,192,2024-12-10,1.37,1,234,23,
1297987,Across from Taipei Main Station!,5992856,John。Annie,,中正區,25.04727,121.51671,Entire home/apt,2625,7,188,2024-12-14,1.36,1,309,11,
1599241,Tianmu long-term Home Stay 天母長期家庭住宿,6378689,Wei Wei,,士林區,25.11179,121.52735,Private room,,1,0,,,2,364,0,
1618365,Twin Bunk Bed Room@On My Way Taipei Hostel,4717608,On My Way Taipei Hostel,,北投區,25.13384,121.50158,Private room,6814,1,6,2024-05-04,0.04,3,358,1,
1631691,SUITE Near MRT 3 Minutes by walk 13T5/Double bed,8642499,Foreverinn,,中山區,25.06117,121.54287,Entire home/apt,1711,1,87,2024-11-18,0.63,6,344,4,
1664910,Near MRT Guting station's apartment,8818893,Tzu Hao,,中正區,25.02692,121.51984,Entire home/apt,2171,1,125,2024-08-27,0.92,1,223,10,
1671130,a boutique house in central taipei,8847227,Koma,,中正區,25.0454,121.51649,Entire home/apt,2503,3,365,2024-10-30,2.95,3,179,18,
1689077,MRT (3 mins walk) Foreverinn 37T6/Double bed/一張大床,8642499,Foreverinn,,中山區,25.05978,121.54351,Entire home/apt,1711,1,92,2024-12-17,0.67,6,345,3,
1701140,A-B1《月租》《可短租》中山捷運站-雙人套房(含獨立衛浴),906344,Lily,,中山區,25.05258,121.52132,Entire home/apt,1445,3,311,2024-12-16,2.32,23,173,11,
1718240,101side MRT cozy apt#A4(2~5pax)月租,8868664,Anne,,大安區,25.0265,121.55221,Entire home/apt,2571,1,140,2024-11-30,1.18,3,200,25,
1804621,Spacious Modern Flat in TPE Center,4647921,Mark,,大安區,25.044078826904297,121.5509033203125,Entire home/apt,5615,2,82,2024-10-27,0.61,1,176,3,
1805413,Near MRT 3 Minutes by walk 44D1/ Double bed/一張大床,8642499,Foreverinn,,中山區,25.05946,121.54363,Entire home/apt,1687,1,75,2024-11-02,0.55,6,345,5,
1808483,台北大安區 捷運國父紀念館站7分鐘  近101 信義商圈 五分埔 商務 獨立套房,5247611,Fiona,,大安區,25.03641,121.55653,Entire home/apt,1387,2,123,2024-12-16,1.01,4,320,15,
1828204,MRT 3 mins by walk 18D4/ Double bed/一張大床,8642499,Foreverinn,,中山區,25.06033,121.54288,Entire home/apt,1687,1,83,2024-01-17,0.61,6,347,1,
1828230,MRT (3 mins walk) Foreverinn  8D6/ Double bed/一張大床,8642499,Foreverinn,,中山區,25.05969,121.543,Entire home/apt,1711,1,23,2024-09-29,0.17,6,346,6,
1838528,"Shilin Night Market Suites 1, Taipei 士林夜市獨立衛浴優靜套房1",9610268,Simon,,士林區,25.08967,121.52408,Private room,,2,87,2024-03-21,0.65,2,70,1,
1849010,Banana Coliving Dongmen - Single Room (203),3958878,Banana Co-Living,,大安區,25.03389,121.52627,Private room,500,30,4,2015-04-24,0.03,4,357,0,
1884880,Near MRT 3 Minutes by walk 18D2/single bed,8642499,Foreverinn,,中山區,25.06024,121.54315,Entire home/apt,1664,1,34,2024-11-19,0.25,6,347,1,
1894750,8-bed Female Dorm@On My Way Taipei Hostel,4717608,On My Way Taipei Hostel,,北投區,25.1319,121.50123,Shared room,600,1,51,2024-08-27,0.38,3,329,3,
1911361,Taipei 101 Wu's Casita,6378689,Wei Wei,,信義區,25.03161,121.55981,Private room,700,30,438,2019-12-30,3.26,2,365,0,
1933639,"Suite get much natural light, 5 min to MRT",10007698,Kiki,,中山區,25.05867,121.53409,Hotel room,2297,3,381,2024-11-28,2.82,18,77,18,
1938837,Whole Floor Private Apartment Near Metro,10006796,Johnson,,士林區,25.10667,121.52732,Entire home/apt,1700,7,115,2024-12-19,1.04,3,15,5,
