id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,13000,3,183,2024-12-12,1.13,1,156,9,M130003350
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,9474,3,264,2024-12-01,1.79,1,209,15,M130000243
905944,4F Spacious Apartment in Shinjuku / Shibuya Tokyo,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67878,139.67847,Entire home/apt,39363,5,242,2024-12-15,1.69,8,273,42,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋健生収第4972号
1016831,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,26571,2,271,2024-12-10,1.90,1,46,11,M130001107
1196177,Homestay at Host's House -  Senju-Ohashi Station,5686404,Yukiko,,Adachi Ku,35.74363,139.79852,Private room,10571,2,135,2024-12-19,0.97,1,69,26,M130007760
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,50528,8,142,2024-11-29,1.03,1,107,21,M130000957
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,8800,3,201,2024-12-19,1.44,1,356,13,M130000057
1268465,Private APT 8min from JR Ebisu station,1913570,Sugi,,Meguro Ku,35.63953,139.7097,Entire home/apt,13421,4,27,2024-12-10,0.20,1,99,15,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第１００号
1298200,Pine House 2 Bed Room + 2 Toilets,7740848,K Family,,Katsushika Ku,35.73987,139.85176,Entire home/apt,26829,3,411,2024-11-16,2.93,6,138,29,M130009943
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,61714,3,214,2024-11-30,1.57,4,50,9,M130003681
1394124,Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,37071,2,328,2024-12-10,2.36,1,127,36,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
1394409,Room in Mejiro/Ikebukuro (2of2) for 1 person,7537357,Yayoi,,Toshima Ku,35.72415,139.70151,Private room,6000,3,236,2024-11-22,1.71,2,272,10,M130000166
1394737,Room in Mejiro/Ikebukuro (1of2) for 1 person,7537357,Yayoi,,Toshima Ku,35.7241,139.70343,Private room,5500,7,241,2024-12-13,1.74,2,259,20,M130000166
1441639,"Sunny Spacious traditional room, Sunny balcony",7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,,4,327,2024-05-06,2.36,6,0,1,M130002147
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,10657,2,218,2024-09-12,1.58,11,100,13,M130002186
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,11086,2,169,2024-12-27,1.23,11,81,18,M130002186
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,7141,2,205,2024-12-07,1.49,11,128,21,M130002186
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,6751,2,170,2024-12-02,1.24,11,128,15,M130002186
1732795,"4 Bed-rooms, 2 toilets, shower, Traditional rooms",7740848,K Family,,Katsushika Ku,35.73784,139.85201,Entire home/apt,52800,3,399,2024-12-23,2.93,6,158,42,Hotels and Inns Business Act | 葛飾区保健所 | 4葛保生環令第75号
1749157,Diplomat House/Mansion near by JR Station in Tokyo,9203725,DeepTokyo,,Ota Ku,35.58958,139.72636,Entire home/apt,167143,3,66,2024-10-25,0.48,6,66,3,M130032025
