Link,Title,Context,PublishTime
https://www.ettoday.net/news/20250622/2982821.htm,花蓮台9線車禍！雙載機車自撞「跌落邊坡20m」　消防救援畫面曝,"蘇花公路台9線161公里處，今（22）日早上發生交通事故，雙載機車不明原因自撞，摔落邊坡約20公尺，警消獲報到場將2人救起，所幸無生命危險。
消防指出，22號早上6點05分接獲一起交通事故，疑似騎士跌落邊坡，到場後利用吊臂以及吊帶，將人員下放並將患者拖困至地面，由救護車後送至醫院。
大概距離公路大概有20公尺高度，救援2名患者皆意識清楚，手腳皆有一些擦挫傷及骨折，至於為何墜落邊坡，2人因非常疼痛所以沒辦法回答。詳細事故原因仍待釐清。",2025-06-22T10:33:00
https://www.ettoday.net/news/20250616/2979408.htm,花公路落石釀車損！1輛引擎蓋凹陷、1輛左前輪爆胎,"蘇花公路宜蘭南澳鄉台九線116公里處發生落石擊中車輛事故。15日下午13時許，一輛轎車引擎蓋遭落石砸損，落石也造成另輛車輾過時左前輪被刺破。所幸這起落石事故未造成人員傷亡，警方呼籲用路人行經山區道路時務必要提高警覺。
據了解，42歲林姓男子駕駛轎車由蘇澳鎮東澳往南澳鄉方向行駛，途中遭落石砸中，引擎蓋凹陷受損，險些波及駕駛座。落石滾落路面後，又被後方一輛69歲林姓男子駕駛的轎車輾過，導致左前車輪胎爆胎。事故發生時正值周日車流量較多，所幸現場狀況於半小時內排除。
蘇澳分局提醒，近期山區天候不穩，落石或路樹倒塌風險增加。警方建議用路人行經蘇花公路山區路段時，務必減速慢行並開啟大燈，以便迅速應對突發狀況，確保行車安全。",2025-06-16T14:57:00
https://www.ettoday.net/news/20250609/2975007.htm,花蓮對面是阿根廷福爾摩沙省　他們以藝術紀錄地震傷痕,"花蓮地震寫生團像一支自動發起的遠征隊，由一群在地年輕藝術家組成，在2024年4月3日的花蓮震後，隨機組合、出團，以高機動性畫下家鄉災變後的景色變動：忽然就堆起了大量建築殘骸土方的空地、震後完全燒毀的東華大學化學實驗室、被剝了皮般裸露出土石的山、覆蓋了整個海岸線的漂流木…。
他們不以「作品」為藝術本體，強調真正的藝術在「行動」本身。遠征隊的「主揪」王煜松說：
「寫生計畫，是想用簡單的方式了解這一片土地到底發生了什麼事？我們最初的目的都是為了療癒自己，或是搞清楚，現在我所屬的這塊土地，是什麼樣的狀態？」畫吧！記憶。他們的作品、行動，或許正是他問題的解答。
震後一年，和花蓮門諾醫院的藝術治療師謝欣璇通話這日，她正帶完崇德國小的藝術治療活動不久，後續傳了幾張畫作和我們分享。主題是地震，她引導的方式是：把燈關掉，放地震的聲音，「我讓他們從聽覺去感受，問這個聲音給他們的感覺是什麼？是什麼顏色的？什麼形狀的？」
她讓小朋友寫生腦中的地震印象。崇德國小靠山，畫裡於是山脈矗立，山上有巨石滾落，石頭有臉，表情憤怒。另一張畫，則是山在哭泣。
震後瘡痍　滿布傷痕的山在哭
時間拉回一週前，我們剛隨花蓮地震寫生團的成員們前往太魯閣，見證那些哭泣的山、憤怒的石。因為開放的時段有限，寫生團核心成員王煜松算好時間，開車載著我們和另外三位成員一起從花蓮市出發。沿途不時有人叫我看向窗外，是傷痕滿布的山，一道道土石崩落的痕跡像傷疤，滿目瘡痍的灰取代了綠，車上瞬時陷入短暫的沉默。
進入峽谷不久，車底傳來異聲，隨行的另一位成員黃政強下車查看，原來是樹枝卡住了輪胎。狀況排除，我們繼續往山的深處前進。曾經的觀光勝地，如今人跡罕至。我們原先想到已全面停業的山月村看看那顆被寫生團畫過的巨大落石，結果岔路已被工班封住。
最後只好把車停在附近的空曠處。王煜松一行4人帶著畫筆，下車為山壁寫生，同時和我們聊著一行人如何在花蓮的「綠地畫室」結識，還說網紅阿翰也曾是畫室學生。大家先後都考上台北藝術大學，在外繞了一圈又回到花蓮…忽然，對話被轟天的巨響打斷。
原來是山壁鬆動，裂下一顆約半台轎車大小的石頭，砸入溪中，挾帶的煙塵久久不散。眾人傻住，又說：「我剛才以為是打雷。」不久，巡邏的警車緩緩駛過，確認無災情後又離開。第一次目睹山石崩落的王煜松示意要我們再等一下，等狀況穩定再上路，見氣氛緊繃，又開玩笑：「你們真的是冒生命危險陪我們來這邊。我們等一下快速開過這一段路好了…」
離開落石段後，王煜松回憶方才景象，才說：「你不覺得剛才石頭掉下來的瞬間，時間好像變慢了嗎？石頭定格在那邊。」
像是在形容震後的花蓮。集體創傷、百業蕭條，不知道何時能恢復震前的景象。
王煜松和我們談及，去年地震當下，他人並不在花蓮。那是4月3日早上7點58分，花蓮發生規模7.1的強震，是台灣繼921大地震後，25年來規模最大的強震，造成18人罹難，上千人受傷，另有多棟房屋倒塌或半倒。
若按原計畫，事發時王煜松應該正為了布置另一個展覽，在從花蓮前往金瓜石的路上，「如果不是行程提早了一天，我可能就是被困在蘇花公路裡的其中一人。」
馬路裂口　對蹠點是福爾摩沙
這不是王煜松第一次在家鄉遇災時缺席。2018年2月6日夜間，花蓮發生規模6.2的地震，同樣造成嚴重災情。當時王煜松正在台南藝術大學讀造型藝術研究所，趕回花蓮確認家裡狀況後，又到朋友住的雲翠大樓查看。朋友已經逃離，傳給他震後拍下的影片，「附近的粉塵很像災難片現場，整個城市灰灰的。晚上，救難人員打超亮的燈，在雲翠大樓尋找生還者。」
隔一條街，他又看到「中山路整條馬路都裂掉。我想，這個裂痕一直裂下去，會到哪裡？地球的對面是什麼狀態？科學名詞叫『對蹠點』，我一查，發現是阿根廷的福爾摩沙省。」
怎麼會有這麼巧的事？一個小小的念頭，後來衍生成裝置藝術作品《兩個福爾摩沙》。他在展覽的空間鋪滿磁磚，再打造出寬40公分、兩側還有高低差的裂痕，「後來我去網路上找阿根廷的人幫我錄音，請他們編造日常聲響。因為我想像，我們這邊雖然地震，但那邊還是過著很日常的生活。所以裂縫中會傳出西班牙語，我還去找南美洲的植物，讓它們像從磁磚裂縫中長出來。」
那是他第一次以藝術的方式，記錄地震造成的傷痕。身為花蓮人，王煜松對地震再熟悉不過，其說法是：「我們從小就是每1、2個禮拜會遇到一次小地震。地震對我們來說，是很平常的事，你只能跟它共存。可是這一次不一樣。你知道我們那時候幾乎連續2個月，是每天都地震…」
樓倒拆除　上萬噸殘骸堆成山
他一邊駕車，一邊描述對地震全新的體悟：「我覺得真正可怕的，反而不是主震那一天，是之後的餘震。最可怕的也不是地震當下，是地震之前的聲音。地鳴嘛，2、3秒之後地震才會來，可是在那幾秒裡，你心裡的恐懼是很巨大的，因為你不曉得這次會不會又更嚴重？某些建築可能撐過了主震，但已經損壞，接下來的餘震是不是還能撐過去？」
花蓮人有個笑話是，地震發生時，會逃出去的都不是當地人。此事在去年也有了改變。王煜松說：「（主震）過後幾天，我在家附近騎腳踏車，又遇到地震，就看到整條路的人全部跑出來。有時是半夜一、二點，有人就直接拿枕頭、棉被睡在騎樓。」
再度起心動念以震災為創作主題，是因為地震後不久，他發現半夜總有大卡車，一直往他家的方向開，「我想說他們要開去哪？結果是國福土資場。」那是位於花蓮市郊河堤邊的一大塊空地，天王星大樓、北濱街民宅、富凱大飯店及統帥大樓等建物拆除後的土方，皆暫存於此，總計約11萬噸的殘骸，堆成一座座小山。
一個晚上，王煜松偕同幾位一起學畫的朋友去吃宵夜，途中興起，想記錄下這奇異景象，「剛好手邊也有一些簡單的鉛筆、炭筆，我們就去現場看一看，直接坐在那邊畫。」",2025-06-09T11:47:00
https://www.ettoday.net/news/20250609/2975010.htm,11萬噸殘骸的土資場沒錢處理　脆弱交通讓花蓮旅遊雪上加霜,"東華大學化學實驗室在震後因化學物品翻覆起火，燒了整整22個小時。寫生團進入實驗室內部時，現場仍是一片狼藉，建築內部天花板被煙燻黑，延伸至牆面向下漸層，留有火焰往上竄燒的痕跡。黃政強說：「我也曾經是東華的研究生，有人跟我說管理滿鬆散的，我就帶人趕快進去畫。」
那天出團的成員，還包括王煜松的同學徐立軒，二人國小、國中都是美術班，升高中時，徐立軒進入花蓮女中唯一收男學生的美術班，大學和王煜松都考上北藝大，畢業後又一起考進南藝大研究所，再先後返回花蓮定居。在15人隨機組團、機動性極高的寫生行動中，他們都屬高出席率團員，初次出團時二人都前往土資場，之後也一起到東華大學寫生。
徐立軒在東華大學畫下了整個畫展中感觸最深的一張畫，是他站在燒黑的長廊中央，往另一頭望去，「我用東華大學裡被燒過的炭，畫那道長廊。下午，盡頭有陽光撒進來。」特別提到光，是因為它暗示了黑暗的盡頭處總有希望嗎？他沒有便捷地接受這個說法，只是再一次強調：「剛好我站在比較暗的地方，盡頭就有一道光進來。」
徐立軒在藝術創作的路上，並未如王煜松迅速找到定位且獲肯定。他在我們採訪第二天才加入，當時開車的王煜松是故事主述者，我只能趁空檔和徐立軒講幾句話，聽他說母親是兒童美術老師，他雖遺傳了美術天分，但也最抗拒當老師。就讀北藝大期間，他感覺自己的天分逐漸被稀釋，對當代藝術也有點消化不良，「教授不喜歡我的作品，我也對畫畫失去自信，感覺自己和同學的程度落差愈來愈大。」
天災頻仍　強震餘悸又遇颱風
畢業後，他陷入徬徨，以升學作為逃避，雖然仍持續創作，也在研二那年得到台南新藝獎，但研三、研四又停滯了，甚至跟著前女友的腳步去學做陶，畢業後還到美術用品店打工，「補貨啊什麼的，最後也覺得很無聊，和創作無關。」
一年後，他決定回花蓮。徐立軒說：「就覺得藝術家當不成，至少想要回花蓮，把我在外面學到的觀念帶給小朋友。當老師也是一條路啦。」他開陶藝教室，又熬了一年，逐漸穩定。去年2月，他在東大門夜市租了一間店面，販售陶藝作品，「結果四月就地震。店裡陶器摔壞了一半，生意也無法做了。地震之後，觀光客一路消失到年底，中間遇到颱風，蘇花公路又斷，根本沒有辦法。12月，我就把店收掉了。」
我們當天的採訪，甚至被一則地震警報打斷，錄音戛然而止，後半的內容沒有錄到。地震最後沒有來，大雨來了，當晚我撐傘到東大門逛了一圈，試圖找到他已遷出的小店原址，毫無線索。賣藝品的那條街，也空闊得簡直像公休的日子。
盡頭的光到底在哪裡？我們側訪花蓮縣議員楊華美，主要詢問為何國福土資場的土方擱置了一年沒有處理？她很直接回答：「沒有錢處理。」花蓮在0403震後，共計有近200件紅、黃單待拆或需補強建築，但花蓮本身能夠拆除大樓的廠商並不多，「現在還有一棟馥邑京華，在中華路加油站後方，是集合式住宅，人都清空了，但先前一直未能公費拆除。」她協力在縣府與中央來回往返處理，終於同意公費拆除，「花蓮縣政府技術有困難，只能負責協調當地居民後續，主要由中央來拆，目前仍在等行政院核定的階段。」
拆了之後呢？土方又要運到國福土資場？楊華美曾詢問環保局，土資場的處理究竟卡在哪裡？也是資金。環保局預估處理需要四億多元預算，向中央申請，「應該是被退，來來回回三、四次，最後得到的金額只有二億多元。」
觀光重挫　遊客銳減危及生計
無限堆積擱置的土方，還不是花蓮震後遭遇最大的挑戰，觀光才是。楊華美說，花蓮有好山好水，遊客量一直很穩定，即使2018年震後都沒受到太大影響，只跌了將近一成，「但去年這次，跌到剩二、三成，是十年來我覺得最嚴重的一次。不管是民宿旅館業、餐飲業、遊覽車小巴士，都直接影響到。還有仰賴太魯閣觀光業維生的清潔打掃、做生意的人，全部失業。國家公園管理處說可能8年、10年都無法恢復，現在就是把路鋪好，但是內部的生態、觀光步道等，已經是完全毀壞了。」
中央推的一日遊補助，也未能起到太大作用，「你來就是很快速地遊覽、玩，但不會留下來深度旅遊。花蓮應該要思考的是，太魯閣之外的替代方案是什麼？我們有原住民文化，自然資源也很豐富，能如何利用？花蓮的交通也很脆弱，大家來花蓮，想到交通這麼危險，還要來嗎？台灣的國旅市場衰退已久，多重因素都讓花蓮雪上加霜。」去年底，花蓮縣政府編列10億元預算廣發3千元振興券，也沒能扭轉頹勢。楊華美說：「那是短視近利的政策。」
去年10月底，強颱康納自東部登陸，花蓮震後土質鬆軟，大雨後山區土石流，造成大量樹倒，海岸布滿漂流木，政府處理量能嚴重不足，最後開放民眾撿拾，地震寫生團也再次集結。王煜松說：「我活到30歲，從來沒看過花蓮的海邊看不到海灘，全部都是漂流木。那時撿漂流木變成花蓮的全民運動，路上大家騎機車，前面就是載漂流木。我覺得這件事很有趣，所以就擬了新的計畫，把漂流木組成畫架，搬回上游。我們一樣是要去寫生，可是我們寫生的畫架，是用漂流木做的。」",2025-06-09T11:46:00
https://www.ettoday.net/news/20250605/2973031.htm,蘇花公路和仁路段管制閘門施工　6月9至13日機動交管,"台九線蘇花公路和仁路段將進行管制閘門施工，自6月9日至6月13日每日上午8時至下午5時，實施機動管制。
工務單位指出施工路段於台九線154K+800處（和仁路段)，施工期間請用路人配合現場交維及人員指揮通行。",2025-06-05T14:07:00
https://www.ettoday.net/news/20250520/2964098.htm,快訊／豪雨、土石流強襲花蓮縣　秀林鄉和平村明上午停班停課,"受到20日豪大雨影響，花蓮多地傳出淹水、土石流等災情。對此，花蓮縣秀林鄉公所18日深夜緊急發文，告知民眾和平村（和平、和中、和仁）21日上午停止上班、停止上課。
據了解，花蓮地區20日豪雨不斷，蘇花公路台9線162.9公里處落石瀑、164.4公里處土石流持續發生，公路局已執行只出不進措施，另台鐵和仁=崇德間再度因土石泥流影響雙向中斷，台北往花蓮對號列車行駛至蘇澳新站止，南下區間(快)車行駛至和仁站、台東往台北對號列車行駛至花蓮站止，北上區間(快)車則行駛至崇德站。
除了公路局及台鐵公司已成立一級應變小組外，交通部陳世凱部長也立即指示啟動運具聯防。",2025-05-20T22:34:00
https://www.ettoday.net/news/20250520/2964063.htm,花蓮豪雨「土石流轟炸道路」恐怖畫面曝光　民眾躲隧道內尖叫,"受豪雨影響，台9線蘇花公路164k處發生土石流，目前雙向交通中斷受阻，交通部已下令啟動海陸空跨運具聯防。有民眾20日剛好行經蘇花公路，發現土石流後立刻躲進隧道內避難，並拍下土石流不斷沖刷、轟炸的畫面。
臉書粉專「爆料公社」發文表示，花蓮下午發生豪大雨，和中地區發生土石流，他們趕緊躲在隧道裡面。
影片顯示，民眾躲在隧道內往外拍攝，隧道外不斷有大量土石流沖刷道路，不時有巨大的石塊墜落，砸下土石流中並激起巨大的水花，接連的巨大撞擊聲響，也讓民眾嚇得大叫。
網友看完紛紛留言，「東部豪雨西部熱得要死，兩樣情」、「給花東地區的人，一條安全回家的路，不能嗎」、「天佑花蓮，祈求平安」、「在現場的話整個嚇壞了...車都不敢開了」、「根本砲彈在轟炸路面」、「雖然花蓮的風景真的很漂亮，但是像這種易坍塌的路，還是盡量不要走，不然就是封起來，不然真的太危險了」、「好像炸彈轟炸的畫面，現在拍攝的人應該嚇到腿腳軟軟的吧」。",2025-05-20T20:46:00
https://www.ettoday.net/news/20250520/2964060.htm,花蓮爆雨「蘇花鐵公路雙斷」　交長下令啟動海陸空跨運具聯防,"今(20)日16時起花蓮地區因豪雨不斷，蘇花公路台9線162.9公里處落石瀑、164.4公里處土石流持續發生，公路局已執行只出不進措施，另台鐵和仁=崇德間再度因土石泥流影響雙向中斷，台北往花蓮對號列車行駛至蘇澳新站止，南下區間(快)車行駛至和仁站、台東往台北對號列車行駛至花蓮站止，北上區間(快)車則行駛至崇德站。除公路局及台鐵公司已成立一級應變小組外，交通部陳世凱部長也立即指示啟動運具聯防，相關措施如下：
一、為加強疏運花東旅客，台鐵公司已於17:50分加開一列全車自由席對號列車經南迴線至新左營，另花蓮往台東、新左營對號列車全面開放站票。
二、為接駁台鐵南迴列次旅客，高鐵公司表示可在新左營站轉乘294次列車(22:10發車)至北部(23:52抵達台北，目前可售座位近7成)，另北上末班車598次車(22:55發車)亦可協助旅客轉乘至台中。
三、民航局緊急協調立榮航空公司於18:40將有加班機自台北飛往花蓮，回程於20:00自花蓮飛往台北；明(21)日除同時段也有加班機外，於19:30另再加開一班加班機自台北飛往花蓮，於20:50自花蓮返航台北。
四、視通車情形啟動海運備援，新台馬輪可於明(21)日09:00左右抵達蘇澳港，往返花蓮港，可載客642人，小客車50部。
交通部表示目前蘇花路廊雨勢已變小，公路局及台鐵公司均已調派人員與機具趕赴現場，在安全許可下，全力進行搶修工作。交通部陳世凱部長也指示相關單位密切注意通車狀況，並請各運具加強聯防，以降低對旅客行程影響。",2025-05-20T20:24:00
https://www.ettoday.net/news/20250520/2964044.htm,蘇花路廊土石流阻斷「80車受困」　今晚9時搶通,"台9線蘇花路廊和仁到崇德路段上邊坡土石流狂瀉，導致阻斷無法通行，南下72部、北上7部共80輛車輛受困，安置匯德隧道內，公路局已派出機具搶修通，預計今晚9點搶通。
公路局表示，台9線蘇花路廊和仁至崇德路段受午後熱力作用強降雨影響，164.5K崇德隧道以南今日約下午4時發生土石流事件，另台9線162.9K匯德隧道北口發生上邊坡零星落石及土石流事件，雙向無法通行，第一時間即時成立應變小組因應。
公路局指出，和仁154.8k到崇德165.7k自今日16時30分起緊急封閉，進行人車往北引導至和仁，往南引導至崇德，部分人車計約80台暫於匯德隧道內安置停等，搶災機具8台現場待命搶修中，俟晚間19時雨勢稍緩即進行搶修，搶通後引導車輛戒護通行撤離。",2025-05-20T19:12:00
https://www.ettoday.net/news/20250520/2963953.htm,蘇花公路又中斷！土石流狂瀉　和仁到崇德段只出不進,"大雨不斷，台9線蘇花公路164k處發生土石流，目前雙向交通中斷受阻。公路局宣布，今下午4時半起和仁到崇德段只出不進。
臉書粉絲團「以蘇花公路即時路況為主的平台」通報，蘇花公路164k下午16時10分因大雨產生泥流，目前雙向受阻。
公路局南澳工務段表示，蘇花路廊和仁至崇德路段受午後熱力作用強降雨影響，清水斷崖雨量站10分鐘累積雨量7.5毫米 、1小時累積雨量52.5毫米，經現場CCTV監看即時影像，台9線164.5k崇德路段已發生土石流情形。
公路局東區養護工程分局南澳工務段宣布，考量用路人行車安全，台9線和仁（154.8k）~崇德（165.7k）自今(20)日16時30分起只出不進，搶災機具現場待命警戒中，開放通行時間將俟雨情發展另行公告。",2025-05-20T16:53:00
