Topic 0	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6
0.60319316	0.000265842	0.000266168	0.000266014	0.30788198	0.000266277	0.08786058
0.39991257	0.000515169	0.117526434	0.000515671	0.103185385	0.37782893	0.000515898
0.001213768	0.940538	0.001215948	0.05338998	0.001215122	0.001214546	0.001212632
0.14094584	0.000369598	0.000369841	0.5071975	0.000369759	0.000369906	0.3503776
0.46342582	0.001235356	0.001237716	0.001235406	0.53039443	0.001235463	0.001235844
0.001301814	0.99218315	0.001304888	0.00130461	0.001301832	0.001302661	0.001301027
0.001257396	0.92263895	0.071072154	0.001258633	0.001257794	0.001258228	0.001256861
0.000996413	0.000997018	0.000995855	0.9462296	0.048787143	0.000996855	0.000997149
0.1273243	0.08462794	0.059745617	0.001479721	0.30339983	0.42194515	0.001477425
0.000626405	0.021852294	0.000626645	0.4679059	0.27967262	0.22868967	0.000626427
0.004677675	0.1155801	0.000403346	0.85369635	0.010599188	0.014640004	0.000403327
0.001364853	0.8678354	0.001366867	0.12533498	0.001367787	0.001366354	0.001363743
0.001154742	0.99306554	0.001157514	0.001157452	0.001155024	0.001155611	0.001154124
0.001184261	0.8559693	0.1381078	0.001186013	0.001183923	0.001184594	0.001184061
0.001129994	0.0708007	0.001130289	0.8500455	0.001129677	0.074634306	0.001129537
0.003127221	0.61805475	0.001208146	0.18671593	0.001204864	0.1884828	0.00120633
0.2749661	0.029090574	0.06988811	0.16105896	0.000710744	0.013762388	0.45052317
0.00102326	0.99385494	0.001025357	0.001025096	0.001023498	0.001024422	0.001023499
0.1640176	0.048949044	0.000784366	0.20342551	0.48609054	0.000784155	0.095948786
0.17968655	0.36384735	0.37852925	0.07383909	0.001365639	0.001366214	0.001365908
0.000513844	0.99691606	0.000514399	0.000514049	0.00051418	0.000513998	0.00051344
0.00089517	0.9946258	0.000896648	0.000896169	0.000895541	0.000895597	0.000895026
0.000689038	0.995864	0.000690656	0.000689094	0.000689013	0.000689653	0.000688563
0.000177172	0.49168104	0.00017721	0.000177052	0.17248063	0.33512977	0.000177113
0.000669711	0.9959803	0.000670725	0.000669738	0.000669503	0.000670019	0.000669963
