Link,Title,Context,PublishTime
https://news.tvbs.com.tw/local/2900057,地震、豪雨夾擊！中橫落石阻斷明搶通　蘇花公路夜間恐預警封閉,"受到昨（11）日東部規模6.4地震及熱帶低壓降雨影響，中橫公路台8線157.7k豁然亭路段，今（12）日下午2時許，上邊坡持續坍方落石阻斷交通，台8線關原至天祥（114.6k-167.4k）路段暫時封閉，14時30分起只出不進，待落石稍緩隨即進行搶修，預計明(13)日中午12時搶通。另外蘇花公路午後至晚間可能有短時大雨情形發生，部分路段夜間不排除實施預警性道路封閉。
公路局東區養護工程分局太魯閣工務段立即派員前往現場搶修外，同時於災點遠、近端管制交通，避免用路人持續進入災害路段。搶修現場因邊坡仍持續發生坍方落石，且雨、霧天候視線欠佳，搶修人員、機械於現場持續警戒，待落石稍緩隨即進行搶修，預計明(13)日中午12時搶通，台8線關原至天祥（114.6k-167.4k）路段暫時封閉，14時30分起只出不進。
另外受熱帶性低氣壓影響，氣象署今(12)日已針對花蓮地區發布大雨特報，蘇花路廊午後至晚間可能有短時大雨情形發生，預估累積雨量達100~130毫米；因0403強震後蘇花公路高位邊坡仍屬不穩定狀態，為維護用路人安全，台9線154.7k-165.7k(和仁至崇德)及台9丁線60.3K-63K.600(和中至和仁路段)夜間不排除實施預警性道路封閉。公路局東區養護工程分局南澳工務已成立緊急應變小組，並於蘇花路廊沿線進駐搶災機具及警戒人員加強巡查及待命。
公路局籲請用路人，山區道路地震、颱風過後及豪雨或連續降雨期間易坍方、落石，路況難以掌握，非必要請避免進入山區道路，並應隨時注意氣象資訊及道路通阻訊息，事先規劃行程預作應變準備。",2025/06/12 15:50
https://news.tvbs.com.tw/life/2895764,花蓮暴雨頻傳災情！7學生砂婆噹溪「戲水受困」,"花蓮地區下午到晚上期間，大雨與雷聲不間斷，有7名學生到知名景點砂婆噹戲水，返程時，遇到溪水暴漲受困等待救援，所幸救難人員到場利用繩索，讓七名學生平安脫困，另外，雨勢越來越大，蘇花公路的匯德隧道出口也出現泥流。
花蓮市區晚間雨勢伴隨著雷聲不間斷，每個騎士都穿著雨衣，風雨中行進都紛紛把速度慢了下來。
小客車駕駛：「哇，閃電欸。」
一道閃電打了下來，駕駛眼前瞬間變白，雨勢越下越大，前方視線越來越模糊，每輛車行進時都濺起大量水花。
突然下起暴雨，溪流暴漲相當湍急，夾帶著土石沖刷下來，整個溪水黃澄澄一片，救難人員全副武裝拉起繩索，因為有七名學生受困在對岸，每個人手搭肩，一起越過危險的暴漲溪流，光看就讓人捏把冷汗。
消防局第一大隊長林武正:「他們在過河之後，沒有特別預料到水色已經變濁，持續的往前走，因此在他們回程的時候，溪水已經暴漲，那透過人力接駁的方式，把七名學生順利的帶回。」
而原來受困的七人，是從外地到花蓮就讀的學生，8日下午花蓮下大雨，學生到知名的砂婆噹出遊，但不熟路況，又遇到溪水暴漲，來不及離開因而受困，而受困地點就是在上游的道路，所幸7名學生通通平安脫困。
泥水從山區傾瀉而下，這是在蘇花公路的匯德隧道北出口，出現的泥流，而花蓮當地居民也收到土石流國家警報，根據中央氣象署，截至晚上7點，花蓮太魯閣累積雨量達到125毫米，居全國之冠，民眾出門前不只得記得攜帶雨具，也得小心路況，避免發生危險。",2025/06/08 20:53
https://news.tvbs.com.tw/politics/2877040,豪雨重創花蓮！徐榛蔚喊話賴清德「不要搭專機」　體驗交通之苦,"近日豪雨影響，花蓮北上鐵公路再度中斷，導致交通受阻，縣長徐榛蔚今天攜手多位議員及觀光產業界，公開向總統賴清德表達訴求，強調花蓮民眾長期面臨交通不便問題。徐榛蔚表示，鐵公路頻繁中斷已成常態，懇請中央正視，並邀請賴總統親自走訪蘇花公路及搭乘火車，體驗東部居民生活，期盼提出具體改善方案，確保民眾安全返家。
更多新聞：
鐵路公路雙癱瘓！台鐵和仁段又豪雨停駛　蘇花崇德段只出不進
花蓮北上的交通仰賴北迴線鐵路及蘇花路廊，自去年地震後，因大雨導致土石流頻發，鐵公路多次中斷。本月18日再因豪雨，和仁至崇德間發生土石流，造成公路阻斷，鐵路北迴線和仁至崇德區間也因電力設備損壞及土石泥流淹沒東西正線，兩度無法通行。花蓮縣長徐榛蔚和國民黨籍縣議員和觀光產業代表，今日上午9時一同在縣府門口開記者會。
徐榛蔚直言，「我們所說的交通平權在哪裡？我們不是同樣生活在一個國家嗎？怎麼一個國家有兩個國度呢？」並且向賴清德喊話，表示不要再坐專機，開著車走走蘇花公路，以及坐著火車體驗一下，感受搶修工作背後家庭的擔憂，期待中央政府提出具體改善方案；徐榛蔚表示，希望保障人民的回家安全，總統就職滿一周年之際發出誠懇請託。
另外，花蓮觀光協會理事長陳義豐表示，交通安全是觀光的基本訂單大幅減少，住房率降至歷史低點，呼籲中央政府改善蘇花公路和北迴的安全性，目前約30%的訂單被取消，預計整個6月退訂率50%，端午連假住房率從預期的五至六成降至三成半。",2025/05/21 13:10
https://news.tvbs.com.tw/life/2877038,3天2中斷！台鐵單線雙向　花端午訂房剩3.5成,"台鐵北迴線，受到大雨影響，兩度雙向中斷無法通行，昨天連蘇花公路都受影響，台鐵宣布在今天清晨4點多總算搶修完成，暫時以「單線雙向」通行，預計24號才會全面恢復，不過現在只要一下大雨，蘇花公路、台鐵都容易發生土石流，導致端午連假訂房率，只剩下三成半。
土石不斷沖刷下來，20日下雨的強降雨，造成台鐵北迴線崇德到和仁間，土石流再度淹沒鐵軌造成中斷，台鐵緊急搶修，在21日清晨4點20分，東正線修復完成，在5點36分，恢復東正線單線雙向正常通車，首班列車從崇德站發車。
旅客：「昨(20)天晚上是到羅東等車，因為沒辦法下到花蓮來，只好住一個晚上，但是這個交通問題實在很大。」
東正線目前單線雙向行駛，雖然不需要車輛接駁，但路份列車還是會受到影響，造成誤點，目前台鐵全力搶修西正線，預估最快可以在24日修復完成。
不過台鐵北迴線三天內兩度中斷，這回甚至連蘇花公路也一度被土石淹沒，交通衝擊也影響到遊客到訪意願，花蓮端午連假訂房率從原本5-6成降到剩三成半。
花蓮觀光協會理事長陳義豐：「整個六月份至少目前我們預估，退掉50%左右的訂單了，甚至於現在已經有退到七月中旬。」
花蓮縣長徐榛蔚：「也出面希望中央增加工程經費，我們所說的交通平權在哪裡，邀請賴總統是不是在0403之後，0403之後我們的中央，提出了對公路的改善方案，鐵路的改善方案，到現在到底提出了什麼。」
不過工程要怎麼進行，才能有效改善，專家直言有難度。
台大地質系教授陳文山：「在短時間內沒辦法克服這個問題，因為它整個崩塌下來，整個土石量太大了，而且它把整個河谷都塞滿了，所以變成每逢下大雨的時候，它都會形成土石流，因為一般的機械很難上去，所以它也沒辦法去大量，大規模去清淤就是了。」
0403地震後，土石量太大，只能讓土石隨著雨勢，慢慢沖刷下來再去清除。
花蓮一遇到大雨交通就受到影響，也讓居民、旅客相當無奈。",2025/05/21 12:49
https://news.tvbs.com.tw/local/2876204,鐵路公路雙癱瘓！台鐵和仁段又豪雨停駛　蘇花崇德段只出不進,"花蓮縣18日下午受到對流雲系發展旺盛影響，下起傾盆大雨，導致台鐵「和仁=崇德」遭土石流淹沒軌道，北迴線雙向中斷，台鐵今日持續搶修，沒想到下午2時許又下起豪雨，河面溪水泥流暴漲，台鐵道班搶修人員緊急撤離，台鐵目前改由公路接駁，但台9線蘇花公路崇德段，也因為大雨影響大量土石滑落，蘇花雙向不通。
台鐵今日持續搶修「和仁=崇德」遭土石流淹沒的軌道，沒想到下午2時許又下起豪雨，河面溪水泥流暴漲，台鐵道班搶修人員緊急撤離，目前土石清除至k51+080隧道內鋼軌面上泥土已清理完，但根據現場畫面，隧道外大量土石滑落，濺起大量水花，根本無法靠近。
目前台鐵配合20日和平=新城間鐵路接駁服務應變方案，在今日18時以後進行班次調整，除了部分列車停駛外，為加速完成搶修工程，儘速恢復鐵路運輸服務，今日19時起至24止和平=花蓮間改以公路接駁。不過，在台9線蘇花公路崇德段，也同樣發生大量土石，完全擋住雙向去路，完全被困住。
公路局東區養護工程分局說明，蘇花路廊和仁至崇德路段受午後熱力作用強降雨影響，清水斷崖雨量站10分鐘累積雨量 7.5毫米、1小時累積雨量 52.5毫米，依目前氣象資料顯示，強降雨位於崇德附近，預估影響時間約至夜間19時左右。
另現場台9線164.5k崇德路段已發生土石流情形，公路局東區養護工程分局南澳工務段考量用路人行車安全，台9線和仁（154.8k）~崇德（165.7k）自今(20)日16時30分起只出不進，進行人車往北引導至和仁，往南引導至崇德，搶災機具現場待命警戒中，待雨勢稍緩即進行搶修，開放通行時間將俟雨情發展及搶修進度另行公告。",2025/05/20 17:11
https://news.tvbs.com.tw/life/2868397,駕駛注意！蘇花中仁隧道南下線施工　5／13起「封閉17天」,"用路人注意！為進行排水改善並復原路面施工，台9線蘇花改「中仁隧道南下線」自今（13）日上午起到5月29日下午6時，一連17天，將實施全天24小時封閉管制，提醒南下用路人可改走台9丁線（舊蘇花公路），民眾也可上公路局官網留意最新動態。
更多新聞：
台日韓「國定假日、特休假」大PK　1數據曝光網淚：台灣人最奴
交通部公路局東區養護工程分局說明，為了維護用路人安全，將針對台9線蘇花改中仁隧道南下線的排水改善與路面復原施工，自今天上午8時到5月29日下午6時，南下隧道實施「全時段24小時道路封閉管制」。
更多新聞：
黃仁勳還沒來！太太家人先抵台　拎10萬精品包超狂行頭曝
此外，分局說明，北端管制點為台9線和中地磅站前紅綠燈交通號誌（台9線148k+860）。管制期間，提醒南下用路人可以改走「台9丁線（舊蘇花公路）」通行。若民眾想了解管制訊息，可運用
公路局省道即時路況系統
或下載「幸福公路APP」，並收聽廣播以獲取即時訊息。",2025/05/13 11:56
https://news.tvbs.com.tw/life/2826109,清明連假首日爆出遊潮！蘇花恐塞14小時　桃機估湧14.5萬人,"清明4天連假即將到來，交通部公路局預估本次連假車潮將以掃墓祭祖及觀光旅遊為主，省道主要幹道及各地觀光風景區將湧現車潮，其中，台9線蘇花路廊、台26線南迴公路、台1線水底寮至楓港路段、台61線鳳鼻至香山路段、竹南路段（含玄寶大橋）、中彰大橋改建路段等6處省道易塞車，尤其蘇花公路在連假首日可能從凌晨塞到下午，恐長達14小時之久。
根據公路局預估，清明連假掃墓車潮將集中於4月3日至4日上午，觀光旅遊車潮則會在4月3日至5日湧現，至於返回工作地車潮預計從4月5日下午至6日開始陸續出現。除了上述6處省道外，台2線福隆及萬里至大武崙路段、台2線及台2乙線關渡至淡水路段、台3線及台7線大溪至慈湖路段、台9甲線新店至烏來路段、台9線礁溪路段、台14甲線清境農場、台21線日月潭周邊路段、台3線古坑至梅山路段等重要觀光風景區鄰近路段，預估在連假期間也將出現車多壅塞的情形。
根據中央氣象署預測，未來一週氣溫將逐日上升，週三大陸冷氣團減弱、週五東北季風減弱，氣溫回升、天氣適合掃墓，不過週末又將變天，北部、東部及恆春半島地區有局部短暫雨，其他地區為多雲。下周環境水氣逐漸增加，不排除有鋒面系統在台灣附近發展或通過，各地雲量增多，天氣轉趨不穩定，降雨機率提高。
為了緩解連假交通壅塞問題，公路局鼓勵民眾搭乘大眾運輸工具，90條國道客運路線可享票價6折優惠，各客運業者在清明連假期間提供2.7萬班次、96萬座位數。
桃園國際機場公司提醒，連假首日即為出境高峰，全天預估旅運量將達14.5萬人次，出境尖峰時段為上午7至9時、下午2至3時及晚間11至12時，桃機呼籲，旅客應預先確認安檢事項，有助於加快通關效率；經航警局統計，行動電源、防風打火機、液體膠狀類物品、各式刀剪類及尖銳物品、手持式電風扇為5大安檢檢出最多的危險物品，其中最多的是打火機，占比約6成。
此外，近期多家國籍及外籍航空公司都有針對行動電源頒布新規定，桃機提醒旅客行動電源禁止託運，必須隨身攜帶上飛機，航程中全面禁止使用行動電源及充電，機艙內須依規定妥善放置，請旅客事先向航空公司確認並遵守規定，共同維護飛航安全。",2025/04/01 09:45
https://news.tvbs.com.tw/local/2738907,騎士檢舉違規遭退件　控警消極未通知補件,"上個月初，有機車騎士在蘇花公路，差點被對向一輛跨越雙黃線的休旅車撞上，騎士隔天上網檢舉，不過卻被退件，理由是沒有明確標示地點，但騎士不滿，花蓮警方在過程中，都沒有通知檢舉人要補件，指控辦事消極。對此，警方表示，並沒有規定員警要通知補件，也強調由於檢舉地點不明確，因此不予舉發。
機車騎士長按喇叭，因為差點就被撞到，對向一輛白色休旅車，跨越雙黃線迎面開過來，幸好騎士閃得快，沒有發生意外。
騎士隔天上網檢舉休旅車違規，但他沒想到明明車牌都拍的很清楚，最後竟然被退件，讓他無法接受，氣得在臉書社團PO文。
事情發生在去年12月初，台九線158公里處，騎士當時騎車環島，北上經過蘇花公路，卻差點被休旅車違規撞上。
當事騎士熊大火：「我覺得他(休旅車駕駛)是開到恍神，然後可能聽到喇叭的聲音，然後再縮回去，他不是在閃東西啦，他旁邊那麼寬欸，我如果沒有閃過，我現在不會PO這個文章啦，我現在看是躺在醫院，還是躺在殯儀館。」
騎士向警方檢舉，不過等待七天得到的結果，卻是因為沒有明確註明事發地點而被退件。
當事騎士熊先生：「我只知道什麼隧道出口啦，那個路也沒有標說那邊是幾K，(警方)都沒有通知我說，我需要補正哪些資料，警方這樣辦理這個事情，積極度新北跟花蓮縣的就有差別。」
當事人指出自己車齡超過30年，過去也曾經在雙北檢舉過違規，但如果有缺資料，雙北警方都會寄email通知補件，控訴花蓮員警辦事消極，對此，花蓮警方回應，並沒有規定需要提醒檢舉人補充資料。
花蓮縣警局交通隊交通組長吳宗翰：「經檢視違規舉證資料，因未敘明詳細的違規地點，致無法查證，基於行政明確性原則，本案不予舉發。」
而根據法規，民眾檢舉交通違規案件，必須要提供姓名等個人資料，還有明確的地點不可以是經緯度，以及違規車輛的車牌號碼或是特徵，提醒民眾檢舉要注意這些資訊，才不會讓自己一肚子氣。",2025/01/03 18:36
https://news.tvbs.com.tw/local/2705030,赴花蓮玩出事了！小客車舊蘇花公路起火　姐弟倆急跳車逃命,"今（2）日中午12時許，宜蘭縣南澳鄉台九丁線46.9公里處南下，發生火燒車意外，車上49歲趙姓男駕駛與姊姊從桃園要前往花蓮遊玩，行經該路段時，引擎不明原因冒煙起火燃燒，現場車子很快就燒成廢鐵，就連邊坡也被燒得焦黑，所幸兩人迅速下車，沒有受傷；現場火勢於13時15分已撲滅，並於13時30分恢復雙向通行。
今日中午12時33分，趙男開車與姊姊從桃園要前往花蓮遊玩，在行經台九丁線46.9公里處南下，車輛前方引擎處因不明原因冒煙起火燃燒，姐弟倆下的趕緊離開車內，才沒有造成傷亡；現場火勢於13時15分已撲滅，不過車子幾乎已經被燒成廢鐵，就連邊坡也受到影響，明顯焦黑，經過警方、消防救援及疏通，已在13時30分恢復雙向通行。
蘇澳分局呼籲用路人，行車上路前，請務必做好車輛安全檢查，如行進中發現車況異常時，應儘速啟亮方向燈，並注意後方來車，將車輛逐漸滑離車道停在路側待援。",2024/12/02 14:30
https://news.tvbs.com.tw/life/2672707,蘇花搶通！上萬立方公尺土石掩埋　7怪手搶修,"康芮颱風侵襲帶來許多災情，在蘇花公路匯德隧道北口，發生土石流，高達1萬2千立方公尺的土石掩埋道路。公路局加派7台怪手清除，終於在2日上午11點，提早搶通。不過，在宜蘭蘇澳，有不少地點目前都暫停開放，包含鎮立游泳池，鐵皮被吹落，還有阿里史冷泉的紅磚牆倒塌。
好幾台怪手在一大片灰色土石中不斷清除，好不容易終於清出一條路讓車輛可以通行。
這裡是蘇花公路台九線161.3公里處匯德隧道北口，受到康芮颱風侵襲發生土石流，道路和隧道洞口被高達1萬2千立方公尺的土石掩埋，隧道內的土石淤積長度長達50公尺，完全無法通行，在崇德管制站的貨運駕駛，最早的從1日晚上10點一路等到隔天。
貨運駕駛vs.記者：「昨天(1日)晚上10點，(要往這個方向是要去?)，台北。」
記者vs.駕駛：「哇(等了)數百次啦，平安的路在哪裡啊。」
一直在等搶通讓駕駛真的好無奈，公路局趕緊加派七台怪手趕緊清除土石，經過一整天的搶修，終於在2日上午11點，恢復台九線和仁到崇德路段通行，2日預計開放兩個時段，上午11點到下午兩點以及晚間五點到七點，開放通行，夜間實施管制，到3日清晨六點恢復通行，不過有些地點目前災況還是很慘。
一長條鐵皮被強風吹到掉下來，還有上方的輕鋼架也是脫落，來到室內，好幾面天花板同樣也消失，這裡是宜蘭的蘇澳鎮立游泳池，短時間內無法對外開放，另外這裡也是暫時不開放。
中間一大面紅磚牆嚴重倒塌，在蘇澳知名的阿里史冷泉，有民眾看到實在好傻眼。
民眾：「感覺就它很脆弱，真的很像有點豆腐渣工程。」
蘇澳鎮長 李明哲：「我們在星期一(11/4)的時候，會找監造設計還有廠商到場現勘，如果是監造設計的問題，我們會要求他們要負起全責。」
而在五峰旗風景區發生土石崩落，從2日開始休園，但因為清除難度高，還不確定何時會開放，至於冬山河親水公園、生態綠舟、龍潭湖及南澳農場等景點，也在2日到3日都暫停開放，持續進行災後復原。",2024/11/02 17:46
