Link,Title,Context,PublishTime
https://news.ltn.com.tw/news/life/breakingnews/5076759,豪雨地震後蘇花公路土石鬆動 落石砸中轎車2車受損,"〔記者江志雄／宜蘭報導〕蘇花公路山區近來受豪雨及地震影響，多處路段土石鬆動，台9線116公里昨天下午發生落石砸中路過轎車引擎蓋，落石彈到路面後，被另1輛車輾過，造成車輪爆胎，所幸無人受傷。警方呼籲用路人近期行駛蘇花務必減速慢行注意安全。
交通部公路局東區養護工程分局今天（16日）發布新聞稿指出，南澳工務段啟動上邊坡UAV（無人航空載具）空拍作業，依照空拍畫面落石分析，儘速辦理邊坡保護工程，確保用路通行安全。
案發當時，42歲林姓男子駕車沿著蘇花公路往南行駛，昨天下午1點多，行經東澳到南澳段的台9線116公里時，突如其來的落石，砸中林男轎車引擎蓋，導致引擎蓋凹陷。
落石砸車後彈飛到路面，69歲男子駕駛的轎車煞車不及輾過石塊，車輪割破爆胎。警方獲報到場交管，排隊車輛一度大排長龍，半個小時後排除狀況，恢復正常通行。
蘇澳警分局表示，近期蘇花公路山區天候不穩定，易有落石或路樹倒塌，用路人開上蘇花請開啟車輛大燈並減速慢行，以利因應各種突破狀況，確保行車安全。",2025/06/16 16:04
https://news.ltn.com.tw/news/life/breakingnews/5072962,中橫台8線豁然亭路段坍方預計13日中午搶通 蘇花不排除今晚預警性封閉,"首次上稿：15:11更新時間：15:25
〔記者王錦義／花蓮報導〕昨日東部發生規模6.4地震及受熱帶低壓降雨影響，中橫公路台8線157.7k豁然亭路段，今（12）日下午2點多，上邊坡持續坍方落石阻斷交通，公路局東區養護工程分局指出，待落石稍緩隨即進行搶修，預計明（13）日中午12時搶通，台8線關原至天祥（114.6k~167.4k）路段暫時封閉，下午14時30分起只出不進。
公路局東區養護工程分局指出，發生落石後，太魯閣工務段立即派員前往現場搶修，同時於災點遠、近端管制交通，並於聯外道路沿線電子資訊看板（CMS）公布阻斷訊息，避免用路人持續進入災害路段；搶修現場因邊坡仍持續發生坍方落石，且雨、霧天候視線欠佳，搶修人員、機械於現場持續警戒守視，待落石稍緩隨即進行搶修。
另外，蘇花路廊午後至晚間可能有短時大雨情形發生，預估累積雨量達100到130毫米，公路局東區養護工程分局指出，南澳工務已成立緊急應變小組，並於蘇花路廊沿線進駐搶災機具及警戒人員加強巡查及待命。
因0403強震後蘇花公路高位邊坡仍屬不穩定狀態，為維護用路人安全，台9線154.7k~165.7k（和仁~崇德）及台9丁線60.3K~63K.600（和中~和仁路段）夜間不排除今天晚上起實施預警性封閉。
公路局籲請用路人，山區道路地震、颱風過後及豪雨（或連續降雨）期間易坍方、落石，路況難以掌握，非必要請避免進入山區道路，並應隨時注意氣象資訊及道路通阻訊息，事先規劃行程預作應變準備。請充分利用公路局智慧化省道即時資訊服務網（https://168.thb.gov.tw）或手機下載「幸福公路APP」及收聽路況廣播訊息，掌握最新道路資訊。",2025/06/12 15:25
https://news.ltn.com.tw/news/society/breakingnews/5068513,花蓮大雨溪水暴漲 砂婆礑溪戲水受困7人獲救,"〔記者王錦義／花蓮報導〕花蓮縣消防局第一大隊於今（8）日16時24分接獲報案，指出秀林鄉砂婆噹溪有一行遊客在戲水返程途中，因溪水突暴漲受困溪畔，急需救援。消防局獲報後，立即啟動救援行動，派遣16輛車、21名救難人員火速前往現場展開救援，利用繩索將七人陸續帶到對岸，全員沒有大礙；另外，氣象署今（8）日午後，發布大雷雨即時訊息，持續時間到晚間八點，蘇花公路等山區道路須注意落石。
消防局表示，今日午後山區天氣變化劇烈，砂婆噹溪水位瞬間上升，造成多名戲水學生一度無法順利脫困。救援人員到達現場後，迅速評估地形與水流狀況，展開繩索架設與分批接駁作業，安全協助所有受困民眾脫離險境。經過緊急搶救行動，受困人員全數平安獲救，無人受傷，救援行動於晚間順利完成，圓滿落幕。
花蓮縣消防局呼籲，近期進入夏季戲水旺季，民眾前往溪流、山區戲水時，務必隨時留意天候變化及溪流水位，切勿於天氣不穩時進入溪谷活動，以避免突發危險情況。同時提醒，若發現溪水異常混濁、流速加快，應立即撤離至安全地點，確保自身安全。若接獲氣象署山區暴雨之溪水暴漲警示，或是看到山邊烏雲密布，請盡速離開水域。
氣象署發布警報，對流雲系發展旺盛，易有短延時強降雨，今（8）日花蓮縣山區有局部大雨或豪雨，花蓮、屏東地區及各地山區有局部大雨發生的機率，請注意雷擊及強陣風，山區請慎防坍方及落石，低窪地區請慎防積水。",2025/06/08 18:58
https://news.ltn.com.tw/news/life/breakingnews/5067946,宜花慎防雨彈 走蘇花公路注意安全,"吳裕堯／核稿編輯
〔即時新聞／綜合報導〕中央氣象署發布大雨特報提醒，對流雲系發展旺盛，易有短延時強降雨，宜蘭及花蓮（蘇花公路一帶）夜間到今天有局部大雨發生機率，請注意雷擊及強陣風，山區慎防坍方及落石，低窪地區慎防積水。
另外，週日高溫炎熱，花蓮縣玉里鎮中午前後有36°C以上氣溫發生機率。而其他各地高溫普遍為31到34度，感受悶熱，戶外活動請注意防曬，多補充水分。",2025/06/08 00:07
https://news.ltn.com.tw/news/life/paper/1709174,端午連假 蘇花路廊今湧南下車潮,"〔記者江志雄／宜蘭報導〕今天是端午節連假首日，蘇花路廊清晨起湧現南下車潮，估計中午後才能紓解，蘇澳到崇德段開放大客車行駛蘇花改路肩。
端午節連假第一天，蘇花路廊以南下車潮為主，交通部公路局提醒用路人，若是長途旅次，請行駛蘇花改台九線，避免行駛台九丁線（舊蘇花公路），以節省旅行時間。
三天連假期間，蘇花路廊蘇澳及崇德路段在尖峰時段啟動大客車優先通行措施，同步開放蘇花改路肩供大客車行駛，但禁止二十一噸以上大貨車通行，禁行時段如下：今天上午五點到下午五點、明天上午七點到十一點、六月一日中午十二點到晚間六點。
另外，六月一日起蘇花路廊改以北返車潮為主，當天北返車潮預估在上午十一點湧現，持續到下午四點。由於蘇花路廊常受豪雨及地震影響發生坍方落石，用路人行前請先留意氣象及道路行車訊息，確認通行無阻再上路。
交通部公路局呼籲大家多利用非尖峰時段避開車潮，並做好車輛安全檢查，切勿疲勞駕駛，蘇花路廊路況查詢電話：03-9962683。",2025/05/30 05:30
https://news.ltn.com.tw/news/life/breakingnews/5058655,端午連假首日 蘇花路廊估清晨5點湧現南下車潮午後才能紓解,"〔記者江志雄／宜蘭報導〕明天（30日）是端午節連假首日，交通部公路局預估蘇花路廊清晨5點起就會湧現南下車潮，中午過後才能紓解，蘇澳到崇德段開放大客車行駛蘇花改路肩。
端午節連假第一天，蘇花路廊以南下車潮為主，交通部公路局提醒用路人，若是長途旅次，請行駛蘇花改台9線，避免行駛台9丁線（舊蘇花公路），以節省旅行時間。
3天連假期間，蘇花路廊蘇澳及崇德路段在尖峰時段啟動大客車優先通行措施，同步開放蘇花改路肩供大客車行駛，但禁止21噸以上大貨車通行，禁行時段如下：30日上午5點到下午5點、31日上午7點到11點、6月1日中午12點到晚間6點。
另外，6月1日起蘇花路廊改以北返車潮為主，當天北返車潮預估在上午11點湧現，持續到下午4點。由於蘇花路廊常受豪雨及地震影響發生坍方落石，用路人行前請先留意氣象及道路行車訊息，確認通行無阻再上路。
交通部公路局呼籲大家多利用非尖峰時段避開車潮，並做好車輛安全檢查，切勿疲勞駕駛，蘇花路廊路況查詢電話：03-9962683。",2025/05/29 16:31
https://news.ltn.com.tw/news/life/paper/1708550,北花線客運假日復駛 延至6月中,"〔記者王錦義／花蓮報導〕台北往返花蓮的客運路線「北花線」行經台九線，原本經營的三家業者今年初因為運量太低、不堪虧損，將由葛瑪蘭客運接手營運，原預計六月一日開通「一九一八」假日路線，近日因部分路段屢因大雨中斷暫緩。業者指出，可能要等到六月中旬才會上路運行。
蘇花公路近日屢因雨中斷 安全有疑慮
葛瑪蘭客運總經理李俊仁指出，蘇花公路目前雖已恢復通行，大客車運行標準較高，一九一八路線必須在主管機關確認安全無虞的前提下才能開通，公司下週會再與公路局工程單位聯繫，若工程單位認為路況可供大客車安全運行，一九一八路線可能延到六月中旬提供服務，實際上路日期仍待公告。
蘇花改二○二○年通車後，公路局開通台北直達花蓮的客運路線「北花線」，包括首都客運一五八○線（板橋─花蓮）、台北客運一○七一線（南港─花蓮）和統聯客運一六六三線（南港─花蓮），營運期間遭遇武漢肺炎疫情，以及台鐵大量投入新式列車，提升東部幹線運能等因素影響，衝擊客運載運量，有時還會出現空車窘境，業者不堪虧損，今年初決定不接續營運。
原3路線整合 1918由葛瑪蘭營運
公路局避免「北花線」成為絕響，把原本的三條路線併成一條，改為「板橋、南港、國道五號、花蓮」路線，由一家業者經營且放寬班次，平日不行駛，僅假日上路，經營許可五年，公告開放業者申請後，今年三月確定由葛瑪蘭客運接手營運。
李俊仁表示，一九一八路線考量假日旅遊及民眾需求，主要提供假日服務，平日因火車票都能訂到，交通疏運沒有太大問題，不過連假或年節期間有運行需求，公司會盡力加開班次。他說，葛瑪蘭客運身為東部在地業者，決定扛起「北花線」的營運責任，在可以承受的壓力下，提供民眾一條回家的路線選擇。",2025/05/26 05:30
https://news.ltn.com.tw/news/politics/breakingnews/5050873,蘇花路斷傅崐萁怪交通部 議員胡仁順：不要只會檢討別人,"郭顏慧／核稿編輯
〔即時新聞／綜合報導〕花蓮連日豪雨不斷，蘇花公路土石流持續發生，台鐵和仁至崇德間也再度因土石泥流影響雙向中斷，立法院國民黨團總召傅崐萁則是在立院質詢時怒批「安全回家的路一再跳票」，民進黨9年來到底為花東人民做了什麼，並要求交通部1個月提改善，花蓮縣議員胡仁順對此提出10點分析，怒批傅崐萁、徐榛蔚又在拉仇恨。
針對花蓮鐵公路中斷，花蓮縣長徐榛蔚昨也開記者會，稱花蓮迫切需要一條安全回家的路，呼籲中央重視東部民眾交通權益，她也邀請總統賴清德，親自搭火車或開車走一趟蘇花，感受花蓮人對聯外交通的不便與辛苦。
花蓮縣議員胡仁順在臉書發文指出，昨日傅崐萁、徐榛蔚又在拉仇恨，同時他也對「蘇花路斷」提出10點評論。首先他指出，10年前的舊蘇花，都是斷在蘇花北端宜蘭境內，特別多落石坍方阻路，並不是崇德這段。
胡仁順也附上圖片說明，指出「雙向阻斷與管制天數最高的是南澳-和仁段，再來是東澳-南澳、蘇澳-東澳，崇德段不算多」、「2010年馬英九政府 選擇三段做蘇花改，當時的環境影響說明書提到：和平-崇德段主要事故是車禍，不是落石，不納入改善計劃」。他藉此強調「是國民黨政府時的事、是國民黨政府時的事、是國民黨政府時的事」。
胡仁順表示，以長年開蘇花的經驗來說，這也是真的，當年崇德真的沒有什麼落石問題。之後便開始在落石路段做蘇花改了，並於2020年全線完工通車。
胡仁順指出，蘇花安因為和中-崇德段還是有路型問題及落石風險，2019年起交通部已啟動蘇花安作業，期間依原基法規定，必須取得沿線部落同意。
胡仁順提到，沿線有宜蘭境內3個部落，非常迅速就同意，花蓮境內的4個部落中，也有2個隨即同意，但其餘兩個部落多次流會，延宕了近4年，期間縣府沒有協助協調，任由其無法通過。
胡仁順說，在0403地震後，部落有感於路段安全的重要性，終於通過了部落會議，蘇花改工程處也開始設計規劃，預計在2032年完工通車。對此他也直言「如果縣府早點跳出來協調，讓部落會議一次通過，就可以提早3年開始，現在搞不好已經動工了。可是，沒有如果」。
胡仁順也提出，崇德段的土石流問題是在0403地震後開始的。只要在花蓮抬頭就可以看到山林的傷痕有多大，太管處也說過，初步恢復至少要7年。從海上看，崇德這段的山脈更是傷痕累累。這樣的山，要如何能不土石流？
自0403至今已1年多，鐵路研議改線、蘇花安設計規劃如火如荼進行中。但這不是打電動，點一點就可以完成改線工作或是開山鑿壁完成。更別說花蓮的災後復健都沒做完，他直呼「不要只會檢討別人吧！」
胡仁順也質疑，傅崐萁不用交通部說明花蓮的交通對策，蘇花安本來就是按照規劃期程進行中，鐵路改線也在評估中。一定會有一段陣痛期，但中央能次次調整精進，迅速加開船運與班機運輸，不是努力在解決問題嗎？
此外，胡仁順也批評徐榛蔚，「有對秀林老師遇害事件與早午餐店遭衝撞事件出來道歉、說明、補上政策漏洞嗎？你有對大坌坑的活人與古人爭議出來協調嗎？你有出來說明過查水表事件嗎？你有出來詳細講解災後重建問題嗎？你有出來說明事涉兩億預算的礦石稅爭議嗎？」對於這些問題，胡仁順也直言「都沒有。只有美美跑活動與會勘，還有遇到可以攻擊中央的時候，你才會醒來」。
胡仁順在文末也提到，「我們的觀光業，真的辛苦了。除了盡力打造安全的路，也希望縣內可以打造更吸引遊客、甚至本地人也喜歡的旅遊環境」。",2025/05/22 10:13
https://news.ltn.com.tw/news/life/paper/1707946,蘇花路斷怪中央 民進黨團批花縣府,"〔記者花孟璟／花蓮報導〕連日來北花蓮的午後雷陣雨，鐵公路遭落石土石崩塌埋沒的畫面嚇壞不少遊客，觀光業者統計，端午三天連假訂房率只剩三成，縣長徐榛蔚率觀光業者抗議「盼賴政府給花蓮人安全回家的路」。
花蓮縣議會民進黨團則抨擊，○四○三地震後花蓮縣政府自己的重建工作都還沒搞定，蘇花公路鑿山挖洞的大型工程怎可能一年馬上好？要求中央前應該先想自己。
蘇花改通車 危險路段有改善
議會民進黨團總召張美慧說，傅崐萁從當縣長到立委，最會拿「安全回家的路」當口號，基本上蘇花改五年前通車後，最容易落石的危險路段包括蘇澳九宮里路段、東澳到南澳、和平至和中段都已經在蘇花改完工後改善。
張美慧說，去年到今年遇雨道路就中斷主要發生在崇德段，原因是○四○三地震後造成，交通部已在研議鐵路改線，然而這些需要鑿山挖洞的大型工程需要時間，不可能一年完成，中央亦持續推出備援交通方案，縣府卻全然不提，縣府份內的災後重建都做不好，還好意思先怪中央？
端節訂房已退掉3成 業者叫苦
蘇花公路及台鐵北迴線三天以來不斷傳出土石流災情，公路前天已搶通，鐵路目前維持單線雙向，觀光業者叫苦連連，率隊抗議的縣長徐榛蔚說，花蓮陷入路斷、搶修、路斷、搶修的輪迴，無法徹底改善，強調「花蓮人的交通平權在哪」、花蓮人要安全回家的路。
花蓮縣觀光協會理事長陳義豐說，媒體不斷放送的蘇花公路崩塌畫面讓旅客充滿恐懼，三天以來已接到許多訂房取消，端午節至六月中的訂房已退掉三成，目前陸續退訂中，暑假訂房也受到影響，「花蓮的觀光業在過去一年來，承受全台有史以來最低的住房率」，希望中央能幫助觀光業者，讓遊客能維持最基本的安全感。",2025/05/22 05:30
https://news.ltn.com.tw/news/life/paper/1707947,蘇花斷備援海運 天王星21號試泊花蓮港,"〔記者王錦義／花蓮報導〕蘇花公路崇德至和仁路段因地震後山區土石鬆軟逢雨就坍，雖已陸續搶通仍影響花蓮交通。航港局因應海運備援需求，昨出動「天王星二一號」客輪從台東航行到花蓮試泊，熟悉花蓮海域也測試停泊碼頭高度，未來將視中央指示支援花蓮到宜蘭蘇澳的緊急疏運工作。
去年○四○三花蓮大地震後，蘇花崇德至和仁路段鐵公路邊坡土石鬆動，遇大雨常發生土石流使交通受阻，近日又因午後雷陣雨造成公路三天中斷二次，台鐵則因軌道遭土石泥流淹蓋、電車線受損，東正線昨凌晨搶通，西正線預估最快廿四日修復完成。
新「天王星二一號」是全新打造的客輪，全長卅七．五一公尺、船寬十公尺、總噸位四八八噸，載客量高達三五二人，三月底啟用，主要服務台東富岡漁港到綠島的航線，昨因應交通部海運備援疏運措施，上午從台東航行到花蓮港靠泊十四號碼頭測試。
航港局指出，天王星二一號客輪從未停靠過花蓮港，昨天趁輪休之際，從富岡漁港航行到花蓮港靠泊，熟悉花蓮海域的洋流，透過停靠調整船隻與碼頭間最合適高度。",2025/05/22 05:30
