Link,Title,Context,PublishTime
https://news.ltn.com.tw/news/life/paper/1712625,北花線客運復駛 假日往返各一班,"〔記者花孟璟／花蓮報導〕蘇花改完工後交通部公路局原本協調統聯、首都及台北客運開行的國道客運「北花線」，共核定三條路線，去年○四○三地震後提前停駛。公路局將路線整併為一條後，三月確定由葛瑪蘭客運接手經營國道客運「一九一八線」，明（廿二日）正式啟航，假日北上、南下各一班，板橋至花蓮全票五五八元，前三個月還有電子票證購票半價優惠。
去年○四○三地震造成原本路線營運權到今年一月的北花線三家客運業者提前結束，國道客運「一九一八」板橋－南港—國道五號—花蓮」路線，將從明天復駛啟航，發車時刻為板橋上午十點，開至花蓮後，下午四點在花蓮轉運站發車北上，板橋花蓮全票票價訂為五五八元，只有假日開車，提供民眾於假日尖峰時刻往返北花的客運選擇。
花蓮縣政府表示，葛瑪蘭客運取得五年營運權，車輛自板橋轉運站出發，行經南港、宜蘭蘇澳後直達花蓮，全程約四小時，於例假日與連續假期尖峰時刻提供班次疏運，遊客到花蓮轉運站後，可搭配購買TPASS定期票，可搭臺鐵（非對號列車）、公路客運、市區公車一票到底、無限暢遊花東縱谷、東海岸台十一線。花蓮TPASS分成一九九、三九九兩方案，依方案可無限制的搭乘等不同運具，兩方案都能搭乘臺鐵（限搭非對號列車），三九九方案則多了公路客運的選擇，來一趟花蓮永續低碳旅遊。
花蓮轉運站慶祝北花線復活，明天下午一點至四點將辦理北花線首航活動，包含在地小農市集、邀請花蓮優質農特產與文創攤位、趣味闖關活動，完成任務即可獲得限量小禮物，民眾拍照打卡與首航公車合影。",2025/06/21 05:30
https://news.ltn.com.tw/news/politics/breakingnews/5078710,花蓮罷免傅崐萁首波文宣 控傅震災後棄花蓮赴中,"〔記者王錦義／花蓮報導〕罷免傅崐萁即將進入第三階段投票，罷團反共護台志工聯盟在花蓮推出首波文宣，內容除請民眾同意罷免傅崐萁，也使用傅崐萁在去年0403地震後，在會期赴中與中國政協王滬寧會談，民進黨公職今天協助罷團在花蓮市復興市場發送文宣，縣議員張美慧說，地震後花蓮人受苦受難，傅崐萁赴中吃香喝辣，整天忙著政治鬥爭棄花蓮不顧，傅崐萁自稱代表中央政府跟中國談了什麼？
「夠了！不要讓他代表你」，文宣正面使用傅崐萁與王滬寧握手眉開眼笑的開心模樣，內文控訴：「花蓮人受苦受難，傅崐萁赴中吃香喝辣，0403大地震後餘震不斷，傅崐萁拋棄花蓮鄉親赴中請命，時至今日重建家園遙遙無期。」，文宣強調「窮花蓮、富崐萁」，另一面則是希望人民投下同意罷免的選票。張美慧說，傅崐萁去香港的時候自稱代表中央政府，傅崐萁做好立委份內工作，不要一直去破壞憲法侵犯行政權，就不會面臨罷免。
縣議員胡仁順說，這幾天只是有災民出面訴說這一年的沈重心境，竟然遭到傅友友陣營聯合縣府、國民黨無情的打壓，傅崐萁也持續地躲在背後，過去這1年間完全漠視災民的聲音，傅崐萁可以告訴花蓮鄉親在0403後為災民做了什麼實質的幫助？不顧災民的痛苦在會期中帶著10多個國民黨立委，不開會跑到中國做了什麼？3月在植樹節公開活動中，把有意見的葉爸老師拉出去，面臨輿論風暴才匆忙找災民北上轉移焦點。
「傅崐萁20年來有真正完成給花蓮1條安全回家的路嗎？」縣議員林則葹說，0403地震後，每每大雨，蘇花改未改善的地方就坍崩中斷，但民進黨2020年計畫要蓋蘇花安，地方對路線有疑慮、對生計有擔憂的時候，傅崐萁在哪裡？傅崐萁有替這些部落的民眾來跟中央，或者是地方政府來做協調嗎？讓這個部落會議能快速的通過嗎？也沒有，讓蘇花安一直拖到去年才獲地方同意通過，傅崐萁到底躲去哪裡了？
張美慧說，傅崐萁去香港說代表中央政府，在花蓮也常常看到傅崐萁猶如縣長之姿直接分配未來財劃法修正後的金額，誰讓傅崐萁代表中央政府？誰讓傅崐萁代表花蓮縣長？傅崐萁混淆他的角色他的立場，到底以為自己是誰？還是覺得他是花蓮縣長還在花蓮縣政府主宰一切嗎？在中央也亂砍亂刪預算害到花蓮，人民發起罷免就是要告訴傅崐萁請做好立法委員的工作，今天就不會面臨要被罷免。
民進黨公職隨後拿著文宣進入花蓮市復興市場掃街，許多民眾主動上前索取文宣，並表示一定會去投票，不過也有民眾冷淡以對，或是用機車喇叭鳴笛表示不滿。
國民黨花蓮縣議會黨團吳建志之前受訪時強調，呼籲花蓮鄉親不要被恐嚇煽動，國民黨支持真正民主，反對假借民主的政治鬥爭，公道自在人心，也會反制這場披著公民權外衣的政治追殺，認為傅崐萁連任多屆、每次都高票當選，正是花蓮人以選票作出的明確決定，花蓮進步都有傅崐萁不眠不休地奔走。",2025/06/18 10:44
https://news.ltn.com.tw/news/life/breakingnews/5068777,賀陳旦質疑高鐵延伸宜蘭 陳文昌提7大理由反駁,"〔記者游明金／宜蘭報導〕前交通部長賀陳旦日前拜會宜蘭縣議會議長張勝德，對於高鐵延伸宜蘭頗多質疑；對此，民進黨宜縣議會黨團總召陳文昌，提出7大理由反駁，他強調，高鐵是區域翻轉的起點，如果停建不是省錢，而是毀掉宜蘭發展的機會。
陳文昌在臉書發文，賀陳旦說，高鐵宜蘭到台北，只比現在的台鐵快5分鐘，根本鬼扯！第一，未來高鐵宜蘭站會設在新地點（宜蘭新站）搭配接駁，甚至捷運化台鐵支線，只會更合理、更快速？你會因為轉個車多3分鐘，就說整條路不值得蓋嗎？
第二，說什麼高鐵宜蘭站到台鐵宜蘭新站「轉乘要10分鐘」，請問怎麼算的？未來高鐵宜蘭站和台鐵新站有機會共站共構、月台平行設計，走路3~5分鐘都嫌多了，結果拿這種轉乘時間去扯什麼「高鐵沒效益」？
第三，高鐵不單純在比速度而已，是產業發展的重要基礎建設！高鐵是能帶動產業、人口、觀光，甚至教育資源流通的重要基礎建設！帶來的是機會，地方要不要接住，才是關鍵。
第四，「接駁不方便」就不蓋高鐵？邏輯在哪？說高鐵站太遠、接駁不方便，所以沒人搭。10年內，縣府不能規劃公車路線、不能調整時刻表、不能整合台鐵班次嗎？如果地方接駁做不好，那是縣政府要負責，不是「不蓋高鐵」就能解決的事！
第五，「高鐵台鐵共構」？聽起來好聽，現實呢？若為了配合台鐵路廊，高鐵還要彎進市區、降低速度、繞遠路，這樣還叫高鐵？而且不要忘了台鐵路廊在礁溪市區中心？要共構就要多拆幾百棟房子，這種方案真的比較好？
第六，還記得2003年的蘇花高嗎？當年也是一堆人反對，政府發包了還是被逼停工。現在過了20年，政府還要再花300多億國5銜接蘇花改，花將近1000億蓋蘇花安，這樣比較有效率嗎？重點是，花蓮到現在還是沒有一條完整、安全回家的路。
第七，我們要讓「蘇花高悲劇」在宜蘭重演嗎？現在反對高鐵的人，也是在講一樣的話。「沒效益」、「會拆房」、「會吵」、「共構比較好」，這些都是當年蘇花高停建的聲音，如果真的停建，誰要負責？
陳文昌並批評，「賀陳旦你是要讓高鐵胎死腹中嗎？張勝德想兩邊討好、模糊立場，如果高鐵真被你們搞到停建，你怎麼對宜蘭人交代？高鐵不只是交通建設，更是區域翻轉的起點，高鐵若停建，不是省錢，而是毀掉宜蘭發展的機會。」",2025/06/09 09:49
https://news.ltn.com.tw/news/life/breakingnews/5060750,端午連假收假！蘇花路廊北上 中午後現車潮,"〔記者王錦義／花蓮報導〕端午連續假期收假，公路局東區養護工程分局交通管理及控制中心預測今天中午過後，崇德地區北返車潮逐漸增加，預估今日北上車流量將近8500輛，蘇花路廊沿線北上車多時段預估在12到下午4點，目前蘇花路廊全線順暢。
公路局東區養護工程分局指出，截至上午10點，蘇花路廊宜蘭往花蓮南向車流量為1100輛、花蓮往宜蘭北向為1671輛；在旅行時間方面，於上午10點蘇澳至崇德經蘇花改路段，南下旅行時間約73分，北上旅行時間約73分；提醒用路人，行車前請詳加確認車況再上路，切勿疲勞駕駛。
公路局東工分局指出，昨日為端午連續假期第二天，蘇花路廊整體車流順暢，宜蘭往花蓮南下交通量全日共5397輛，花蓮往宜蘭北上則有5814輛；蘇花路廊（蘇澳至崇德）主要以台9線作為車輛疏導路線，請往返花蓮到蘇澳長途旅次用路人行駛蘇花改，避免行駛台9丁線，以節省旅行時間。
花蓮新城警分局指出，因應連假全面啟動交通疏導勤務，針對轄內各大風景區及重要路段編排固定崗哨並實施機動巡邏，加強車流監控與疏導，確保道路順暢。提醒用路人，出發前可透過「警廣」或「幸福公路App」掌握即時路況，避開尖峰時段與易塞路段，同時呼籲用路人配合員警指揮，勿雙黃線超車、疲勞駕駛或酒後上路。",2025/06/01 11:45
https://news.ltn.com.tw/news/life/paper/1709174,端午連假 蘇花路廊今湧南下車潮,"〔記者江志雄／宜蘭報導〕今天是端午節連假首日，蘇花路廊清晨起湧現南下車潮，估計中午後才能紓解，蘇澳到崇德段開放大客車行駛蘇花改路肩。
端午節連假第一天，蘇花路廊以南下車潮為主，交通部公路局提醒用路人，若是長途旅次，請行駛蘇花改台九線，避免行駛台九丁線（舊蘇花公路），以節省旅行時間。
三天連假期間，蘇花路廊蘇澳及崇德路段在尖峰時段啟動大客車優先通行措施，同步開放蘇花改路肩供大客車行駛，但禁止二十一噸以上大貨車通行，禁行時段如下：今天上午五點到下午五點、明天上午七點到十一點、六月一日中午十二點到晚間六點。
另外，六月一日起蘇花路廊改以北返車潮為主，當天北返車潮預估在上午十一點湧現，持續到下午四點。由於蘇花路廊常受豪雨及地震影響發生坍方落石，用路人行前請先留意氣象及道路行車訊息，確認通行無阻再上路。
交通部公路局呼籲大家多利用非尖峰時段避開車潮，並做好車輛安全檢查，切勿疲勞駕駛，蘇花路廊路況查詢電話：03-9962683。",2025/05/30 05:30
https://news.ltn.com.tw/news/life/breakingnews/5058753,端午連假蘇花交通熱點 花蓮警方加強紓導,"〔記者游太郎／花蓮報導〕端午節連續三天假期將從明天開始，花蓮縣新城警分局為花蓮縣北境的第一關卡，負責引導南下車流進入花蓮，特別編排交通疏導專案，希望營造端午假期平安順暢的交通動線。
新城警分局指出，已針對轄內台9、台8、台14甲、七星潭風景區等重要路段、路口，編排定點疏導與機車巡邏疏導崗哨，增加見警率，遇有堵塞立即排除，並隨時反映車流狀況；為避免大量車流同時湧入台9線、台9丁線蘇花路廊（蘇澳至崇德段），將針對21公噸以上大貨車於5月30日清晨5時至下午5時、31日上午7時至11時、6月1日12時至18時禁止雙向通行，希望藉由管制方式，紓解尖峰時段車流。
公路總局說，蘇花改大客車行駛路肩開放時段：5月30日清晨5時至下午5時（雙向）；31日上午7時至11時（雙向）；6月1日中午12時至下午6時（雙向）。
新城警分局呼籲，欲利用連續假期返鄉出遊的民眾，請及早規劃行程路線，避開壅塞時段，並檢查車輛狀況，避免車輛於中途發生拋錨情事，切勿有酒駕、闖紅燈、超速、違規超車等違規行為，以免發生危險。",2025/05/29 18:45
https://news.ltn.com.tw/news/life/breakingnews/5058655,端午連假首日 蘇花路廊估清晨5點湧現南下車潮午後才能紓解,"〔記者江志雄／宜蘭報導〕明天（30日）是端午節連假首日，交通部公路局預估蘇花路廊清晨5點起就會湧現南下車潮，中午過後才能紓解，蘇澳到崇德段開放大客車行駛蘇花改路肩。
端午節連假第一天，蘇花路廊以南下車潮為主，交通部公路局提醒用路人，若是長途旅次，請行駛蘇花改台9線，避免行駛台9丁線（舊蘇花公路），以節省旅行時間。
3天連假期間，蘇花路廊蘇澳及崇德路段在尖峰時段啟動大客車優先通行措施，同步開放蘇花改路肩供大客車行駛，但禁止21噸以上大貨車通行，禁行時段如下：30日上午5點到下午5點、31日上午7點到11點、6月1日中午12點到晚間6點。
另外，6月1日起蘇花路廊改以北返車潮為主，當天北返車潮預估在上午11點湧現，持續到下午4點。由於蘇花路廊常受豪雨及地震影響發生坍方落石，用路人行前請先留意氣象及道路行車訊息，確認通行無阻再上路。
交通部公路局呼籲大家多利用非尖峰時段避開車潮，並做好車輛安全檢查，切勿疲勞駕駛，蘇花路廊路況查詢電話：03-9962683。",2025/05/29 16:31
https://news.ltn.com.tw/news/life/paper/1708599,花東居民加入台鐵會員 點數多3~5倍／優惠措施與6月23日新票價同時上路 點數可折抵票價,"〔記者蔡昀容／台北報導〕台鐵調漲新票價六月廿三日上路，昨起開放預訂，立委爭取花東居民優惠，中央允諾推出方案。據台鐵規劃，花東居民加入台鐵會員，累計點數將比一般會員多三至五倍，點數可折抵票價，相當於打九七至九五折。花東居民優惠將與新票價同時上路。
點數優惠約打95至97折
台鐵票價凍漲卅年，為使營運正常化，下月廿三日起平均調漲廿六．八％，短程漲幅較高、長程漲幅較小。其中北花自強號票價從四四○元漲到五八三元，地方頻喊凍漲。
立委莊瑞雄認為，花東地區受限地理環境，交通發展不平衡，中央應推出優惠政策，促進區域發展均衡，拋出「回鄉票」或「東部縣市往返票優惠」構想，盼減輕花東居民交通負擔。立委黃建賓、陳瑩、鄭天財也曾於立法院質詢，爭取花東票價優惠，認為花東運具選擇較西部少，票價調漲不合理。
對此，行政院長卓榮泰、交通部長陳世凱允諾，會針對花東居民規劃台鐵會員點數優惠。
目前台鐵會員採實名制，一般會員購買對號列車票等，消費五○元可換一點，兩點可折抵一元，對號列車票價每張最多可折抵卅％。
須買對號列車 起迄站之一在花東
而據花東居民優惠方案規劃，平日購票五○元可加倍換得五點，假日五○元可換得三點，相當於票價打九五、九七折。平日定義是週一至週四及補班日，假日為週五至週日及國定假日，每張票價最多折抵五○％。
使用花東居民優惠的條件，是必須設籍於花東，並註冊為台鐵會員，且購買對號列車，起、迄站其中之一必須於花東縣境內，即和平至大武站間。
端午連假 90條國道客運票價6折
此外，週五開始端午三天連假，為鼓勵民眾搭乘公共運輸，交通部祭出九○條國道客運路線票價六折優惠。公路局副組長陳俊宏表示，連假疏運期間，國道客運比平常增加約三成運能，提供九十八萬個座位疏運，目前售出四．二萬張預售票，占可售張數十六．六二％。
公路路況預測方面，公路局副組長謝敏郎說明，預估第一天為南下尖峰，第三天是北上尖峰。他指出，西濱快速公路台六一線鳳鼻到香山路段，單日交通量預估達一．七萬多輛次，比平常週末單日約增四成；台九線蘇花改單日預估達一．一萬多輛次，比○四○三地震前的週末單日交通量約增兩成。",2025/05/27 05:30
https://news.ltn.com.tw/news/life/paper/1708550,北花線客運假日復駛 延至6月中,"〔記者王錦義／花蓮報導〕台北往返花蓮的客運路線「北花線」行經台九線，原本經營的三家業者今年初因為運量太低、不堪虧損，將由葛瑪蘭客運接手營運，原預計六月一日開通「一九一八」假日路線，近日因部分路段屢因大雨中斷暫緩。業者指出，可能要等到六月中旬才會上路運行。
蘇花公路近日屢因雨中斷 安全有疑慮
葛瑪蘭客運總經理李俊仁指出，蘇花公路目前雖已恢復通行，大客車運行標準較高，一九一八路線必須在主管機關確認安全無虞的前提下才能開通，公司下週會再與公路局工程單位聯繫，若工程單位認為路況可供大客車安全運行，一九一八路線可能延到六月中旬提供服務，實際上路日期仍待公告。
蘇花改二○二○年通車後，公路局開通台北直達花蓮的客運路線「北花線」，包括首都客運一五八○線（板橋─花蓮）、台北客運一○七一線（南港─花蓮）和統聯客運一六六三線（南港─花蓮），營運期間遭遇武漢肺炎疫情，以及台鐵大量投入新式列車，提升東部幹線運能等因素影響，衝擊客運載運量，有時還會出現空車窘境，業者不堪虧損，今年初決定不接續營運。
原3路線整合 1918由葛瑪蘭營運
公路局避免「北花線」成為絕響，把原本的三條路線併成一條，改為「板橋、南港、國道五號、花蓮」路線，由一家業者經營且放寬班次，平日不行駛，僅假日上路，經營許可五年，公告開放業者申請後，今年三月確定由葛瑪蘭客運接手營運。
李俊仁表示，一九一八路線考量假日旅遊及民眾需求，主要提供假日服務，平日因火車票都能訂到，交通疏運沒有太大問題，不過連假或年節期間有運行需求，公司會盡力加開班次。他說，葛瑪蘭客運身為東部在地業者，決定扛起「北花線」的營運責任，在可以承受的壓力下，提供民眾一條回家的路線選擇。",2025/05/26 05:30
https://news.ltn.com.tw/news/politics/breakingnews/5050873,蘇花路斷傅崐萁怪交通部 議員胡仁順：不要只會檢討別人,"郭顏慧／核稿編輯
〔即時新聞／綜合報導〕花蓮連日豪雨不斷，蘇花公路土石流持續發生，台鐵和仁至崇德間也再度因土石泥流影響雙向中斷，立法院國民黨團總召傅崐萁則是在立院質詢時怒批「安全回家的路一再跳票」，民進黨9年來到底為花東人民做了什麼，並要求交通部1個月提改善，花蓮縣議員胡仁順對此提出10點分析，怒批傅崐萁、徐榛蔚又在拉仇恨。
針對花蓮鐵公路中斷，花蓮縣長徐榛蔚昨也開記者會，稱花蓮迫切需要一條安全回家的路，呼籲中央重視東部民眾交通權益，她也邀請總統賴清德，親自搭火車或開車走一趟蘇花，感受花蓮人對聯外交通的不便與辛苦。
花蓮縣議員胡仁順在臉書發文指出，昨日傅崐萁、徐榛蔚又在拉仇恨，同時他也對「蘇花路斷」提出10點評論。首先他指出，10年前的舊蘇花，都是斷在蘇花北端宜蘭境內，特別多落石坍方阻路，並不是崇德這段。
胡仁順也附上圖片說明，指出「雙向阻斷與管制天數最高的是南澳-和仁段，再來是東澳-南澳、蘇澳-東澳，崇德段不算多」、「2010年馬英九政府 選擇三段做蘇花改，當時的環境影響說明書提到：和平-崇德段主要事故是車禍，不是落石，不納入改善計劃」。他藉此強調「是國民黨政府時的事、是國民黨政府時的事、是國民黨政府時的事」。
胡仁順表示，以長年開蘇花的經驗來說，這也是真的，當年崇德真的沒有什麼落石問題。之後便開始在落石路段做蘇花改了，並於2020年全線完工通車。
胡仁順指出，蘇花安因為和中-崇德段還是有路型問題及落石風險，2019年起交通部已啟動蘇花安作業，期間依原基法規定，必須取得沿線部落同意。
胡仁順提到，沿線有宜蘭境內3個部落，非常迅速就同意，花蓮境內的4個部落中，也有2個隨即同意，但其餘兩個部落多次流會，延宕了近4年，期間縣府沒有協助協調，任由其無法通過。
胡仁順說，在0403地震後，部落有感於路段安全的重要性，終於通過了部落會議，蘇花改工程處也開始設計規劃，預計在2032年完工通車。對此他也直言「如果縣府早點跳出來協調，讓部落會議一次通過，就可以提早3年開始，現在搞不好已經動工了。可是，沒有如果」。
胡仁順也提出，崇德段的土石流問題是在0403地震後開始的。只要在花蓮抬頭就可以看到山林的傷痕有多大，太管處也說過，初步恢復至少要7年。從海上看，崇德這段的山脈更是傷痕累累。這樣的山，要如何能不土石流？
自0403至今已1年多，鐵路研議改線、蘇花安設計規劃如火如荼進行中。但這不是打電動，點一點就可以完成改線工作或是開山鑿壁完成。更別說花蓮的災後復健都沒做完，他直呼「不要只會檢討別人吧！」
胡仁順也質疑，傅崐萁不用交通部說明花蓮的交通對策，蘇花安本來就是按照規劃期程進行中，鐵路改線也在評估中。一定會有一段陣痛期，但中央能次次調整精進，迅速加開船運與班機運輸，不是努力在解決問題嗎？
此外，胡仁順也批評徐榛蔚，「有對秀林老師遇害事件與早午餐店遭衝撞事件出來道歉、說明、補上政策漏洞嗎？你有對大坌坑的活人與古人爭議出來協調嗎？你有出來說明過查水表事件嗎？你有出來詳細講解災後重建問題嗎？你有出來說明事涉兩億預算的礦石稅爭議嗎？」對於這些問題，胡仁順也直言「都沒有。只有美美跑活動與會勘，還有遇到可以攻擊中央的時候，你才會醒來」。
胡仁順在文末也提到，「我們的觀光業，真的辛苦了。除了盡力打造安全的路，也希望縣內可以打造更吸引遊客、甚至本地人也喜歡的旅遊環境」。",2025/05/22 10:13
