Cocktail Name,Ingredients
Bushwick,"amaro lucano, maraschino liqueur, sweet vermouth, rye whiskey"
Winter Daiquiri,"simple syrup, lime juice, blackstrap rum"
Mundo Perdido,"lemon juice, demerara syrup, cinnamon syrup, applejack, dark rum, freeze dried lemon wheel"
Formidable Dragon,"lemon juice, lime juice, molasses syrup, honey syrup, angostura amaro, aged blended jamaica rum, dark jamaica rum, jamaica rum, soda water, mint sprig, freeze dried lemon wheel"
Tradewinds,"lemon juice, coconut cream, apricot liqueur, aged rum, dark jamaica rum, broken paper umbrella, lemon wedge"
Tipsy Jitters,"cold brew concentrate, vodka, coffee liqueur, averna, sweetened heavy cream, angostura bitters, simple syrup"
Cafe Mexicana,"cold brew concentrate, vanilla syrup, coffee liqueur, reposado tequila, averna, orange curacao"
Sleepwalker,"chocolate bitters, coffee syrup, tequila blanco, fernet-branca, orange twist, coffee concentrate, demerara sugar"
Damn Fine Coffee Martini,"cold brew concentrate, orgeat, spiced rum, fernet-branca, orange liqueur"
Daily Rituals,"chocolate bitters, cold brew concentrate, meletti amaro, aged rum, coffee liqueur, licor 43, egg white"
Gin Fix,"lemon juice, simple syrup, london dry gin, lemon wheel"
A La Louisiane,"absinthe, peychaud's bitters, sweet vermouth, benedictine, rye whiskey, cocktail cherry"
Star Daisy,"lemon juice, dry curacao, simple syrup, gin, bonded applejack"
Alpine Negroni,"lemon bitters, saline solution, genepy des alpes, creme de menthe, suze gentian liqueur, cocchi americano, gin, rosemary"
Roku Koori Negroni,"ice wine, red wine vinegar, bitter bianco, roku gin, grapefruit twist"
Vintage Coco,"pressed coconut water, pineapple juice, lime juice, blended scotch, yuzu soda, shiso leaf"
Shrunken Skull,"demerara rum, jamaica rum, grenadine, lime juice, dehydrated lime wheel"
Atta Boy,"gin, dry vermouth, grenadine, orange twist"
Hot & Heavy,"mezcal espadin, reposado tequila, hot honey syrup, angostura bitters, peychaud's bitters, lemon wedges, mint sprig"
Hoffman House Fizz,"gin, grenadine, heavy cream, lemon juice, orange juice, egg white, soda water"
Prize Fighter No. 1,"fernet branca, carpano antica vermouth, simple syrup, lemon juice, mint leaves, lemon wedges, mint sprig"
Spanish Coffee,"coffee liqueur, rum, cointreau, hot coffee, heavy cream, grated nutmeg"
Irish Coffee,"irish whiskey, hot sweetened coffee, heavy cream, nutmeg"
Coffee and Coke,"rye whiskey, sweet vermouth, gran classico, cold brew concentrate, chocolate bitters, coca-cola"
Enzoni Royale,"gin, campari, lemon juice, simple syrup, grapes, champagne, grapes"
Boothby Cocktail,"rye whiskey, sweet vermouth, orange bitters, angostura bitters, champagne, cocktail cherry"
Da Hora,"elderflower liqueur, cachaca, lemon juice, grapefruit juice, champagne"
Chirulin,"pisco acholado, ruby red grapefruit juice, rich cinnamon syrup, lime juice, grapefruit wedge"
Strawberry Basil Buck,"gin, ginger syrup, lime juice, basil leaves, strawberries, ginger beer, strawberry"
Grog,"jamaica rum, demerara syrup, lime juice, dehydrated lime wheel"
Little Boots,"light rum, amaro montenegro, lemon juice, orgeat, tiki bitters, angostura bitters, lemon twist"
Ante Up,"bonded applejack, jagermeister, amaro sibilla, creme de menthe, hellfire bitters, saline solution, mint leaf"
Cruel Summer,"old tom gin, gin, creme de banane, lemon juice, black pepper syrup, egg white, black pepper"
Tropical Fluff,"aperol, jamaica rum, banana liqueur, pineapple juice, orange juice, grapefruit juice"
Cosmogroni,"citron vodka, bianco vermouth, aperol, orange liqueur, cranberry bitters, acid phosphate, orange twist"
Outlander,"blended scotch, maraschino liqueur, absinthe, peychaud's bitters, cherry, lemon twist"
La Otra Palabra,"mezcal, yellow chartreuse, maraschino liqueur, lime juice, agave"
Oumuamua,"aged rum, oloroso sherry, coconut cream, pineapple juice, lime juice, mint sprig, absinthe spritz"
Pineapple Daiquiri,"dark rum, pineapple juice, lime juice, simple syrup, coupe"
Oh My Word,"old tom gin, amaro montenegro, green chartreuse, maraschino liqueur, lime bitters, lemon twist"
Pumpernickel,"rye whiskey, punt e mes, ramazotti, angostura bitters"
Golden Ghost,"mezcal espadin, tequila blanco, genepy des alpes, white creme de cacao, orange bitters"
Paint the Town,"dark rum, navy strength rum, cinnamon syrup, ginger syrup, carrot juice, lime juice, pineapple juice, egg white, mint sprig, dehydrated lime wheel"
Cucumber Basil Gimlet,"gin, simple syrup, lemon juice, lime juice, basil leaves, cucumber, basil leaf"
Manila Sunset,"gin, calamansi liqueur, hibiscus syrup, lime juice, tiki bitters, mint, lime wheel"
Pop Quiz,"bourbon, ramazzotti, creme de cacao, simple syrup, mole bitters, orange twist"
Chocolate Negroni,"gin, campari, sweet vermouth, creme de cacao, chocolate bitters, orange twist"
Nice One,"sweet vermouth, amontillado sherry, banana liqueur, orange twist"
Shanghai Gin,"gin, benedictine, yellow chartreuse, lemon juice, lemon wheel"
Cornwall Negroni,"gin, campari, punt e mes, sweet vermouth, orange bitters, orange twist"
Seven Sins,"applejack, rye whiskey, lemon juice, grenadine, cinnamon"
Freezer Martini,"gin, dry vermouth, gin, plymouth gin, water, lemon twist"
Trash-tini,"vodka, plymouth gin, bitter bianco, charred onion dry vermouth, sherry vinegar, shrub bitters, dry vermouth, onion"
Truffle Martini,"plymouth gin, blanc vermouth, truffle salt, lemon twist"
Fjellbekk,"aquavit, lemon juice, lemon soda, lime wedge"
Gin Rocket,"gin, lime juice, simple syrup, rocket, fennel bulb, lime wheel flag"
Two Charlies,"vodka, ginger liqueur, lemon juice, carrot juice, saline solution, vodka, simple syrup, ginger juice, water"
Brazilian Mule,"vodka, lime juice, simple syrup, angostura bitters, rich simple syrup, lime juice, ginger juice, egg white, sprite, xanthan gum"
Mrs Hendrickx Lemonade Highball,"old tom genever, mandarin liqueur, lemon juice, rich simple syrup, soda water, orange slice"
Pepe,"tequila blanco, cachaça, grapefruit juice, lime juice, lemon juice, rich simple syrup, grapefruit twist"
Comb the Desert,"reposado tequila, chile liqueur, grapefruit juice, lime juice, pistachio orgeat, angostura bitters, sea salt, dehydrated orange wheel"
Madison Park Smash,"cognac, orange liqueur, lemon juice, demerara syrup, mint leaves, angostura bitters, lemon slices, mint sprig"
The Smash (Modern),"bourbon, simple syrup, mint leaves, sugar cube, lemon wedge, mint sprig"
