"token","topic"
"sold",1
"images",1
"ms",1
"bt",1
"report",1
"million",1
"mobiles",1
"services",1
"gaming",1
"device",1
"wireless",1
"apple",1
"sony",1
"gadgets",1
"control",2
"sites",1
"google",3
"search",3
"legal",1
"files",1
"released",4
"version",4
"program",3
"windows",3
"virus",3
"programs",3
"messages",1
"spam",1
"email",1
"euros",2
"bn",2
"profits",2
"profit",2
"reported",2
"car",2
"industry",4
"sales",4
"chart",4
"yukos",1
"production",1
"group",2
"share",2
"deutsche",2
"bid",2
"offer",2
"london",2
"fell",2
"rates",2
"consumer",2
"dollar",2
"exports",2
"jobs",2
"banks",1
"meeting",2
"eu",2
"european",2
"europe",2
"countries",2
"debt",2
"committee",5
"conference",5
"lord",5
"iraq",5
"public",5
"book",5
"cabinet",5
"told",5
"decision",5
"china",1
"foreign",1
"rights",5
"human",5
"lords",5
"law",5
"police",5
"men",5
"education",3
"schools",3
"children",3
"immigration",2
"asylum",2
"politics",5
"blunkett",5
"dems",1
"kennedy",1
"taxes",1
"tax",1
"spending",2
"budget",2
"athens",3
"olympic",3
"race",3
"im",3
"ive",3
"madrid",3
"real",3
"rock",4
"love",4
"song",4
"pop",4
"williams",3
"single",4
"record",4
"radio",1
"musical",4
"theatre",4
"role",4
"career",4
"nominations",4
"ceremony",4
"oscar",4
"drama",4
"named",4
"project",1
"television",1
"starring",4
"office",4
"box",4
"christmas",4
"festival",1
"australian",3
"grand",3
"round",3
"seed",3
"liverpool",3
"champions",3
"arsenal",3
"chelsea",3
"united",3
"rugby",3
"robinson",3
"squad",3
"goal",3
"ball",3
"half",3
"italy",3
"try",3
"jones",3
"wales",3
"scotland",3
"scottish",3
