Link,Title,Context,PublishTime
https://www.ettoday.net/news/20250529/2969155.htm,端節連假車潮來襲！花蓮新城警路口疏導　行車攻略一次看,"今年端午節連續假期自5月30日星期五至6月1日星期一共3天，新城警分局轄管花蓮縣北境的第一關卡，負責引導南下車流進入花蓮，分局針對本次假期編排交通疏導專案工作，務求給予各位遊客一個平安順暢的交通動線。分局表示，連續假期交通疏導工作執行時間為5月30日至6月1日，為期3天，針對轄內台9、台8線、台14甲線、七星潭風景區等重要路段、路口，編排定點疏導與機車巡邏疏導崗哨，增加見警率，遇有堵塞立即排除，隨時反映車流狀況。
在端午連假期間，為避免大量車流同時湧入台9線、台9丁線蘇花路廊（蘇澳-崇德段），針對21公噸以上大貨車於5月30日5時至17時、5月31日7時至11時、6月1日12時至18時禁止雙向通行，藉由管制方式，紓解尖峰時段車流。
交通部公路總局也規劃於蘇澳地區及崇德地區尖峰時段設置大客車優先通行措施，同時於蘇澳~東澳、南澳~和平路段實施時段性開放一般遊覽車及公路（市區）客運行駛蘇花改路肩（緊急空間），減少停等時間及避免有塞車的情形，實施路段、時段如下：
蘇花改大客車行駛路肩開放時段：
（一）5月30日（星期五）：5時至17時（雙向）。（二）5月31日（星期六）：7時至11時（雙向）。（三）6月1日（星期日）：12時至18時（雙向）。新城警分局長蘇立琮呼籲，欲利用連續假期返鄉出遊的民眾，請及早規劃行程路線，避開壅塞時段，並檢查車輛狀況，避免車輛於中途發生拋錨情事，提醒大家切勿有酒駕、闖紅燈、超速、違規超車等違規行為，以免發生危險。",2025-05-29T14:09:00
https://www.ettoday.net/news/20250520/2963573.htm,端午連假蘇花公路尖峰車潮曝光！　行車攻略一次看,"今年端午節連續假期自5月30日星期五至6月1日星期日共3日，公路局東區養護工程分局表示蘇花路廊將湧入大量車潮，預測5 ／30首日蘇花路廊南下旅次全日交通量約有12,000輛次／日，當日首波車潮將於清晨5時起湧現，尖峰時段最高車流量將達920輛／小時以上，車多時段平均車流量約850~900輛／小時，車潮預計將持續至中午12時以後緩解。
養護工程分局同時預估假期後期（6／1）以北返車流為主，第3日（6 ／1）北上旅次全日交通量約有14,000輛次／日，車潮預估於上午11時起湧現，車潮預計將持續至下午4時以後緩解。
蘇花路廊（蘇澳至崇德）主要以台9線作為車輛疏導路線，請往返花蓮~蘇澳之長途旅次用路人行駛蘇花改台9線，避免行駛台9丁線，以節省旅行時間。
公路局東區養護工程分局為增加蘇花路廊大眾運輸服務效能，規劃蘇澳及崇德路段於尖峰時段啟動大客車優先通行措施，同時於蘇澳~東澳、南澳~和平路段實施時段性開放一般遊覽車及公路（市區）客運行駛蘇花改路肩（緊急空間）。
另因應本次連假匯入蘇花路廊之車潮，公路局東區養護工程分局將藉由時段性車種管制，紓解尖峰時段之車流，端午節連續假期台9線及台9丁線蘇花路廊（蘇澳至崇德路段），開放大客車行駛蘇花改路肩（緊急空間）及禁止21公噸以上大貨車通行時段如下：一、5月30日：5至17時（雙向）。二、5月31日：7至11時（雙向）。三、6月1日：12至18時（雙向）。
公路局提請用路人，出發前請做好車輛安全檢查，切勿疲勞駕駛以確保行車安全，另山區道路易受雨量、地震影響之零星落石風險，行前請留意氣象資訊及道路通阻訊息；行駛途中留意資訊可變標誌（CMS）顯示內容，於蘇花路廊隧道內可收聽警廣，以掌握即時播報之路況訊息。
用路人可下載「幸福公路」App，透過行動裝置即時接收最新省道路況。",2025-05-20T10:01:00
https://www.ettoday.net/news/20250518/2962837.htm,快訊／豪雨致花蓮多地災情！秀林鄉和平村明停班停課,"受到18日豪大雨影響，花蓮多地傳出災情。花蓮縣秀林鄉公所18日深夜緊急發文，告知民眾和平村（和平、和中、和仁）19日停止上班、停止上課。快訊「和平-崇德」鐵、公路部分路段暫停通行
用路鄉親請注意
受今(18)日強降雨影響，部分路段暫停通行，
公路部分

*18:46更新：蘇花公路台9線全線可維持正常通行*

1.#蘇花改 路段公路局正積極搶修泥流影響區域，暫無影響通行，持續監控，仍請用路鄉親經過請注意行車安全。
2.台九丁61K處，因落石無法通行，公路局廠商已開始作業，搶通時間未定。

鐵路部分
「和仁=崇德」間暫停行駛，現南下對號列車行駛至蘇澳新站，區間車行駛至和平站，北上列車行駛至花蓮站止（搶通時間未定）。Posted by花蓮縣政府on Sunday, May 18, 2025
快訊「和平-崇德」鐵、公路部分路段暫停通行
用路鄉親請注意
受今(18)日強降雨影響，部分路段暫停通行，
公路部分

*18:46更新：蘇花公路台9線全線可維持正常通行*

1.#蘇花改 路段公路局正積極搶修泥流影響區域，暫無影響通行，持續監控，仍請用路鄉親經過請注意行車安全。
2.台九丁61K處，因落石無法通行，公路局廠商已開始作業，搶通時間未定。

鐵路部分
「和仁=崇德」間暫停行駛，現南下對號列車行駛至蘇澳新站，區間車行駛至和平站，北上列車行駛至花蓮站止（搶通時間未定）。
花蓮地區今午後降雨持續不斷，導致台鐵和仁至崇德段的鐵道遭遇土石流覆蓋。台鐵指出，目前北迴線雙向列車均已停駛，相關搶修人員已於晚間7點進入現場展開搶修作業。
蘇花土石泥流 台鐵 和仁-崇德 停駛  匯德隧道北口目前積水 台9丁61.3k落石清理中
【北迴線雙向中斷，雙鐵、公路、航空、海運啟動緊急疏運應變措施】 今天花蓮地區發生強降雨，導致和仁-崇德河水湍急，沖下土石泥流淹過軌道，臺鐵電車線設備及路線受損，目前該區間路線暫時雙向不通。  臺鐵部分 臺鐵啟動「花蓮-和平」公路接駁 視...",2025-05-18T22:35:00
https://www.ettoday.net/news/20250513/2959428.htm,蘇花中仁隧道南下施工！5／13~5／29全時段封閉　改行台9丁,"交通部公路局為維護用路人行車安全，辦理台9線蘇花改中仁隧道南下線排水改善及路面復原施工，自5月13日上午8時至5月29日下午6時，南下隧道實施全時段24小時道路封閉管制，管制時段依現況調整。
交通部公路局東區養護工程分局南澳工務段指出，管制時間內北端管制點為台9線和中地磅站前紅綠燈交通號誌（台9線148k+860），請南下用路人改走台9丁線（舊蘇花公路）通行。
公路局提請用路人，請留意各項管制訊息，並請運用公路局省道即時路況系統（https://168.thb.gov.tw）或下載「幸福公路APP」，並收聽廣播獲取即時訊息。",2025-05-13T10:03:00
https://www.ettoday.net/news/20250512/2959139.htm,端午連假國5高乘載管制　桃機估單日湧14萬人次出入境,"端午節3天連假將自5月30日開始，交通部今統整海空運疏運措施，其中，國道5號5月31日至6月1日每日下午1至6時實施北上高乘載管制，公路局將持續推出90條國道客運路線享平日優惠或原票價6折。另外，桃園機場預估每日航班約687至733架次，每日約13.4萬至14萬人次，建議旅客提前進行報到。
交通部指出，端午連假期間，國道將辦理匝道儀控、匝道封閉、開放路肩等措施，且每日0至5時全線暫停收費，國3「新竹系統至燕巢系統」採單一費率再8折收費；另國5在5月31日至6月1日，每日下午1至6時實施北上高乘載管制。
交通部建議，西部國道用路人在南向尖峰時，於早上6時前或中午12時以後出發、北向尖峰時，在南部地區於9時前出發，中部地區於12時前出發；另國5用路人在南向尖峰時，於早上5時前或下午5時以後出發、在北向尖峰時，早上9時前出發。
在重點省道路段部分，交通部表示，連假期間在台9線蘇花路廊蘇澳、蘇花改、崇德等路段實施大客車優先措施；台61線西濱快速公路封閉台68線南寮端西向南下出口匝道、台61線竹1路口及竹北新港三街路口，並實施時段性封閉冷水坑、復興路、中美里、保福路口、竹南垃圾掩埋場、大山腳等6處平面路口。
交通部也說，此次連假將持續推出90條國道客運路線享平日優惠或原票價6折、以及10小時內轉乘在地客運享一段票或基本里程免費或轉乘指定幸福巴士免費等優惠措施；另搭乘國道客運前往東部再加碼票價或租車優惠。
另外，高鐵則從5月28日至6月2日加開127班次列車，6天共提供1,062班次。台鐵全線加開各級列車109列次，並加開東線實名制列車、縣府返鄉（工）專車、南北半環跨線自強號列車、西線直達自強號列車，以及EMU900區間快車等。
航空部分，交通部表示，疏運期間國內線共提供1,380架次、11萬3,205座位，其中離島管制航線計1,194架次，10萬4,395座位；另桃園機場預估每日航班約687至733架次，每日約13.4萬至14萬人次。海運部分，疏運期間本島與離島間9條航線，規劃987航次，提供22萬8,444人次運能；另金馬小三通於疏運期間規劃180航次，提供4萬8,080人次運能。",2025-05-12T16:57:00
https://www.ettoday.net/news/20250507/2956101.htm,白沙屯媽祖聯名加持　台鐵推「拾子．平安產禮盒」5／9開搶,"苗栗白沙屯拱天宮媽祖10天9夜徒步進香行程，今邁入第6天，掀起全台迎媽祖熱潮，台鐵公司也與白沙屯媽祖再度攜手打造「拾子．平安產」禮盒，內含「觀音隧道貫通石」、「大肚成功車票」及「金鏟子」，帶來「好孕」和「好運」，每組售價1699元，5月9日開搶。
繼去年台鐵公司與白沙屯拱天宮合作推出限量版白沙屯媽祖聯名「大肚成功金鏟子禮盒」，網購秒殺售罄；今年再度聯手聯名推出限量「拾子．平安產禮盒」，台鐵公司表示，白沙屯媽祖很喜歡小孩，進香途中有許多溫馨感人的故事，媽祖又有天上聖母之稱，所以禮盒設計特別以媽祖手抱襁褓中嬰孩之姿，象徵媽祖將好孕賜予祈求新生命降臨的家庭，並保佑平安順產。
「拾子．平安產」禮盒內含「觀音隧道貫通石」、「大肚成功車票」及「金鏟子」，台鐵公司說明，本次的貫通石是蘇花改工程爆破觀音隧道時收集的珍貴石頭，蘊含著觀音送子的美好寓意，而「石子」的音同「拾子」。
台鐵將這些充滿祝福的貫通石綁上紅線代表緣分的連結，並搭配象徵助孕的「金鏟子」及「大肚成功車票」，為每一位期待新生命到來的家庭送上真摯祝福，讓白沙屯媽祖的神恩加持護佑孕育如願。
「拾子．平安產禮盒」不僅取其「送子」寓意，更有白沙屯媽祖降福加持，由台鐵公司附業營運處長古時彥與白沙屯拱天宮管理委員會常務委員王城，一同進行過香爐儀式。
根據台鐵規劃，台鐵x白沙屯媽祖聯名「拾子．平安產禮盒」每組售價1699元，每人每次限購2組，5月9日起在台鐵各實體門市開賣，網路商店自當天上午10時起開賣，全台限量430組，其中台鐵夢工場網路商店限量340組。",2025-05-07T10:55:00
https://www.ettoday.net/news/20250425/2949734.htm,民團逾50人冒雨包圍公路局　提5訴求：蘇花改開放機車行駛,"公路局今(25日)邀請民團開會針對考照制度精進交流，卻漏邀台灣機車路權促進會，機車團體今約有50人包圍公路局，自辦「精進考照暨交通公民論壇」，並提出5大訴求，包括駕照改制納入機車駕駛代表意見，以及蘇花改、南迴改全段開放白牌機車行駛等。
台灣機車路權促進會理事黃柏岳表示，4月7日公路局發出「精進考照前、中、後相關制度」意見交流會議通知給各民間團體，名單中羅列了汽車駕駛、行人，卻獨獨遺漏了機車用路人的代表，機車需要考照卻被漏邀，經過確認後，公路局說法是因為機車和考照關聯性低，因此不邀請，這是不合理的回覆，大家覺得不可思議也不滿意，因此今天到公路局民間自辦精進考照會議和公民論壇，估計有50人會參加。
黃柏岳說明，他們今也提出5大訴求，包括盡快歸還重機上國道路權，台74線和台76線快速公路應依照承諾開放大型重機通行，並希望交通部廢除道安99條相關機車兩段式左轉等歧視性規定，以及蘇花改、南迴改應該全段通行白牌機車，最後則是日前中壢監理站要求車主徒手觸摸排氣管來決定是否通過檢驗，呼籲監理單位應該依法行政，不應該做出沒有法源依據的事，盼公路局盡速回應。
獲公路局邀請參加會議的行人零死亡推動聯盟理事長陳愷寧也現身聲援，陳愷寧表示，今天公路局會議主要是討論台灣駕訓制度如何改革，台灣交通地獄和行人地獄的問題是出在台灣駕訓制度有很大的問題，包括考官放水和駕訓制度迂腐，汽車駕訓改革實實在在影響用路人的安全，駕駛素質參差不齊，對行人安全有莫大影響。
陳愷寧指出，台灣用路人包括機車和汽車是一起在路上行駛，汽車駕駛人出事故，機車就可全身而退嗎，這場會議應該要讓行人、機車等不同用路人進去開會，共同討論駕訓改革，而不是只敢要求行人團體，不敢讓機車團體參加，呼籲公路局傾聽民意。
公路局原規劃5月另邀台灣機車路權促進會開會，不過今在會議舉行1個小時後，台灣機車路權促進會順利進入公路局臨時參加會議。
針對機車團體訴求，公路局則回應，感謝公民團體持續關注交通安全議題，為廣納意見，公路局已持續辦理多場溝通平台會議，提供團體表達訴求之管道，今(114)年「交通安全倡議團體溝通平台會議」將於5月2日召開，也已徵詢團體意見及研討議題，團體代表可於會議中主張訴求並與專家學者、行政部門充分討論與溝通。",2025-04-25T15:45:00
https://www.ettoday.net/news/20250418/2945609.htm,蘇花改中仁隧道試辦「開放普通機車」　試辦期間限速50,"公路局表示，交通部公路局東區養護工程分局為考量區域性通行需求，選擇蘇花改中仁隧道路段試辦開放普通重型機車（排氣量逾50～250c.c.）通行，原除蘇花改仁水隧道外（蘇花改通車初期即已規劃有機慢車道），普通重型機車現仍屬蘇花改非允車種，故開放通行前皆需進行審慎評估作業，調整交通管制、設施等相關策略，以確保用路安全。
本次評估作業將參照開放大型重型機車通行模式，以抽樣方式觀測與檢核隧道內的行車秩序、行為、環境及安全指標之檢核，藉由試辦期間蒐集之數據進行分析與評估開放普通重型機車通行之適宜性，以作為後續研議道路環境精進方向及決策推動基礎。
公路局表示，「蘇花改中仁隧道開放普通重型機車試辦計畫」已奉交通部核定，訂自114年4月30日起開始試辦，考量初次於蘇花改長隧道通行普通重型機車，試辦初期機車專用道速限規劃為50公里/小時，待試辦檢核期後，將整體評估行車效率評估速限調整，請用路人依速限行駛。
公路局籲請用路人，行車前請先至公路局東區養護工程分局網站（https://thbu4.thb.gov.tw/cp.aspx?n=5025）瞭解相關行車安全須知及各種行車管制規定，留意沿線CMS資訊可變標誌及車道指示號誌訊息，運用公路局智慧化省道即時資訊服務網（https://168.thb.gov.tw）或手機下載「幸福公路APP」及收聽路況廣播訊息，以獲取即時道路資訊。",2025-04-18T16:19:00
https://www.ettoday.net/news/20250402/2936375.htm,花蓮議長張峻喊罷免傅崐萁　國民黨部開戰：藍皮綠骨的黑道流氓,"曾為國民黨花蓮縣黨部主委的花蓮縣議長張峻今（2日）表態罷免國民黨立院黨團總召傅崐萁，並以黨內大老形容傅為「病毒」、「腐肉」為例，喊話切除，「再不切割傅崐萁，國民黨將走向泡沫化，並成為傅崐萁的陪葬品。」此舉引爆國民黨花蓮縣黨部強烈怒火，開砲張峻當初被國民黨依「排黑條款」未予提名，後因又堅持參選，違紀在先才被開除黨籍，「是否藍皮綠骨向綠營靠攏？」
張峻批傅崐萁所作所為，使黨內分裂，與人民期待背道而馳，國民黨大老形容傅為「病毒」，警告必須與他保持距離，否則將會受到感染，也有大老形容傅崐萁如同「腐肉」，若不及時切除，其他完好無損的部分也將隨之腐壞，這樣的比喻，無不反映出對當前黨內狀況的擔憂。
國民黨花蓮縣黨部對張峻發言表達強硬抗議，指張峻過去因涉及黑道背景，遭國民黨依「排黑條款」不予提名，後因違紀參選而被開除黨籍。黨部聲明痛批，「張峻黑道前科累累，是管訓在案的流氓，長期與綠營親近，甚至替民進黨張美慧站台，誰才是花蓮的毒瘤？人民自有公斷。」
黨部也細數傅崐萁的政績，強調傅崐萁擔任國民黨立院黨團總召期間，表現優異，個人聲量與影響力「冠居全院」。此外，傅崐萁積極爭取「蘇花改」完善花東交通，並在0403大地震後推動觀光振興、要求普發1萬元災後補助，更成功修訂《財政收支劃分法》，為花蓮多爭取161億元預算，「傅崐萁這樣為花蓮認真打拼的立法委員，可以被民進黨用綠媒、綠民團、綠網軍、綠側翼、用綠色暴政消滅掉嗎?",2025-04-02T14:25:00
https://www.ettoday.net/news/20250401/2935725.htm,7處公墓人車潮爆增！新城警清明連假設崗疏導籲：避開尖峰時段,"今年清明4天連續假期即將到來，因應國人慎終追遠之民俗所帶來的返鄉人潮，為此位於花蓮北境的新城警分局，針對本次假期編排交通疏導專案工作，務求給予各位遊客一個平安順暢的交通動線。新城警分局表示，4天清明連續假期將出現返鄉、出遊車潮，預估轄內知名景點及7處公墓，將是人潮聚集處，為此針對風景遊憩區、易壅塞路段及公墓周邊，彈性交通管理及實施相關管制措施，也請民眾配合警方指揮，小心駕駛、減速慢行。
在清明連假期間，交通部公路局東區養護工程分局考量大量車流同時湧入台9線、台9丁線蘇花路廊（蘇澳-崇德段）為減緩車流壅塞情形，針對以下時段禁止21公噸以上大貨車通行蘇花路廊：（一）4月3日（星期四）：5時至17時（雙向）。（二）4月4日(星期五)：7時至11時（雙向）。（三）4月5日（星期六）：14時至18時（雙向）。（四）4月6日（星期日）：12時至18時（雙向）。交通部公路局也規劃於蘇澳地區及崇德地區尖峰時段設置大客車優先通行措施，同時於蘇澳~東澳、南澳~和平、和中~和仁路段實施時段性開放一般遊覽車及公路（市區）客運行駛蘇花改路肩（緊急空間），減少停等時間及避免塞車。
蘇花改大客車行駛路肩開放時段如下：（一）4月3日（星期四）5時至17時（雙向）。（二）4月4日（星期五）：7時至11時（雙向）。（三）4月5日（星期六）：14時至18時（雙向）。（四）4月6日（星期日）：12時至28時（雙向）。新城警分局呼籲，民眾若欲利用清明連續假期規劃旅遊行程，請避開尖峰時段，並掌握交通動態及各項管制措施，也請用路人遵守交通規則，配合員警指揮及管制，切勿有雙黃線超車、超速、酒後駕車、行駛路肩等違規行為，以保障自身及他人的行車安全。",2025-04-01T15:25:00
