Link,Title,Context,PublishTime
https://news.tvbs.com.tw/life/2868397,駕駛注意！蘇花中仁隧道南下線施工　5／13起「封閉17天」,"用路人注意！為進行排水改善並復原路面施工，台9線蘇花改「中仁隧道南下線」自今（13）日上午起到5月29日下午6時，一連17天，將實施全天24小時封閉管制，提醒南下用路人可改走台9丁線（舊蘇花公路），民眾也可上公路局官網留意最新動態。
更多新聞：
台日韓「國定假日、特休假」大PK　1數據曝光網淚：台灣人最奴
交通部公路局東區養護工程分局說明，為了維護用路人安全，將針對台9線蘇花改中仁隧道南下線的排水改善與路面復原施工，自今天上午8時到5月29日下午6時，南下隧道實施「全時段24小時道路封閉管制」。
更多新聞：
黃仁勳還沒來！太太家人先抵台　拎10萬精品包超狂行頭曝
此外，分局說明，北端管制點為台9線和中地磅站前紅綠燈交通號誌（台9線148k+860）。管制期間，提醒南下用路人可以改走「台9丁線（舊蘇花公路）」通行。若民眾想了解管制訊息，可運用
公路局省道即時路況系統
或下載「幸福公路APP」，並收聽廣播以獲取即時訊息。",2025/05/13 11:56
https://news.tvbs.com.tw/life/2752125,新年返鄉交通部公布疏運規劃　高鐵、台鐵加開超過300班次,"農曆新年將至，民眾也準備返鄉過年。交通部今（16）日公布疏運規劃，在國道部分，循例辦理匝道儀控、高乘載管制、匝道封閉、開放路肩及於連假期間，採單一收費；在蘇花路廊蘇澳、蘇花改、崇德等路段實施大客車優先措施。而在大眾運輸部分，高鐵共加開380班次、台鐵全線加開全線加開326班列車，並加開東線實名制列車與花蓮縣返鄉專車，並且90條國道客運路線享平日優惠或原票價6折等措施。並且航空共計提供3210架次、24萬8132座位，其中離島管制航線計22萬9852座位；海運則規劃本島與離島8航線、28萬9414人次運能。
今年春節連假從25日開始至2月2日止，共計9天。為因應民眾返鄉、出遊，交通部今天表示，各疏運單位已規劃相關交通疏導管制措施，並全力加開班次疏運，交通部再針對今年春節連假疏運已擬定疏運整體策略，並採運具聯防備援，也再要求各單位於連假前務必落實相關運具設備之安檢與保養，並指示各單位於連假期間停止工程施作，派員巡檢，維護工地安全，確保疏運順暢及安全。另交通部也公布春節連假各項交通疏運規劃：
國道、省道疏運
在國道部分，循例辦理匝道儀控、高乘載管制、匝道封閉、開放路肩及於連假期間，採單一收費，再於1月29日(初一)至2月2日(初五)每日0至5時全線暫停收費等措施。在西部國道，於初一~初三南向民眾，建議早上6時前或中午12時以後出發；於初三~初五北返民眾建議在南部地區民眾於9時前出發、在中部地區於12時前出發。在國道5號於初一~初三南向民眾，建議早上5時前或下午5時以後出發；於初三~初五北返民眾：建議早上9時前出發。
在省道部分，在台9線蘇花路廊蘇澳、蘇花改、崇德等路段實施大客車優先措施，並時段性管制載運危險物品車輛及21噸以上大貨車通行台61線西濱快速公路封閉竹北新港三街一段與西濱路一段路口、以及管制台68線西行南寮匝道禁止左轉台15線南下、並於1月31日(初三)至2月2日(初五)每日12~24時，封閉台61線銜接國3西濱交流道北上匝道及竹南路段6處平面路口，提升西濱快速公路行車效率。
大眾運輸疏運
高鐵：疏運期間共加開380班次(南下205班、北上175班)，總計提供2258班次。
台鐵：疏運期間全線加開全線加開326班列車(西線145列次、東線153列次、南迴線28列次)，並加開東線實名制列車、花蓮縣返鄉(工)專車、西線直達、半直達對號列車、全車自由座列車，以及區間快車等。
國道客運：為鼓勵民眾搭乘國道客運，本次連假提供有史以來最高優惠措施，90條國道客運路線享平日優惠或原票價6折、10小時內轉乘在地客運享一段票或基本里程免費)；另搭乘國道客運前往東部再加碼票價(在指定日期4人同行1人免費，返程再抵200元)或租車優惠(持國道客運購票證明租車再享優惠)。
航空：疏運期間共計提供3210架次、24萬8132座位，其中離島管制航線計2774架次，22萬9852座位，航空公司將視旅客需求情形適時加開班機以疏運旅客。
海運：疏運期間臺灣本島與離島間8條航線，規劃1,429航次，提供28萬9414人次運能；另金馬小三通於疏運期間規劃396航次，提供105,712人次運能。",2025/01/16 14:23
https://news.tvbs.com.tw/life/2680782,疑不明物體撞擊！台鐵列車凌晨「車邊突冒火光」　6車窗破裂,"台鐵今（10）日凌晨0時許傳出事故，台鐵駛向花蓮256次列車，行經蘇花改隧道時，車邊突冒超大火光，多面車窗破損，疑似遭不明物體撞擊，列車緊急停駛，乘客也在社群PO出畫面。台鐵獲報後，已安排接駁措施協助旅客返家，詳細事故原因待進一步釐清。
更多新聞：
騎車注意！深夜大攔查11月啟動　「1違規秒噴6000元」
根據乘客在社群平台「Threads」上描述，花蓮256車次太魯閣號列車，行駛中車邊突冒超大火光，共6車車窗破掉。所幸並無人員傷亡，該乘客也大讚「台鐵的工作人員也很快地排除困難，效率很好！」
更多新聞：
外送取餐要衝「桃機二航廈」還要搭機捷！工會批：根本不該出現
根據《ETtoday新聞雲》報導，台鐵獲報後已開始著手調查這起事故的原因，並已安排接駁措施協助旅客安全返家，詳細情況仍待相關單位進一步說明。",2024/11/10 07:36
https://news.tvbs.com.tw/local/2597979,沒在看路？觀音隧道白車追撞工程車,"宜蘭縣蘇花改觀音隧道，今天下午2點半發生一起驚悚車禍，外包工程防撞車開到隧道，準備進行照明工程，才剛抵達定點，就遭白色汽車高速撞上。
工程防撞車開到隧道裡，剛到指定地點，準備施作照明維護工程，不到30秒，後方一輛白色汽車，高速衝撞工程車左車尾，撞擊力道之大，工程車左右晃動好幾下才停下，工程人員嚇壞，先查看車上駕駛情況。
白車這猛烈一撞，車頭全毀，擋風玻璃碎光，車門扭曲變形，車上兩人都有受傷，29歲的黃姓駕駛頭部嚴重撞擊，有明顯外傷，坐在副駕駛座的謝姓女子，則是多處擦傷，沒有酒駕，送往醫院檢查。
驚悚車禍發生在宜蘭縣蘇花改的觀音隧道，由南澳工務段外包的廠商，要在下午2點半左右進行維護工程，才剛抵達，防撞車裝置都還沒放下，就遭沒有注意號誌的白車撞上。
東區養護分局路況中心主任陳國正：「那當時我們是第一個步驟就是，我們當時已經把超車車道管制燈已經關掉，也就是這個車道已經是禁止通行，改到外面這個車道，那這時候我們防撞車，剛到位那準備要來施工。」
夫妻開車南下，工程車就停在隧道裡，卻沒看見，高速撞上兩人都掛彩，所幸事故沒影響交通，警方後續也將釐清，確切車禍原因。",2024/08/26 20:17
https://news.tvbs.com.tw/local/2597829,有片／追撞防撞車！蘇花改觀音隧道轎車「直插卡死」　駕駛急送醫,"今（26）日下午2時許，宜蘭南澳鄉蘇花改觀音隧道發生一起車禍，當時南澳工務段外包廠商，在隧道內準備施作照明維護工程時，遭到一輛小客車撞上，由於撞擊力道過猛，小客車車頭直接插進廠商防撞車車尾，小客車車頭幾乎全毀，場面相當危險，小客車上駕駛29歲黃姓男子頭部外傷、副駕28歲謝姓女子輕傷身體不適，雙雙送往醫院救治；詳細原因警方正調查中。
今日下午2時30分，南澳工務段外包廠商，準備在觀音隧道南下136公里處施作照明維護工程，一輛白色小客車突然從後方撞上；據了解，撞擊當下，防撞車後方的防撞裝置並沒有放下，所以小客車直接撞擊到防撞車後左方，2車完全卡死在一起，小客車車頭幾乎全毀，後將兩車分離時，防撞車部分零件還卡在小客車引擎蓋中；事件也同時造成小客車駕駛黃男頭部受到外傷，副駕謝女則是輕傷。
警消獲報抵達現場，立即先將黃男頭部做緊急處理、包紮，後將2人送往醫院救治、檢查。警方對雙方駕駛實施酒測，酒測值為0；另外，因為發生事故，南澳工務段於下午2時40分開始管制南下車道，改走台九丁，在4時10分開放通行，後續警方將持續釐清事發詳細原因。",2024/08/26 18:03
https://news.tvbs.com.tw/life/2523104,年底前試辦！蘇花改開放「白牌機車通行」　將擴建專用道,"蘇花改將開放將開放白牌機車通行！公路局原先計畫今（113年）七月開放白牌機車試辦行駛中人隧道，孰料，4月3日花蓮大地震後，該工程被迫停工長達兩個月，如今也確定該計畫將延後至年底前。對此，公路局交通管理組主任工程司林天祿也承諾，將試辦半年，若情況良好將進一步爭取正式通車。
公路局原計畫在今年7月開放白牌機車試辦行駛中仁隧道，讓機車騎士能從花蓮一路騎到和平，不料4月3日花蓮大地震後，導致中仁隧道改善工程被迫停工長達2個月之久，雖然5月底終於重新復工，但也確定試辦白牌機車行駛蘇花改的時程將延後。
更多新聞：
廢存掀論戰！北捷盼博愛座勿淪「道德綁架」　侯友宜這麼說
公路局交通管理組主任工程司林天祿指出，4月3日花蓮大地震發生後，公路局立即調度所有工程機具前往受災區進行搶修，導致原本進行中的中仁隧道改善工程也被迫暫停。不過他強調「現在工程已經重新啟動，預估今年底前可以完成，到時候就能試辦開放白牌機車通行中仁隧道。」
林天祿表示，目前白牌機車能通行的最南端是仁水隧道，屆時將可往北延伸到中仁隧道。據了解，蘇花改中仁隧道兩側設有路肩，原先是規劃給緊急救護車輛使用，未來將改建成機慢車專用道，讓白牌機車通行。他強調，即便開放機車通行，也不會影響緊急救護工作。
更多新聞：
台中17件行人死亡車禍「10人違規」　兩大肇因分析曝光
對於蘇花改試辦白牌機車通行，林天祿直言這已是大勢所趨，「今年底中仁隧道開放白牌機車試辦通行後，會先觀察半年，蒐集駕駛行為、交通秩序和安全等相關數據，如果一切狀況良好，就會向交通部提報，爭取正式通車。」至於未來是否進一步開放其他路段，仍須視試辦情況再做評估。",2024/06/20 08:11
https://news.tvbs.com.tw/politics/2510188,黨內爆雜音！「2兆花東三法」挨轟錢坑　趙少康：花錢也得做,"國民黨立院黨團總召傅崐萁，日前提出預算高達2兆元的「花東交通三法案」，力拚7月16日會期結束前三讀通過，連黨內都雜音不斷，而他也反駁民進黨指控，稱離岸風電才是錢坑建設。對此，中廣前董事長趙少康表示，台灣投資長期以來虧待花東，國家建設務必趁早，同時中央政府每年用6千億建設，「我認為太少！」
更多新聞：
TVBS民調／在吵啥？國會改革修法內容「6成4民眾不清楚」　挺藍白數據曝
針對「花東交通三法案」被指錢坑，資深媒體人陳鳳馨昨（6）日現身節目《少康戰情室》，提到安全為首要優先、再來才是便利，接著從此次地震分析蘇花改，因路段斷斷續續，她發現曾改過的隧道或棧道都安全，沒改的瞬間嚴重坍塌，「不改就是不安全！這次完全證明」。陳鳳馨表示說，所幸0403花蓮地震為清明連假前，否則後果不堪設想，如果以安全角度來看，本來就應該儘快建，國際上是否會來投標則是另一回事。
陳鳳馨表示，立法院最困難的地方，是沒有行政執行權，問題在於土地徵收、土地規劃等皆牽涉行政權，行政院如果不肯做，一點辦法也沒有。陳鳳馨指出，不只花東，包括離島建設也存在各式各樣的建設條例，30幾年來希望能夠幫助偏鄉，不過宣誓性卻大於實質可運作性，少了公權力就無法執行，「我認為，可以再大幅度的修改」、「宣誓性的目的是要喚起大家對於花東建設的重視，而不應該成為指導行政部門應該如何建設花東」。
更多新聞：
葉元之恐被罷免？黃暐瀚曝「成功機率」　建議做2事保烏紗帽
主持人趙少康也談及，整個台灣的投資長期虧待中南部，重點都放在台北市，過去台北市與台北縣（新北市）就有很大的差別。其次，趙少康認為，花東是台灣觀光最重要的地方，交通不好難以發展旅遊業，回想過去任職環保署長時，他前往法國與當地各部長討論衛生下水道，只見對方回應，「我們拿破崙時代就做了」。
趙少康進一步舉例，台北市凱達格蘭大道日本時代即建設，簡單來說，各種國家建設需要廣大、長遠的眼光，加上現在公共建設越來越貴，包括工人薪資、材料等，民間抗議也讓建設更難做。趙少康最後強調，如果不現在做，未來難上加難，尤其價錢會翻倍飆漲，「就算花錢也得做，否則將來會來不及」。此外，因被說成2兆錢坑，立委吳春城建議，新的交通部長上任後可再做報告、評估可能性，讓社會意見等方面更圓融。",2024/06/07 09:23
https://news.tvbs.com.tw/local/2505911,快訊／台9線車禍！大貨車猛撞緩衝車　蘇花改蘇澳至東澳封閉,宜蘭縣蘇澳鎮台9線105.9K處，今（3）日中午12時20分驚傳一起車禍，一輛大貨車在蘇花改白米高架橋北上線撞到另一台緩衝車，造成一人受傷，事故也導致蘇花改東澳至蘇澳雙向管制封閉，公路局人員已前往進行交通管制，正持續排除路障，至於何時能完成仍待確認，替代道路則為台9丁東澳-蘇澳路段。,2024/06/03 13:48
https://news.tvbs.com.tw/life/2445616,花蓮地震／花蓮多處坍方受阻！蘇花及中橫3路段預警封閉,"花蓮昨天強震後，多處省道公路因坍方而阻斷。公路局今天說，目前預警性封閉台9線蘇花公路及台8線中橫公路共3處路段，僅供救災人員通行及民生用品運送，視情況開放通行。
公路局清晨發布新聞稿，預警性封閉3路段位於蘇花改、舊蘇花公路及中橫公路，包括：宜蘭蘇澳鎮至花蓮縣秀林鄉台9線104K至168K（蘇澳-崇德路段）、台9丁線2K至69K（蘇澳-崇德路段）、花蓮縣秀林鄉台8線110K+200至187K+800（大禹嶺-太魯閣路段）。
公路局統計，花蓮強震造成7處路段坍方落石受阻斷，有6處在花蓮秀鄉，1處在台中和平區；其中台8線九曲洞路段預計上午10時搶通、天祥隧道西口預計下午2時搶通。
另有3路段預計6日傍晚6時搶通，包括：台8線中橫便道、台8線華祿溪路段、台9線下清水橋。
而受阻最嚴重的台8線豁然亭路段，雙向阻斷，搶修勘災困難，公路局還無法預估搶通時間。（中央社）",2024/04/04 09:15
https://news.tvbs.com.tw/local/2398738,曳引車煞車不及釀3車連撞　蘇花改隧道急開導坑紓解車潮,"17日週六的補班日，宜蘭的蘇花改東澳隧道，仍一度塞車，原來就在上午接近11點前，一輛曳引車煞車不及，波及到前方一輛小客車及大貨車，釀成三車連撞，還好肇事的宋姓駕駛，跟小客車上兩人送醫後，都沒有生命危險，而管制中心也趕緊開放橫向的導坑，紓解後方車流。
隧道內車流開始回堵，駕駛才剛放慢速度，依序停車，沒想到後方一輛曳引車，疾駛而來，似乎到了最後一刻，才想要煞車。
承辦員警：「前面這輛黑色自小客車的前輪，有先往右邊打，它輪子的部分有切出來，前面那輛也有看到了喔，往前面閃。」
放大畫面，可以看到小客車雖然轉了輪胎，但來不及起步，就被撞上，雖然整輛車往前彈飛，但仍嚴重扭曲變形，而前方車輛見狀，也顧不得是否違規，急忙往前移動，而肇事的曳引車，則是又撞上前方的大貨車，雙方黏在一起。
宜蘭蘇澳警分局警備隊長陳裔欣：「經過了解現場是由一名，宋姓營業貨運曳引車駕駛，行經事故地點時，不慎追撞前方，自小客車及營業大貨車，發生交通事故。」
這起追撞車禍，17日上午接近十一點時，就發生在宜蘭蘇花改東澳隧道的北上路段，好宋姓曳引車駕駛，以及小客車上兩人，送醫後都沒有生命危險，不過補班日，就算少了遊客，仍造成後方車流一度回堵，還好管制中心見狀，急忙開啟橫向的導坑，來紓解後方車流。
交通部公路局東區養護工程分局主任陳國正：「第一個時間，我們大概就把這個車流量，從東澳端，把它導引到我們的舊線，台九線去。」
整起意外，直到下午一點左右，總算全線排除，恢復通車，雖然沒有鬧出人命，也沒人酒駕，但肇事的宋姓駕駛釀成三車連撞意外，後續的修繕及賠償，讓他才剛開工不久，恐怕就得要荷包大失血。",2024/02/17 20:18
