"token","topic"
"chelsea",1
"club",1
"deal",2
"injury",1
"england",1
"coach",1
"france",1
"ireland",1
"rugby",1
"wale",1
"team",1
"cup",1
"player",1
"open",1
"set",1
"match",1
"second",1
"final",1
"champion",1
"season",1
"report",2
"oil",2
"market",2
"analyst",2
"share",2
"company",2
"firm",2
"bn",2
"profit",2
"expect",2
"sale",2
"bank",2
"figure",2
"rate",2
"rise",2
"economic",2
"economy",2
"growth",2
"price",2
"fall",2
"month",2
"high",2
"festival",1
"include",1
"star",1
"actor",1
"director",1
"film",1
"oscar",1
"dollar",2
"singer",3
"record",3
"music",3
"band",3
"album",3
"year",3
"british",3
"win",3
"song",3
"good",3
"award",3
"vote",3
"think",3
"come",3
"chart",3
"number",3
"tv",4
"network",4
"digital",4
"technology",4
"service",4
"phone",4
"mobile",4
"net",4
"broadband",4
"million",4
"email",4
"site",4
"search",4
"microsoft",4
"program",4
"software",4
"use",4
"user",4
"computer",4
"pc",4
"release",4
"people",4
"work",4
"business",2
"want",4
"home",4
"new",5
"country",3
"world",3
"britain",3
"uk",3
"time",4
"game",4
"play",4
"online",4
"lord",5
"bbc",5
"tell",5
"plan",5
"public",5
"government",5
"tax",2
"issue",5
"mp",5
"campaign",5
"party",5
"election",5
"labour",5
"howard",5
"tory",5
"leader",5
"blair",5
"minister",5
"prime",5
"mr",5
"chancellor",5
"brown",5
